District Name,School Name,UDISE Code,School Management,School Category
AGRA,ADARSH INTER COLLEGE ARSENA AGRA,09150206603,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,ADARSH KANYA INTER COLLEGE ABHEDOPURA KIRAWALI AGRA,09150200303,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,ANAR DEVI GOAL S.V.M. UMV KIRAWALI AGRA,09150200215,Private Unaided Recognized,Upper Primary to Secondary (6–10)
AGRA,B M PREM PUBLCE  UMV MANGRAUL AGRA,09150201705,Private Unaided Recognized,Upper Primary to Secondary (6–10)
AGRA,BALMUKUND RAMCHANDRA BAZARI SARASWATI VIDYA MANDIR,09150206106,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,BHARTIYA SHIKSHA SUDHAR SAMITI BHILAWATI KUKTHALA AGRA,09150205007,Government Aided,Upper Primary to Higher Secondary (6–12)
AGRA,CHAMPA KAMAL GIRLS INTER COLLEGE,09150200115,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,CHAUDHARY CHARAN SINGH INTER COLLEGE JANUTHA ACHHNERA AGRA,09150203303,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,DIWAKAR SINGH PUBLIC HIGH SCHOOL RAIBHA ACHHNERA AGRA,09150203114,Private Unaided Recognized,Secondary only (9–10)
AGRA,G L SCHOOL,09150203904,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,GANDHI SMARAK KISHAN INTER COLLEGE,09150200219,Government Aided,Upper Primary to Higher Secondary (6–12)
AGRA,GOVT. GIRLS INTER COLLEGE GARHICHANDMAN ACHHNERA AGRA,09150207401,Department of Education (Government School),Upper Primary to Higher Secondary (6–12)
AGRA,GOVT. HIGH SCHOOL ABHAIDOPURA,09150200304,Department of Education (Government School),Secondary + Higher Secondary (9–12)
AGRA,"GOVT. HIGH SCHOOL, BASTAI",09150204604,Department of Education (Government School),Secondary + Higher Secondary (9–12)
AGRA,GRAMIN U.M VIDHYALAY,09154102269,Private Unaided Recognized,Secondary + Higher Secondary (9–12)
AGRA,GREEN LEND CONVENT SCHOOL ACHNERA,09150200126,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,J.R.M. INTERNATIONAL SCHOOL ACCHNERA,09150203704,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,K M PUBLIC SCHOOL,09150200222,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,K.R SENIOR SEONDARY SCHOOL RUNKATA AGRA,09150205809,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,LALA JAGAN PRASAD HIGHER SECONDARY SCHOOL,09150200116,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12)
AGRA,LORD KRISHNA PUBLIC SCHOOL UNIT 2 RAIBHA RUNKATA BY PASS RD AGRA,09150203115,Private Unaided Recognized,Primary to Higher Secondary (1–12)
AGRA,MAA KAILA DEVI INTER COLLAGE LOHAKARERA AGRA,09150206004,Private Unaided Recognized,Upper Primary + Secondary (6–10)
AGRA,MAA KELA DEVI HSS JANUTHA ACHNERA AGRA,09150203304,Private Unaided Recognized,Secondary only (9–10)
AGRA,MAA SHARDA HSS ARSENA ,09150206604,Private Unaided Recognized,Upper Primary to Secondary (6–10)
AGRA,MAA VAISNAVI U.M.V KUKTHALA,09150205006,Private Unaided Recognized,Secondary only (9–10)
AGRA,MAHA KAVI SOOR SMARAK INTER COLLEGE,09150205807,Government Aided,Upper Primary to Higher Secondary (6–12)
