District,High_Growth_Schools,Model_Schools,Avg_Growth_High_Schools,Most_Common_Growth_Pattern
AGRA,8,3,40.478750000000005,Girls-Led All Round Growth
ALIGARH,12,3,38.545833333333334,Girls-Led All Round Growth
AMBEDKAR NAGAR,17,8,133.28176470588235,Girls-Led All Round Growth
AMETHI - CSM NAGAR,12,5,118.51333333333334,Girls-Led All Round Growth
AURAIYA,9,3,68.50111111111111,Boys-Led All Round Growth
AZAMGARH,7,1,89.29428571428572,Boys-Led All Round Growth
BAGHPAT,7,0,51.06857142857143,Girls-Led All Round Growth
BAHRAICH,23,14,57.963913043478264,Girls-Led All Round Growth
BALLIA,11,4,71.80545454545455,Girls-Led All Round Growth
BALRAMPUR,8,2,46.9775,Boys-Led All Round Growth
BANDA,16,9,77.305625,Boys-Led All Round Growth
BARABANKI,4,2,23.380000000000003,Girls-Led All Round Growth
BAREILLY,26,10,125.21038461538461,Girls-Led All Round Growth
BASTI,13,7,64.84461538461538,Boys-Led All Round Growth
BHADOI,24,17,69.91041666666666,Girls-Led All Round Growth
BIJNOR,8,1,113.64500000000001,Girls-Led All Round Growth
BUDAUN,15,6,77.81533333333333,Girls-Led All Round Growth
BULANDSHAHR,33,8,106.97000000000001,Boys-Led All Round Growth
CHANDAULI,17,5,65.43411764705883,Boys-Led All Round Growth
CHITRAKOOT,10,4,50.848,Girls-Led All Round Growth
DEORIA,5,3,138.35399999999998,Girls-Led All Round Growth
ETAH,12,4,93.08583333333333,Girls-Led All Round Growth
ETAWAH,6,1,46.69166666666666,Girls-Led All Round Growth
FAIZABAD,16,5,96.41125,Girls-Led All Round Growth
FARRUKHABAD,3,1,36.14666666666667,Girls-Led All Round Growth
FATEHPUR,22,7,59.45863636363636,Boys-Led All Round Growth
FIROZABAD,7,3,44.082857142857144,Boys-Led All Round Growth
GAUTAM BUDDHA NAGAR,3,2,23.986666666666668,Girls-Led All Round Growth
GHAZIABAD,3,1,97.71,Girls-Led Lower Class Growth
GHAZIPUR,17,2,108.52000000000001,Undetermined Upper Class Growth
GONDA,10,4,44.086,Girls-Led All Round Growth
GORAKHPUR,8,4,137.12125,Boys-Led All Round Growth
HAMIRPUR (U.P.),17,11,71.00705882352942,Boys-Led All Round Growth
HAPUR (PANCHSHEEL NAGAR),6,1,145.96666666666667,Girls-Led All Round Growth
HARDOI,29,10,88.66758620689656,Girls-Led All Round Growth
HATHRAS,11,2,62.93454545454545,Girls-Led All Round Growth
JALAUN,9,1,45.715555555555554,Girls-Led All Round Growth
JAUNPUR,18,2,43.169444444444444,Boys-Led All Round Growth
JHANSI,3,1,47.59,Girls-Led All Round Growth
JYOTIBA PHULE NAGAR (AMROHA),10,5,90.90599999999999,Girls-Led Upper Class Growth
KANNAUJ,9,3,104.70222222222222,Girls-Led All Round Growth
KANPUR DEHAT,13,1,75.88692307692307,Girls-Led All Round Growth
KANPUR NAGAR,3,1,40.62,Balanced All Round Growth
KANSHIRAM NAGAR,10,8,199.75600000000003,Girls-Led Upper Class Growth
KAUSHAMBI,21,9,99.5147619047619,Girls-Led All Round Growth
KHERI,17,11,83.30176470588235,Girls-Led All Round Growth
KUSHINAGAR,10,4,71.00399999999999,Girls-Led All Round Growth
LALITPUR,8,2,32.97125,Boys-Led All Round Growth
LUCKNOW,13,4,50.79153846153846,Girls-Led All Round Growth
MAHARAJGANJ,13,6,122.30923076923077,Girls-Led All Round Growth
MAHOBA,7,3,99.24285714285715,Girls-Led All Round Growth
MAINPURI,6,3,95.48166666666667,Girls-Led All Round Growth
MATHURA,22,7,64.97772727272728,Boys-Led All Round Growth
MAU,11,3,114.39272727272727,Boys-Led All Round Growth
MEERUT,15,2,127.98533333333333,Boys-Led All Round Growth
MIRZAPUR,33,15,64.01363636363635,Boys-Led All Round Growth
MORADABAD,11,7,85.76272727272728,Girls-Led All Round Growth
MUZAFFARNAGAR,12,5,106.08083333333333,Boys-Led Upper Class Growth
PILIBHIT,5,4,90.72999999999999,Balanced Upper Class Growth
PRATAPGARH,21,8,85.21714285714286,Girls-Led All Round Growth
PRAYAGRAJ,13,3,82.31307692307692,Undetermined Upper Class Growth
RAE BARELI,16,10,39.546875,Girls-Led All Round Growth
RAMPUR,14,3,163.19642857142858,Boys-Led Upper Class Growth
SAHARANPUR,27,8,44.39518518518519,Boys-Led All Round Growth
SAMBHAL (BHIM NAGAR),6,4,68.35833333333333,Girls-Led Upper Class Growth
SANT KABIR NAGAR,5,3,117.58000000000001,Girls-Led All Round Growth
SHAHJAHANPUR,20,11,54.8125,Girls-Led All Round Growth
SHAMLI (PRABUDH NAGAR),11,2,54.84090909090909,Boys-Led Upper Class Growth
SHRAWASTI,22,6,81.74590909090908,Girls-Led All Round Growth
SIDDHARTHNAGAR,11,2,80.2609090909091,Girls-Led All Round Growth
SITAPUR,35,14,157.7282857142857,Girls-Led All Round Growth
SONBHADRA,22,13,1873.140909090909,Girls-Led All Round Growth
SULTANPUR,11,2,47.58909090909091,Girls-Led All Round Growth
UNNAO,14,4,43.31071428571429,Boys-Led All Round Growth
VARANASI,14,9,41.27928571428572,Girls-Led All Round Growth
