District,High_Potential_Schools,Medium_Potential_Schools,Investment_Worthy_Count
AGRA,0,23,8
ALIGARH,1,20,10
AMBEDKAR NAGAR,0,23,12
AMETHI - CSM NAGAR,2,15,8
AURAIYA,1,7,4
AZAMGARH,0,14,3
BAGHPAT,0,13,5
BAHRAICH,0,38,7
BALLIA,1,20,7
BALRAMPUR,0,13,5
BANDA,0,23,10
BARABANKI,0,16,5
BAREILLY,3,40,17
BASTI,0,16,6
BHADOI,1,21,12
BIJNOR,0,15,3
BUDAUN,1,24,10
BULANDSHAHR,2,30,9
CHANDAULI,0,17,3
CHITRAKOOT,1,15,9
DEORIA,0,7,2
ETAH,2,15,10
ETAWAH,1,10,5
FAIZABAD,1,16,6
FARRUKHABAD,0,5,2
FATEHPUR,1,32,9
FIROZABAD,0,14,3
GAUTAM BUDDHA NAGAR,0,5,1
GHAZIABAD,0,4,2
GHAZIPUR,0,21,10
GONDA,0,16,8
GORAKHPUR,0,12,2
HAMIRPUR (U.P.),1,17,5
HAPUR (PANCHSHEEL NAGAR),0,10,3
HARDOI,1,41,18
HATHRAS,1,14,8
JALAUN,0,15,6
JAUNPUR,1,24,9
JHANSI,0,13,5
JYOTIBA PHULE NAGAR (AMROHA),1,16,5
KANNAUJ,1,13,6
KANPUR DEHAT,1,13,6
KANPUR NAGAR,0,8,3
KANSHIRAM NAGAR,1,10,5
KAUSHAMBI,1,21,13
KHERI,0,32,14
KUSHINAGAR,1,15,8
LALITPUR,1,12,2
LUCKNOW,1,26,7
MAHARAJGANJ,2,16,7
MAHOBA,1,10,5
MAINPURI,1,11,5
MATHURA,0,24,13
MAU,0,8,3
MEERUT,3,25,9
MIRZAPUR,0,39,12
MORADABAD,3,19,8
MUZAFFARNAGAR,2,30,11
PILIBHIT,2,12,4
PRATAPGARH,1,30,15
PRAYAGRAJ,0,16,5
RAE BARELI,0,21,8
RAMPUR,0,23,5
SAHARANPUR,2,35,12
SAMBHAL (BHIM NAGAR),1,11,3
SANT KABIR NAGAR,0,9,2
SHAHJAHANPUR,0,38,12
SHAMLI (PRABUDH NAGAR),1,13,6
SHRAWASTI,0,23,12
SIDDHARTHNAGAR,0,19,5
SITAPUR,2,42,18
SONBHADRA,0,29,11
SULTANPUR,0,13,6
UNNAO,0,19,3
VARANASI,0,21,7
