District,Peak_Now_Schools,Post_Peak_Severe_Schools,V_Shape_Schools,Recovering_Schools,Most_Common_Peak_Year
AGRA,12,12,2,3,2025-26
ALIGARH,15,12,0,4,2025-26
AMBEDKAR NAGAR,23,3,0,4,2025-26
AMETHI - CSM NAGAR,12,10,1,7,2022-23
AURAIYA,6,4,0,4,2025-26
AZAMGARH,11,6,0,6,2025-26
BAGHPAT,8,4,0,4,2025-26
BAHRAICH,29,5,0,13,2025-26
BALLIA,12,9,0,7,2022-23
BALRAMPUR,11,3,0,7,2025-26
BANDA,19,14,0,10,2022-23
BARABANKI,13,13,0,8,2022-23
BAREILLY,34,12,0,12,2025-26
BASTI,13,5,0,3,2025-26
BHADOI,22,7,1,6,2025-26
BIJNOR,11,19,0,5,2022-23
BUDAUN,20,11,0,3,2025-26
BULANDSHAHR,31,5,0,5,2025-26
CHANDAULI,14,3,0,5,2025-26
CHITRAKOOT,13,7,0,6,2025-26
DEORIA,6,5,0,7,2022-23
ETAH,12,5,0,4,2025-26
ETAWAH,9,6,1,2,2022-23
FAIZABAD,16,7,0,1,2025-26
FARRUKHABAD,5,3,0,1,2025-26
FATEHPUR,28,7,2,8,2025-26
FIROZABAD,10,4,0,6,2025-26
GAUTAM BUDDHA NAGAR,5,0,0,1,2025-26
GHAZIABAD,5,3,0,0,2025-26
GHAZIPUR,19,5,0,4,2025-26
GONDA,14,5,1,3,2025-26
GORAKHPUR,8,8,0,7,2022-23
HAMIRPUR (U.P.),18,5,0,2,2025-26
HAPUR (PANCHSHEEL NAGAR),7,4,0,1,2025-26
HARDOI,35,9,0,9,2025-26
HATHRAS,12,3,0,6,2025-26
JALAUN,12,7,0,5,2025-26
JAUNPUR,21,3,3,5,2025-26
JHANSI,8,10,0,14,2022-23
JYOTIBA PHULE NAGAR (AMROHA),13,6,0,3,2025-26
KANNAUJ,11,4,1,2,2025-26
KANPUR DEHAT,12,2,0,3,2025-26
KANPUR NAGAR,7,8,0,5,2022-23
KANSHIRAM NAGAR,11,1,0,2,2025-26
KAUSHAMBI,21,1,0,1,2025-26
KHERI,25,8,0,16,2025-26
KUSHINAGAR,12,1,0,2,2025-26
LALITPUR,8,14,0,14,2022-23
LUCKNOW,17,20,1,12,2022-23
MAHARAJGANJ,10,4,1,9,2025-26
MAHOBA,9,16,1,6,2022-23
MAINPURI,8,8,0,5,2022-23
MATHURA,22,7,0,1,2025-26
MAU,7,0,0,2,2024-25
MEERUT,23,13,1,9,2025-26
MIRZAPUR,35,13,0,6,2025-26
MORADABAD,25,8,0,9,2025-26
MUZAFFARNAGAR,21,14,1,5,2025-26
PILIBHIT,11,14,0,5,2022-23
PRATAPGARH,24,5,0,11,2025-26
PRAYAGRAJ,16,10,0,3,2025-26
RAE BARELI,21,14,0,3,2025-26
RAMPUR,17,13,0,5,2025-26
SAHARANPUR,33,12,1,8,2025-26
SAMBHAL (BHIM NAGAR),12,1,0,2,2025-26
SANT KABIR NAGAR,9,5,0,1,2025-26
SHAHJAHANPUR,30,9,1,9,2025-26
SHAMLI (PRABUDH NAGAR),13,4,0,1,2025-26
SHRAWASTI,22,2,0,2,2025-26
SIDDHARTHNAGAR,13,3,0,7,2025-26
SITAPUR,35,7,0,14,2025-26
SONBHADRA,23,8,0,10,2025-26
SULTANPUR,8,8,0,4,2022-23
UNNAO,18,8,0,5,2025-26
VARANASI,19,5,0,5,2025-26
