District,Avg_Girls_Progression,Avg_C10_C11_pct,Collapsed_Schools,District_Girls_Enrollment_Rank
BARABANKI,3465952.54,15832.28,1,1
MAHOBA,2203014.2,8864.66,0,2
BANDA,2049006.32,40.59,0,3
AMBEDKAR NAGAR,1403181.75,40.66,0,4
RAMPUR,1161180.88,39135.8,2,5
PRAYAGRAJ,1138336.29,46.92,1,6
VARANASI,1113831.07,75883.54,1,7
RAE BARELI,1044612.06,61.01,2,8
SHAMLI (PRABUDH NAGAR),1014354.03,50.34,0,9
MAINPURI,1013710.36,58.0,0,10
SAHARANPUR,1003221.17,38.94,3,11
ALIGARH,927850.06,44.96,1,12
BHADOI,915404.4,464.26,0,13
KANPUR NAGAR,881047.53,38.32,0,14
UNNAO,877000.09,51.44,2,15
SAMBHAL (BHIM NAGAR),876541.19,52.82,1,16
ETAWAH,805177.12,40.41,0,17
PILIBHIT,791507.1,2898.27,1,18
SHAHJAHANPUR,767957.74,24.91,0,19
DEORIA,640153.76,40.53,1,20
AZAMGARH,632213.9,43.44,2,21
HAPUR (PANCHSHEEL NAGAR),628633.29,53.24,0,22
FATEHPUR,563174.22,22.49,0,23
AMETHI - CSM NAGAR,505641.47,61.18,1,24
LUCKNOW,494409.55,42.64,2,25
KANPUR DEHAT,478959.98,33.43,0,26
PRATAPGARH,440538.62,46.55,0,27
JALAUN,432280.81,53.04,0,28
BIJNOR,365143.34,57.48,0,29
FAIZABAD,352023.38,29672.56,0,30
JYOTIBA PHULE NAGAR (AMROHA),340081.94,52.97,0,31
BAHRAICH,307311.21,32.19,1,32
MAU,294186.07,27.49,1,33
SHRAWASTI,289295.18,16.93,0,34
BULANDSHAHR,284058.28,54.02,0,35
GHAZIABAD,283400.2,55.9,0,36
BASTI,281889.33,32.28,0,37
CHANDAULI,196213.3,14.78,0,38
BUDAUN,186918.86,48.91,1,39
HARDOI,166112.53,1801.88,0,40
SULTANPUR,162591.45,29.24,1,41
MATHURA,158918.47,33.53,1,42
KANNAUJ,158278.52,37.91,0,43
BAGHPAT,152449.76,34.98,0,44
MORADABAD,152108.0,42.38,3,45
SONBHADRA,150081.35,25.96,0,46
MUZAFFARNAGAR,129340.8,85498.59,0,47
HATHRAS,117449.51,20.56,0,48
MIRZAPUR,116702.37,7.57,0,49
KHERI,115438.23,22.47,0,50
MEERUT,114093.55,57.64,0,51
SITAPUR,106639.45,39.98,1,52
GHAZIPUR,100107.01,61.9,1,53
MAHARAJGANJ,96595.56,25.48,1,54
JAUNPUR,93967.07,23.29,2,55
BAREILLY,87868.56,57001.38,2,56
HAMIRPUR (U.P.),45495.38,49.21,0,57
SIDDHARTHNAGAR,28633.82,28.9,0,58
LALITPUR,5435.17,21.67,1,59
JHANSI,845.1,133.97,1,60
FARRUKHABAD,277.98,49.44,0,61
GAUTAM BUDDHA NAGAR,270.79,73.06,0,62
ETAH,142.38,42.24,1,63
GORAKHPUR,116.05,32.97,0,64
KANSHIRAM NAGAR,97.47,59.15,1,65
BALLIA,82.16,33.11,2,66
AURAIYA,70.89,25.87,1,67
KUSHINAGAR,68.52,27.58,2,68
AGRA,62.46,39.41,1,69
CHITRAKOOT,59.69,21.85,1,70
FIROZABAD,58.12,27.25,1,71
KAUSHAMBI,48.01,18.85,0,72
BALRAMPUR,38.71,14.55,0,73
GONDA,34.3,20.61,2,74
SANT KABIR NAGAR,15.6,14.72,1,75
