District,Block,Total_Schools,Growth_Schools,Decline_Schools,Recovery_Schools,Volatile_Schools,Low_Continuity_Schools,Wide_Enroll_Spread_Schools,Girls_Declining_Schools,Avg_Growth_pct,Avg_Continuity_8_9,Avg_Girls_Ratio,Block_Zone,Priority_Action_Flag
AGRA,ACCHNERA,5,1,0,2,1,0,0,0,21.74,570.34,0.624,YELLOW,False
AGRA,AKOLA,2,1,0,0,2,0,0,1,24.34,570.34,0.534,YELLOW,False
AGRA,BAH,2,0,1,0,1,0,0,2,-12.18,570.34,0.436,RED,True
AGRA,BAROLI AHEER,5,1,2,0,0,0,0,2,2.13,570.34,0.753,ORANGE,True
AGRA,BICHPURI,2,0,0,1,0,0,0,1,-1.48,570.34,0.556,YELLOW,False
AGRA,ETMADPUR,3,0,0,1,0,0,0,0,3.12,570.34,0.599,YELLOW,False
AGRA,FATEHABAD,3,0,0,1,2,0,0,1,-17.51,570.34,0.545,RED,True
AGRA,FATEHPUR  SIKRI,2,0,0,0,0,0,0,0,4.57,570.34,0.647,YELLOW,False
AGRA,JAGNER,2,0,0,1,1,0,0,0,26.76,570.34,0.5,YELLOW,False
AGRA,JAITPUR  KALAN,2,0,0,1,1,0,1,1,-10.36,570.34,0.537,RED,True
AGRA,KHANDOLI,5,1,0,1,1,0,0,0,10.31,570.34,0.644,YELLOW,False
AGRA,KHERAGARH,1,0,0,0,0,0,0,1,-6.94,570.34,1.0,ORANGE,True
AGRA,M.C.AGRA CITY,2,0,0,0,0,0,0,1,-0.71,570.34,0.5,YELLOW,False
AGRA,PINAHAT,1,0,0,0,0,0,0,0,0.0,570.34,0.509,YELLOW,False
AGRA,SAIYAN,1,0,0,1,1,0,0,0,3.57,570.34,0.638,YELLOW,False
AGRA,SHAMSHABAD,2,0,0,2,0,0,0,2,9.25,570.34,0.574,YELLOW,False
ALIGARH,AKRABAD,1,0,0,1,1,0,0,1,-26.7,570.34,0.536,RED,True
ALIGARH,ATRAULI,3,0,1,0,1,0,0,2,-27.59,570.34,0.859,RED,True
ALIGARH,BIJAULI,2,1,1,0,1,0,0,1,-17.22,570.34,0.774,RED,True
ALIGARH,CHANDAUS,4,0,0,2,0,0,0,1,6.06,570.34,0.62,YELLOW,False
ALIGARH,DHANIPUR,2,0,1,1,1,0,0,1,15.63,570.34,0.766,ORANGE,True
ALIGARH,GANGIRI,3,1,0,2,3,0,0,0,48.32,570.34,0.876,YELLOW,False
ALIGARH,GONDA,3,0,1,0,1,0,0,3,-25.66,570.34,0.53,RED,True
ALIGARH,IGLAS,3,1,0,2,1,0,0,1,12.73,570.34,0.713,YELLOW,False
ALIGARH,JAWAN,5,0,1,2,3,0,1,1,3.09,570.34,0.633,YELLOW,False
ALIGARH,KHAIR,3,0,1,0,1,0,0,2,-1.2,570.34,0.482,ORANGE,True
ALIGARH,LODHA,2,1,0,0,0,0,0,0,3.6,570.34,0.545,YELLOW,False
ALIGARH,NAGAR ALIGARH,3,0,0,0,1,0,0,1,-2.0,570.34,0.5,YELLOW,False
ALIGARH,NAGAR ATRAULI,1,0,1,0,0,0,0,1,-26.14,570.34,1.0,RED,True
ALIGARH,TAPPAL,2,0,0,2,1,0,0,0,26.22,570.34,0.75,YELLOW,False
AMBEDKAR NAGAR,AKBARPUR,7,2,0,2,4,0,0,3,38.3,570.34,0.723,YELLOW,False
AMBEDKAR NAGAR,BASKHARI,2,0,0,2,2,0,0,1,-8.52,570.34,0.635,ORANGE,True
AMBEDKAR NAGAR,BHEETI,1,1,0,0,1,0,0,0,95.18,570.34,1.0,GREEN,False
AMBEDKAR NAGAR,BHIYAON,3,1,0,2,3,0,0,0,90.59,570.34,0.488,YELLOW,False
AMBEDKAR NAGAR,JAHANGIRGANJ,4,1,0,3,4,0,0,1,30.74,570.34,0.49,YELLOW,False
AMBEDKAR NAGAR,JALALPUR,3,1,0,2,2,0,0,0,29.12,570.34,0.755,YELLOW,False
AMBEDKAR NAGAR,KATEHARI,3,1,0,2,1,0,0,0,18.21,570.34,0.557,YELLOW,False
AMBEDKAR NAGAR,RAMNAGAR,4,2,1,0,2,0,0,1,235.07,570.34,0.547,YELLOW,False
AMBEDKAR NAGAR,TANDA,4,0,0,3,1,0,0,2,-5.7,570.34,0.561,ORANGE,True
AMBEDKAR NAGAR,TANDA TOWN AREA,1,1,0,0,1,0,0,0,332.43,570.34,1.0,GREEN,False
AMETHI - CSM NAGAR,AMETHI,2,0,1,1,2,0,0,2,-37.46,570.34,0.754,RED,True
AMETHI - CSM NAGAR,BAHADURPUR,6,1,1,1,2,0,0,3,34.86,570.34,0.549,YELLOW,False
AMETHI - CSM NAGAR,BHADAR,4,0,0,2,2,0,0,2,12.59,570.34,0.692,YELLOW,False
AMETHI - CSM NAGAR,BHETUA,1,1,0,0,1,0,0,0,292.98,570.34,0.379,GREEN,False
AMETHI - CSM NAGAR,GAURIGANJ,2,0,0,1,0,0,0,1,-7.46,570.34,0.778,ORANGE,True
AMETHI - CSM NAGAR,JAGDISHPUR,4,2,1,1,2,0,0,2,-17.85,570.34,0.741,RED,True
AMETHI - CSM NAGAR,JAMO,3,1,0,0,1,0,0,0,25.12,570.34,0.577,YELLOW,False
AMETHI - CSM NAGAR,MUSAFIRKHANA,3,1,1,1,2,0,1,2,142.15,570.34,0.689,ORANGE,True
AMETHI - CSM NAGAR,SANGRAMPUR,1,0,0,1,1,0,0,0,21.43,570.34,1.0,YELLOW,False
AMETHI - CSM NAGAR,SHAHGARH,3,0,1,1,0,0,0,2,-2.3,570.34,0.698,ORANGE,True
AMETHI - CSM NAGAR,SHUKULBAZAR,1,0,0,1,0,0,0,1,-17.78,570.34,1.0,RED,True
AMETHI - CSM NAGAR,SINGHPUR,4,0,0,0,1,0,0,2,8.21,570.34,0.446,YELLOW,False
AMETHI - CSM NAGAR,TILOI,3,1,1,1,3,0,0,2,18.17,570.34,0.409,ORANGE,True
AURAIYA,ACHHALDA,2,0,0,1,1,0,0,1,-15.82,570.34,0.598,RED,True
AURAIYA,AIRWAKATRA,2,1,0,0,2,0,0,0,66.67,570.34,0.686,YELLOW,False
AURAIYA,AURAIYA,3,1,0,0,1,0,0,1,34.21,570.34,0.481,YELLOW,False
AURAIYA,BHAGYANAGAR,3,0,0,1,2,0,0,2,-10.62,570.34,0.686,RED,True
AURAIYA,BIDHUNA,2,1,0,1,2,0,0,0,82.21,570.34,0.81,YELLOW,False
AURAIYA,SAHAR,3,2,0,0,3,0,0,1,43.78,570.34,0.716,GREEN,False
