District,Block,Cluster_Type,Total_Schools_In_Block,Declining_Schools,Growing_Schools,Recovery_Schools
AGRA,ACCHNERA,Mixed Block,5,0,1,2
AGRA,AKOLA,Mixed Block,2,0,1,0
AGRA,BAH,Mixed Block,2,1,0,0
AGRA,BAROLI AHEER,Isolated Growth,5,2,1,0
AGRA,BICHPURI,Mixed Block,2,0,0,1
AGRA,ETMADPUR,Mixed Block,3,0,0,1
AGRA,FATEHABAD,Mixed Block,3,0,0,1
AGRA,FATEHPUR  SIKRI,Mixed Block,2,0,0,0
AGRA,JAGNER,Mixed Block,2,0,0,1
AGRA,JAITPUR  KALAN,Mixed Block,2,0,0,1
AGRA,KHANDOLI,Mixed Block,5,0,1,1
AGRA,KHERAGARH,Mixed Block,1,0,0,0
AGRA,M.C.AGRA CITY,Mixed Block,2,0,0,0
AGRA,PINAHAT,Mixed Block,1,0,0,0
AGRA,SAIYAN,Mixed Block,1,0,0,1
AGRA,SHAMSHABAD,Mixed Block,2,0,0,2
ALIGARH,AKRABAD,Mixed Block,1,0,0,1
ALIGARH,ATRAULI,Mixed Block,3,1,0,0
ALIGARH,BIJAULI,Isolated Decline,2,1,1,0
ALIGARH,CHANDAUS,Mixed Block,4,0,0,2
ALIGARH,DHANIPUR,Mixed Block,2,1,0,1
ALIGARH,GANGIRI,Mixed Block,3,0,1,2
ALIGARH,GONDA,Mixed Block,3,1,0,0
ALIGARH,IGLAS,Mixed Block,3,0,1,2
ALIGARH,JAWAN,Mixed Block,5,1,0,2
ALIGARH,KHAIR,Mixed Block,3,1,0,0
ALIGARH,LODHA,Mixed Block,2,0,1,0
ALIGARH,NAGAR ALIGARH,Mixed Block,3,0,0,0
ALIGARH,NAGAR ATRAULI,Isolated Decline,1,1,0,0
ALIGARH,TAPPAL,Mixed Block,2,0,0,2
AMBEDKAR NAGAR,AKBARPUR,Mixed Block,7,0,2,2
AMBEDKAR NAGAR,BASKHARI,Mixed Block,2,0,0,2
AMBEDKAR NAGAR,BHEETI,Isolated Growth,1,0,1,0
AMBEDKAR NAGAR,BHIYAON,Mixed Block,3,0,1,2
AMBEDKAR NAGAR,JAHANGIRGANJ,Recovery Cluster,4,0,1,3
AMBEDKAR NAGAR,JALALPUR,Mixed Block,3,0,1,2
AMBEDKAR NAGAR,KATEHARI,Mixed Block,3,0,1,2
AMBEDKAR NAGAR,RAMNAGAR,Isolated Decline,4,1,2,0
AMBEDKAR NAGAR,TANDA,Recovery Cluster,4,0,0,3
AMBEDKAR NAGAR,TANDA TOWN AREA,Isolated Growth,1,0,1,0
AMETHI - CSM NAGAR,AMETHI,Mixed Block,2,1,0,1
AMETHI - CSM NAGAR,BAHADURPUR,Mixed Block,6,1,1,1
AMETHI - CSM NAGAR,BHADAR,Mixed Block,4,0,0,2
AMETHI - CSM NAGAR,BHETUA,Isolated Growth,1,0,1,0
AMETHI - CSM NAGAR,GAURIGANJ,Mixed Block,2,0,0,1
AMETHI - CSM NAGAR,JAGDISHPUR,Isolated Decline,4,1,2,1
AMETHI - CSM NAGAR,JAMO,Mixed Block,3,0,1,0
AMETHI - CSM NAGAR,MUSAFIRKHANA,Isolated Decline,3,1,1,1
AMETHI - CSM NAGAR,SANGRAMPUR,Mixed Block,1,0,0,1
AMETHI - CSM NAGAR,SHAHGARH,Mixed Block,3,1,0,1
AMETHI - CSM NAGAR,SHUKULBAZAR,Mixed Block,1,0,0,1
AMETHI - CSM NAGAR,SINGHPUR,Mixed Block,4,0,0,0
AMETHI - CSM NAGAR,TILOI,Isolated Decline,3,1,1,1
AURAIYA,ACHHALDA,Mixed Block,2,0,0,1
