District,Block,Total_Declining_Schools,Most_Common_Reason
AGRA,AKOLA,1,Social/Gender Barrier
AGRA,BAH,1,Higher Education Transition Issue
AGRA,BAROLI AHEER,2,Higher Education Transition Issue
AGRA,BICHPURI,1,Higher Education Transition Issue
AGRA,ETMADPUR,1,Higher Education Transition Issue
AGRA,FATEHABAD,1,Social/Gender Barrier
AGRA,FATEHPUR  SIKRI,1,Higher Education Transition Issue
AGRA,JAITPUR  KALAN,2,Higher Education Transition Issue
AGRA,KHERAGARH,1,Undetermined
AGRA,M.C.AGRA CITY,1,Undetermined
ALIGARH,AKRABAD,1,Higher Education Transition Issue
ALIGARH,ATRAULI,3,Higher Education Transition Issue
ALIGARH,BIJAULI,1,Higher Education Transition Issue
ALIGARH,CHANDAUS,1,Undetermined
ALIGARH,DHANIPUR,1,Higher Education Transition Issue
ALIGARH,GONDA,3,Migration/Population Shift
ALIGARH,IGLAS,1,Higher Education Transition Issue
ALIGARH,JAWAN,2,Higher Education Transition Issue
ALIGARH,KHAIR,2,Social/Gender Barrier
ALIGARH,NAGAR ATRAULI,1,Undetermined
AMBEDKAR NAGAR,AKBARPUR,2,Higher Education Transition Issue
AMBEDKAR NAGAR,BASKHARI,1,Higher Education Transition Issue
AMBEDKAR NAGAR,JAHANGIRGANJ,1,Higher Education Transition Issue
AMBEDKAR NAGAR,RAMNAGAR,1,Higher Education Transition Issue
AMBEDKAR NAGAR,TANDA,3,Higher Education Transition Issue
AMETHI - CSM NAGAR,AMETHI,2,Higher Education Transition Issue
AMETHI - CSM NAGAR,BAHADURPUR,4,Infrastructure/External Shock
AMETHI - CSM NAGAR,BHADAR,3,Undetermined
AMETHI - CSM NAGAR,GAURIGANJ,1,Higher Education Transition Issue
AMETHI - CSM NAGAR,JAGDISHPUR,2,Social/Gender Barrier
AMETHI - CSM NAGAR,JAMO,1,Higher Education Transition Issue
AMETHI - CSM NAGAR,MUSAFIRKHANA,2,Undetermined
AMETHI - CSM NAGAR,SHAHGARH,1,Undetermined
AMETHI - CSM NAGAR,SHUKULBAZAR,1,Higher Education Transition Issue
AMETHI - CSM NAGAR,SINGHPUR,1,Low Enrollment at Board Class Boundary
AMETHI - CSM NAGAR,TILOI,1,Higher Education Transition Issue
AURAIYA,ACHHALDA,2,Higher Education Transition Issue
AURAIYA,AURAIYA,1,Social/Gender Barrier
AURAIYA,BHAGYANAGAR,2,Undetermined
