District,Block,Avg_Continuation_Ratio,Senior_Dropout_Schools,Senior_Collapse_Schools,Both_Growing_Schools
AGRA,ACCHNERA,21.1,0,3,2
AGRA,AKOLA,25.0,0,1,1
AGRA,BAH,48.1,0,1,0
AGRA,BAROLI AHEER,39.7,0,2,2
AGRA,BICHPURI,29.4,0,1,0
AGRA,ETMADPUR,0.0,0,3,0
AGRA,FATEHABAD,6.1,0,3,0
AGRA,FATEHPUR  SIKRI,0.0,0,2,0
AGRA,JAGNER,0.0,0,2,0
AGRA,JAITPUR  KALAN,30.6,0,1,0
AGRA,KHANDOLI,37.9,0,3,0
AGRA,KHERAGARH,66.0,0,0,0
AGRA,M.C.AGRA CITY,99.4,0,0,1
AGRA,PINAHAT,0.0,0,1,0
AGRA,SAIYAN,0.0,0,1,0
AGRA,SHAMSHABAD,0.0,0,2,0
ALIGARH,AKRABAD,0.0,0,1,0
ALIGARH,ATRAULI,99.0,0,0,0
ALIGARH,BIJAULI,79.8,0,0,1
ALIGARH,CHANDAUS,69.8,0,1,0
ALIGARH,DHANIPUR,37.6,0,1,0
ALIGARH,GANGIRI,11.5,0,2,0
ALIGARH,GONDA,71.2,0,0,0
ALIGARH,IGLAS,15.5,0,2,0
ALIGARH,JAWAN,29.6,0,3,0
ALIGARH,KHAIR,77.3,0,0,1
ALIGARH,LODHA,0.0,0,2,0
ALIGARH,NAGAR ALIGARH,46.2,0,1,0
ALIGARH,NAGAR ATRAULI,94.8,0,0,0
ALIGARH,TAPPAL,21.2,0,1,0
AMBEDKAR NAGAR,AKBARPUR,60.8,0,2,2
AMBEDKAR NAGAR,BASKHARI,0.0,0,2,0
AMBEDKAR NAGAR,BHEETI,32.8,0,0,0
AMBEDKAR NAGAR,BHIYAON,34.3,1,2,0
AMBEDKAR NAGAR,JAHANGIRGANJ,27.8,0,3,1
AMBEDKAR NAGAR,JALALPUR,15.4,1,2,0
AMBEDKAR NAGAR,KATEHARI,21.7,0,2,1
AMBEDKAR NAGAR,RAMNAGAR,27.0,1,2,0
AMBEDKAR NAGAR,TANDA,41.4,1,2,0
AMBEDKAR NAGAR,TANDA TOWN AREA,68.4,0,0,1
AMETHI - CSM NAGAR,AMETHI,35.2,0,1,0
AMETHI - CSM NAGAR,BAHADURPUR,60.8,0,2,1
AMETHI - CSM NAGAR,BHADAR,60.0,0,1,0
AMETHI - CSM NAGAR,BHETUA,47.4,0,0,1
AMETHI - CSM NAGAR,GAURIGANJ,72.0,0,0,0
AMETHI - CSM NAGAR,JAGDISHPUR,21.1,0,2,1
AMETHI - CSM NAGAR,JAMO,48.4,0,1,2
AMETHI - CSM NAGAR,MUSAFIRKHANA,38.2,0,1,1
AMETHI - CSM NAGAR,SANGRAMPUR,70.0,0,0,1
AMETHI - CSM NAGAR,SHAHGARH,27.1,0,2,0
AMETHI - CSM NAGAR,SHUKULBAZAR,50.0,0,0,0
AMETHI - CSM NAGAR,SINGHPUR,33.9,0,2,1
AMETHI - CSM NAGAR,TILOI,0.0,0,3,0
AURAIYA,ACHHALDA,0.0,0,2,0
AURAIYA,AIRWAKATRA,6.2,0,2,0
AURAIYA,AURAIYA,16.8,0,2,1
