District,Block,Boys_Only_Schools,Girls_Only_Schools,Boys_Dominated_Schools,Balanced_Schools,Avg_Girls_pct_2223,Avg_Girls_pct_2526,Block_Gender_Direction
AGRA,ACCHNERA,0,1,0,2,59.1,62.4,Improving
AGRA,AKOLA,0,0,0,1,59.6,53.4,Declining
AGRA,BAH,0,0,0,1,51.0,43.7,Declining
AGRA,BAROLI AHEER,0,2,0,0,70.1,75.3,Improving
AGRA,BICHPURI,0,0,0,1,50.6,55.6,Improving
AGRA,ETMADPUR,0,0,0,1,51.9,59.9,Improving
AGRA,FATEHABAD,0,0,0,0,32.8,54.5,Improving
AGRA,FATEHPUR  SIKRI,0,0,0,0,58.0,64.6,Improving
AGRA,JAGNER,0,0,0,0,59.2,50.0,Declining
AGRA,JAITPUR  KALAN,0,0,0,1,44.8,53.7,Improving
AGRA,KHANDOLI,0,1,0,2,61.1,64.4,Improving
AGRA,KHERAGARH,0,1,0,0,100.0,100.0,Stable
AGRA,M.C.AGRA CITY,1,1,0,0,50.0,50.0,Stable
AGRA,PINAHAT,0,0,0,1,43.6,50.9,Improving
AGRA,SAIYAN,0,0,0,0,48.2,63.8,Improving
AGRA,SHAMSHABAD,0,0,0,0,63.8,57.4,Declining
ALIGARH,AKRABAD,0,0,0,1,47.6,53.6,Improving
ALIGARH,ATRAULI,0,2,0,0,80.5,85.9,Improving
ALIGARH,BIJAULI,0,1,0,1,68.4,77.4,Improving
ALIGARH,CHANDAUS,0,1,0,1,59.8,62.0,Improving
ALIGARH,DHANIPUR,0,1,0,1,71.0,76.6,Improving
ALIGARH,GANGIRI,0,2,0,0,79.0,87.6,Improving
ALIGARH,GONDA,0,0,0,3,51.3,53.0,Stable
ALIGARH,IGLAS,0,1,0,1,69.5,71.3,Stable
ALIGARH,JAWAN,0,1,0,2,55.6,63.3,Improving
ALIGARH,KHAIR,0,0,0,2,50.1,48.2,Stable
ALIGARH,LODHA,0,0,0,1,28.2,54.5,Improving
ALIGARH,NAGAR ALIGARH,1,1,0,1,33.3,50.0,Improving
ALIGARH,NAGAR ATRAULI,0,1,0,0,100.0,100.0,Stable
ALIGARH,TAPPAL,0,1,0,1,74.6,75.0,Stable
AMBEDKAR NAGAR,AKBARPUR,0,3,0,4,73.1,72.3,Stable
AMBEDKAR NAGAR,BASKHARI,0,0,0,0,60.3,63.4,Improving
AMBEDKAR NAGAR,BHEETI,0,1,0,0,100.0,100.0,Stable
AMBEDKAR NAGAR,BHIYAON,0,0,0,1,45.2,48.8,Improving
AMBEDKAR NAGAR,JAHANGIRGANJ,0,0,0,1,45.5,49.0,Improving
AMBEDKAR NAGAR,JALALPUR,0,1,0,0,71.5,75.5,Improving
AMBEDKAR NAGAR,KATEHARI,0,0,0,1,49.8,55.7,Improving
AMBEDKAR NAGAR,RAMNAGAR,0,1,0,1,54.1,54.7,Stable
AMBEDKAR NAGAR,TANDA,0,1,0,2,55.6,56.1,Stable
AMBEDKAR NAGAR,TANDA TOWN AREA,0,1,0,0,100.0,100.0,Stable
AMETHI - CSM NAGAR,AMETHI,0,1,0,1,69.6,75.4,Improving
AMETHI - CSM NAGAR,BAHADURPUR,0,1,0,4,59.2,54.9,Declining
AMETHI - CSM NAGAR,BHADAR,0,1,0,0,65.3,69.2,Improving
AMETHI - CSM NAGAR,BHETUA,0,0,0,0,47.4,37.9,Declining
AMETHI - CSM NAGAR,GAURIGANJ,0,1,0,0,77.6,77.8,Stable
AMETHI - CSM NAGAR,JAGDISHPUR,0,2,0,1,52.4,74.1,Improving
AMETHI - CSM NAGAR,JAMO,0,1,1,1,50.8,57.7,Improving
AMETHI - CSM NAGAR,MUSAFIRKHANA,0,1,0,1,60.6,68.9,Improving
AMETHI - CSM NAGAR,SANGRAMPUR,0,1,0,0,100.0,100.0,Stable
AMETHI - CSM NAGAR,SHAHGARH,0,1,0,1,72.1,69.8,Declining
AMETHI - CSM NAGAR,SHUKULBAZAR,0,1,0,0,100.0,100.0,Stable
AMETHI - CSM NAGAR,SINGHPUR,0,0,0,2,47.8,44.6,Declining
