District,Block,Ghost_Schools,Micro_Schools,Very_Small_Schools,Critical_Closure_Risk,High_Closure_Risk
AGRA,ACCHNERA,0,0,0,0,0
AGRA,AKOLA,0,0,0,0,0
AGRA,BAH,0,0,0,0,1
AGRA,BAROLI AHEER,0,0,0,0,1
AGRA,BICHPURI,0,0,0,0,0
AGRA,ETMADPUR,0,0,0,0,0
AGRA,FATEHABAD,0,0,2,0,1
AGRA,FATEHPUR  SIKRI,0,0,1,0,0
AGRA,JAGNER,0,0,0,0,0
AGRA,JAITPUR  KALAN,0,0,0,0,0
AGRA,KHANDOLI,0,0,0,0,0
AGRA,KHERAGARH,0,0,0,0,0
AGRA,M.C.AGRA CITY,0,0,0,0,0
AGRA,PINAHAT,0,0,0,0,0
AGRA,SAIYAN,0,0,0,0,0
AGRA,SHAMSHABAD,0,0,0,0,0
ALIGARH,AKRABAD,0,0,0,0,0
ALIGARH,ATRAULI,0,0,0,0,0
ALIGARH,BIJAULI,0,0,1,1,0
ALIGARH,CHANDAUS,0,0,0,0,0
ALIGARH,DHANIPUR,0,0,0,0,0
ALIGARH,GANGIRI,0,1,0,0,0
ALIGARH,GONDA,0,0,0,0,0
ALIGARH,IGLAS,0,0,1,0,0
ALIGARH,JAWAN,0,1,0,0,1
ALIGARH,KHAIR,0,0,0,0,0
ALIGARH,LODHA,0,0,0,0,0
ALIGARH,NAGAR ALIGARH,1,0,0,0,0
ALIGARH,NAGAR ATRAULI,0,0,0,0,0
ALIGARH,TAPPAL,0,0,0,0,0
AMBEDKAR NAGAR,AKBARPUR,0,0,1,0,0
AMBEDKAR NAGAR,BASKHARI,0,0,1,0,0
AMBEDKAR NAGAR,BHEETI,0,0,0,0,0
AMBEDKAR NAGAR,BHIYAON,0,0,0,0,0
AMBEDKAR NAGAR,JAHANGIRGANJ,0,0,0,0,0
AMBEDKAR NAGAR,JALALPUR,0,0,0,0,0
AMBEDKAR NAGAR,KATEHARI,0,0,0,0,0
AMBEDKAR NAGAR,RAMNAGAR,0,0,0,0,0
AMBEDKAR NAGAR,TANDA,0,0,0,0,0
AMBEDKAR NAGAR,TANDA TOWN AREA,0,0,0,0,0
AMETHI - CSM NAGAR,AMETHI,0,0,0,0,0
AMETHI - CSM NAGAR,BAHADURPUR,0,0,0,0,0
AMETHI - CSM NAGAR,BHADAR,0,0,0,0,0
AMETHI - CSM NAGAR,BHETUA,0,0,0,0,0
AMETHI - CSM NAGAR,GAURIGANJ,0,0,0,0,0
AMETHI - CSM NAGAR,JAGDISHPUR,0,1,0,0,2
AMETHI - CSM NAGAR,JAMO,0,0,0,0,0
AMETHI - CSM NAGAR,MUSAFIRKHANA,0,0,1,1,0
AMETHI - CSM NAGAR,SANGRAMPUR,0,0,1,0,0
AMETHI - CSM NAGAR,SHAHGARH,0,0,0,0,0
AMETHI - CSM NAGAR,SHUKULBAZAR,0,0,0,0,0
AMETHI - CSM NAGAR,SINGHPUR,0,0,0,0,0
AMETHI - CSM NAGAR,TILOI,0,0,1,0,2
AURAIYA,ACHHALDA,0,0,0,0,0
AURAIYA,AIRWAKATRA,0,1,1,0,0
AURAIYA,AURAIYA,0,0,0,0,0
AURAIYA,BHAGYANAGAR,0,1,1,0,1
AURAIYA,BIDHUNA,0,0,0,0,0
AURAIYA,SAHAR,0,1,0,0,1
AZAMGARH,ATRAULIYA,0,0,0,0,0
AZAMGARH,AZAMGRAH,0,0,0,0,0
AZAMGARH,AZMATGARH,0,0,0,0,0
AZAMGARH,BILARIYAGANJ,0,0,0,0,0
AZAMGARH,FOOLPOOR,0,0,0,0,0
AZAMGARH,HARRAIYA,0,0,2,1,1
AZAMGARH,JAHANAGANJ,0,0,0,0,1
AZAMGARH,LALGANJ,0,0,0,0,0
AZAMGARH,MAHARAJ GANJ,0,0,1,0,0
AZAMGARH,MIRZAPUR,0,0,0,0,0
AZAMGARH,MOHAMMADPUR,0,0,0,0,0
AZAMGARH,PALHNA,0,0,0,0,0
AZAMGARH,PAWAE,0,0,0,0,0
AZAMGARH,SATHIYAN,0,0,0,0,0
AZAMGARH,TAHBERPUR,0,0,0,0,0
AZAMGARH,TARWA,0,0,1,0,0
AZAMGARH,THEKMA,0,0,1,1,0
BAGHPAT,BAGPAT,0,0,0,0,0
BAGHPAT,BAROUT,0,0,1,0,0
BAGHPAT,BAROUT URBAN,0,0,0,0,0
BAGHPAT,BINOLY,0,0,0,0,0
BAGHPAT,CHHAPROLI,0,0,1,0,0
BAGHPAT,KHEKRA,0,0,1,0,0
BAGHPAT,PILANA,0,0,0,0,0
BAHRAICH,BALHA,0,0,0,0,0
BAHRAICH,CHITTAURA,0,0,0,0,0
BAHRAICH,FAKHAR PUR,0,0,0,0,0
BAHRAICH,HUJUR PUR,0,0,1,0,1
BAHRAICH,JARWAL,0,0,0,0,0
BAHRAICH,KAISER GANJ,0,0,0,0,0
BAHRAICH,MAHSI,0,0,0,0,0
BAHRAICH,MIHIN PURVA,0,0,1,0,0
BAHRAICH,NAGAR AREA,0,0,0,0,0
BAHRAICH,NAWAB GANJ,0,0,0,0,0
BAHRAICH,PAYAGPUR,0,0,0,0,0
BAHRAICH,RISIA,0,0,0,0,0
BAHRAICH,SHIV PUR,0,0,0,0,0
BAHRAICH,TAJWA PUR,0,0,0,0,0
BAHRAICH,VISHESHWAR  GANJ,0,0,0,0,0
BALLIA,BAIRIA,0,0,0,0,0
BALLIA,BALLIA N.P.,0,0,0,0,0
BALLIA,BANSDEEH,0,0,1,0,0
BALLIA,BELAHARI,0,0,0,0,0
BALLIA,CHILKAHAR,0,0,1,0,1
BALLIA,DUBAHAR,0,0,0,0,0
BALLIA,GARWAR,0,0,0,0,0
BALLIA,MANIAR,0,0,0,0,0
BALLIA,MURLI CHHAPRA,0,0,1,0,0
BALLIA,NAGARA,1,0,0,1,1
BALLIA,NAVANAGAR,0,0,0,0,0
BALLIA,PANDAH,0,0,1,1,0
BALLIA,RASARA,0,0,0,0,0
BALLIA,REVATI,0,0,1,0,1
BALLIA,SEAR,0,0,0,0,0
BALLIA,SOHAWN,0,0,0,0,0
BALRAMPUR,BALRAMPUR,0,0,0,0,0
BALRAMPUR,GAINDAS BUZURG,0,0,0,0,0
BALRAMPUR,GAINSARI,0,0,0,0,0
BALRAMPUR,HARAIYA SATGHARWA,0,0,0,0,0
BALRAMPUR,PACHPERWA,0,0,0,0,0
BALRAMPUR,REHRA BAZAR,0,0,1,0,0
BALRAMPUR,SHRIDUTTGANJ,0,0,0,0,1
BALRAMPUR,TULSIPUR,0,0,0,0,0
BALRAMPUR,UTRAULA (MUN. CORP.),0,0,0,0,0
BANDA,BABERU,0,0,0,0,0
BANDA,BADOKHAR KHURD,0,0,0,0,1
BANDA,BISANDA,0,0,0,0,0
BANDA,JASPURA,0,0,0,0,0
BANDA,KAMASIN,0,0,0,0,0
BANDA,MAHUWA,0,0,1,0,0
BANDA,NAGAR KSHETRA,0,0,0,0,0
BANDA,NARAINI,0,0,1,0,2
BANDA,TINDWARI,0,0,0,0,0
BARABANKI,BANI KODAR,0,0,0,0,0
BARABANKI,BANKI,0,0,0,0,0
BARABANKI,BARABANKI CITY,0,0,0,0,0
BARABANKI,DARIYA BAD,0,0,0,0,0
BARABANKI,DEWA,0,0,0,0,0
BARABANKI,FATEH PUR,0,0,0,0,0
BARABANKI,HAIDAR GARH,0,0,0,0,1
