District,Block,Avg_Girls_Progression,Avg_C10_C11_pct,Collapsed_Enrollment_Schools,C1011_Gap_Schools,Strong_Enrollment_Schools,Block_Girls_Enrollment_Health
AGRA,ACCHNERA,62.0,20.5,0,1,0,Strong
AGRA,AKOLA,72.2,40.9,0,0,0,Strong
AGRA,BAH,80.0,80.0,0,0,1,Strong
AGRA,BAROLI AHEER,93.2,56.4,0,1,1,Strong
AGRA,BICHPURI,63.6,55.7,0,0,0,Strong
AGRA,ETMADPUR,0.0,0.0,0,0,0,Weak
AGRA,FATEHABAD,0.0,11.1,1,0,0,Weak
AGRA,FATEHPUR  SIKRI,0.0,0.0,0,0,0,Weak
AGRA,JAGNER,0.0,0.0,0,0,0,Weak
AGRA,JAITPUR  KALAN,42.8,150.0,0,0,0,Moderate
AGRA,KHANDOLI,136.5,57.4,0,0,1,Strong
AGRA,KHERAGARH,250.0,70.7,0,0,0,Strong
AGRA,M.C.AGRA CITY,210.0,108.0,0,0,1,Strong
AGRA,PINAHAT,0.0,0.0,0,0,0,Weak
AGRA,SAIYAN,0.0,0.0,0,0,0,Weak
AGRA,SHAMSHABAD,0.0,0.0,0,0,0,Weak
ALIGARH,AKRABAD,0.0,0.0,0,0,0,Weak
ALIGARH,ATRAULI,3600120.6,78.2,0,2,1,Strong
ALIGARH,BIJAULI,1050081.2,32.5,0,2,0,Strong
ALIGARH,CHANDAUS,2200037.0,61.2,0,1,1,Strong
ALIGARH,DHANIPUR,93.8,34.7,0,1,0,Strong
ALIGARH,GANGIRI,60.0,10.8,0,1,0,Moderate
ALIGARH,GONDA,202.0,99.0,0,1,2,Strong
ALIGARH,IGLAS,44.1,16.4,0,1,0,Moderate
ALIGARH,JAWAN,1540000.0,28.7,1,0,0,Moderate
ALIGARH,KHAIR,1333420.6,68.7,0,1,0,Strong
ALIGARH,LODHA,0.0,0.0,0,0,0,Weak
ALIGARH,NAGAR ALIGARH,89.4,53.6,0,0,1,Strong
ALIGARH,NAGAR ATRAULI,293.3,115.8,0,0,1,Strong
ALIGARH,TAPPAL,45.2,26.4,0,1,0,Moderate
AMBEDKAR NAGAR,AKBARPUR,4242900.0,55.2,0,1,3,Strong
AMBEDKAR NAGAR,BASKHARI,0.0,0.0,0,0,0,Weak
AMBEDKAR NAGAR,BHEETI,2400000.0,22.2,0,1,0,Strong
AMBEDKAR NAGAR,BHIYAON,103.2,52.4,0,0,0,Strong
AMBEDKAR NAGAR,JAHANGIRGANJ,675000.0,38.1,0,0,0,Strong
AMBEDKAR NAGAR,JALALPUR,48.2,16.0,0,1,0,Moderate
AMBEDKAR NAGAR,KATEHARI,1200000.0,41.7,0,0,0,Strong
AMBEDKAR NAGAR,RAMNAGAR,625175.0,28.4,0,1,0,Strong
AMBEDKAR NAGAR,TANDA,1000055.8,42.4,0,0,1,Strong
AMBEDKAR NAGAR,TANDA TOWN AREA,139.1,126.9,0,0,0,Strong
AMETHI - CSM NAGAR,AMETHI,247.5,20.3,0,1,0,Strong
AMETHI - CSM NAGAR,BAHADURPUR,2467298.8,73.5,0,0,2,Strong
AMETHI - CSM NAGAR,BHADAR,527.0,67.8,0,0,2,Strong
AMETHI - CSM NAGAR,BHETUA,93.7,60.9,0,1,0,Strong
AMETHI - CSM NAGAR,GAURIGANJ,400205.0,102.8,0,1,0,Strong
AMETHI - CSM NAGAR,JAGDISHPUR,325043.3,39.3,0,1,0,Strong
AMETHI - CSM NAGAR,JAMO,366747.2,111.9,0,1,0,Strong
AMETHI - CSM NAGAR,MUSAFIRKHANA,155.4,69.1,1,0,1,Moderate
AMETHI - CSM NAGAR,SANGRAMPUR,700000.0,58.3,0,1,0,Strong
AMETHI - CSM NAGAR,SHAHGARH,98.8,36.7,0,0,1,Strong
AMETHI - CSM NAGAR,SHUKULBAZAR,108.0,38.5,0,1,0,Strong
AMETHI - CSM NAGAR,SINGHPUR,137.5,84.4,0,1,0,Strong
AMETHI - CSM NAGAR,TILOI,0.0,0.0,0,0,0,Weak
AURAIYA,ACHHALDA,0.0,0.0,0,0,0,Weak
AURAIYA,AIRWAKATRA,0.0,12.5,1,0,0,Weak
AURAIYA,AURAIYA,61.1,50.0,0,0,0,Strong
AURAIYA,BHAGYANAGAR,39.6,40.6,0,0,0,Moderate
AURAIYA,BIDHUNA,230.8,33.2,0,1,0,Strong
AURAIYA,SAHAR,100.0,8.3,0,0,0,Strong
AZAMGARH,ATRAULIYA,7100000.0,85.7,0,0,0,Strong
AZAMGARH,AZAMGRAH,381.5,109.4,0,0,1,Strong
AZAMGARH,AZMATGARH,276.8,91.7,0,0,1,Strong
AZAMGARH,BILARIYAGANJ,4500000.0,100.0,0,0,0,Strong
AZAMGARH,FOOLPOOR,0.0,0.0,0,0,0,Weak
AZAMGARH,HARRAIYA,180.0,56.7,0,0,0,Strong
AZAMGARH,JAHANAGANJ,0.0,0.0,0,0,0,Weak
AZAMGARH,LALGANJ,1266666.7,20.9,0,1,0,Strong
AZAMGARH,MAHARAJ GANJ,11.1,50.0,1,0,0,Weak
AZAMGARH,MIRZAPUR,156.7,65.0,0,1,0,Strong
AZAMGARH,MOHAMMADPUR,0.0,47.2,1,0,0,Weak
AZAMGARH,PALHNA,0.0,0.0,0,0,0,Weak
AZAMGARH,PAWAE,1824.1,32.7,0,1,0,Strong
AZAMGARH,SATHIYAN,333.3,31.9,0,0,0,Strong
AZAMGARH,TAHBERPUR,0.0,0.0,0,0,0,Weak
AZAMGARH,TARWA,400000.0,112.5,0,0,0,Strong
AZAMGARH,THEKMA,0.0,0.0,0,0,0,Weak
BAGHPAT,BAGPAT,300038.0,42.8,0,0,1,Strong
BAGHPAT,BAROUT,58.4,52.1,0,0,1,Moderate
BAGHPAT,BAROUT URBAN,259.1,55.6,0,1,0,Strong
BAGHPAT,BINOLY,115.5,32.4,0,0,0,Strong
BAGHPAT,CHHAPROLI,400014.2,35.3,0,1,0,Strong
BAGHPAT,KHEKRA,0.0,0.0,0,0,0,Weak
BAGHPAT,PILANA,166.5,43.3,0,0,0,Strong
BAHRAICH,BALHA,625000.0,11.6,0,1,0,Strong
BAHRAICH,CHITTAURA,0.0,0.0,0,0,0,Weak
BAHRAICH,FAKHAR PUR,22.6,40.8,0,0,0,Weak
BAHRAICH,HUJUR PUR,383355.6,108.4,0,1,0,Strong
BAHRAICH,JARWAL,5.1,6.5,0,0,0,Weak
BAHRAICH,KAISER GANJ,120.4,24.0,0,0,1,Strong
BAHRAICH,MAHSI,0.0,0.0,0,0,0,Weak
BAHRAICH,MIHIN PURVA,171428.6,18.9,0,0,0,Strong
BAHRAICH,NAGAR AREA,315.1,146.6,0,0,1,Strong
BAHRAICH,NAWAB GANJ,1566747.2,42.6,0,0,0,Strong
BAHRAICH,PAYAGPUR,2066666.7,34.3,0,0,1,Strong
BAHRAICH,RISIA,0.0,0.0,0,0,0,Weak
BAHRAICH,SHIV PUR,0.0,0.0,0,0,0,Weak
BAHRAICH,TAJWA PUR,96.4,38.4,0,0,0,Strong
BAHRAICH,VISHESHWAR  GANJ,0.0,13.0,1,0,0,Weak
BALLIA,BAIRIA,96.4,43.7,0,1,0,Strong
BALLIA,BALLIA N.P.,221.4,95.5,0,0,1,Strong
BALLIA,BANSDEEH,249.9,85.7,0,0,1,Strong
BALLIA,BELAHARI,0.0,0.0,0,0,0,Weak
BALLIA,CHILKAHAR,0.0,0.0,0,0,0,Weak
BALLIA,DUBAHAR,127.8,68.4,0,1,0,Strong
BALLIA,GARWAR,0.0,0.0,0,0,0,Weak
BALLIA,MANIAR,0.0,0.0,0,0,0,Weak
BALLIA,MURLI CHHAPRA,55.6,21.1,0,1,0,Moderate
BALLIA,NAGARA,0.0,0.0,0,0,0,Weak
BALLIA,NAVANAGAR,0.0,81.8,1,0,0,Weak
BALLIA,PANDAH,549.4,43.8,0,0,0,Strong
BALLIA,RASARA,112.7,51.5,0,1,1,Strong
BALLIA,REVATI,0.0,0.0,0,0,0,Weak
BALLIA,SEAR,0.0,45.1,1,0,0,Weak
BALLIA,SOHAWN,162.1,109.5,0,0,0,Strong
BALRAMPUR,BALRAMPUR,0.0,0.0,0,0,0,Weak
BALRAMPUR,GAINDAS BUZURG,48.9,22.4,0,1,0,Moderate
BALRAMPUR,GAINSARI,128.8,36.1,0,0,0,Strong
BALRAMPUR,HARAIYA SATGHARWA,0.0,0.0,0,0,0,Weak
BALRAMPUR,PACHPERWA,0.0,0.0,0,0,0,Weak
BALRAMPUR,REHRA BAZAR,0.0,0.0,0,0,0,Weak
BALRAMPUR,SHRIDUTTGANJ,45.0,28.6,0,0,0,Moderate
BALRAMPUR,TULSIPUR,0.0,0.0,0,0,0,Weak
BALRAMPUR,UTRAULA (MUN. CORP.),187.5,52.5,0,1,0,Strong
BANDA,BABERU,71.6,26.4,0,0,1,Strong
BANDA,BADOKHAR KHURD,69.8,29.5,0,1,0,Strong
