District,Block,Year,Total_Enrollment,Avg_Enrollment,School_Count
AGRA,ACCHNERA,2022-23,666,133.2,5
AGRA,ACCHNERA,2023-24,717,143.4,5
AGRA,ACCHNERA,2024-25,735,147.0,5
AGRA,ACCHNERA,2025-26,777,155.4,5
AGRA,AKOLA,2022-23,233,116.5,2
AGRA,AKOLA,2023-24,211,105.5,2
AGRA,AKOLA,2024-25,253,126.5,2
AGRA,AKOLA,2025-26,264,132.0,2
AGRA,BAH,2022-23,289,144.5,2
AGRA,BAH,2023-24,252,126.0,2
AGRA,BAH,2024-25,240,120.0,2
AGRA,BAH,2025-26,246,123.0,2
AGRA,BAROLI AHEER,2022-23,1526,305.2,5
AGRA,BAROLI AHEER,2023-24,1551,310.2,5
AGRA,BAROLI AHEER,2024-25,1517,303.4,5
AGRA,BAROLI AHEER,2025-26,1461,292.2,5
AGRA,BICHPURI,2022-23,511,255.5,2
AGRA,BICHPURI,2023-24,491,245.5,2
AGRA,BICHPURI,2024-25,504,252.0,2
AGRA,BICHPURI,2025-26,513,256.5,2
AGRA,ETMADPUR,2022-23,308,102.7,3
AGRA,ETMADPUR,2023-24,306,102.0,3
AGRA,ETMADPUR,2024-25,322,107.3,3
AGRA,ETMADPUR,2025-26,320,106.7,3
AGRA,FATEHABAD,2022-23,101,50.5,2
AGRA,FATEHABAD,2023-24,148,49.3,3
AGRA,FATEHABAD,2024-25,182,60.7,3
AGRA,FATEHABAD,2025-26,167,55.7,3
AGRA,FATEHPUR  SIKRI,2022-23,99,49.5,2
AGRA,FATEHPUR  SIKRI,2023-24,115,57.5,2
AGRA,FATEHPUR  SIKRI,2024-25,116,58.0,2
AGRA,FATEHPUR  SIKRI,2025-26,102,51.0,2
AGRA,JAGNER,2022-23,113,56.5,2
AGRA,JAGNER,2023-24,102,51.0,2
AGRA,JAGNER,2024-25,134,67.0,2
AGRA,JAGNER,2025-26,140,70.0,2
AGRA,JAITPUR  KALAN,2022-23,159,79.5,2
AGRA,JAITPUR  KALAN,2023-24,140,70.0,2
AGRA,JAITPUR  KALAN,2024-25,136,68.0,2
AGRA,JAITPUR  KALAN,2025-26,143,71.5,2
AGRA,KHANDOLI,2022-23,966,193.2,5
AGRA,KHANDOLI,2023-24,1039,207.8,5
AGRA,KHANDOLI,2024-25,1095,219.0,5
AGRA,KHANDOLI,2025-26,1050,210.0,5
AGRA,KHERAGARH,2022-23,173,173.0,1
AGRA,KHERAGARH,2023-24,155,155.0,1
AGRA,KHERAGARH,2024-25,167,167.0,1
AGRA,KHERAGARH,2025-26,161,161.0,1
AGRA,M.C.AGRA CITY,2022-23,1830,915.0,2
AGRA,M.C.AGRA CITY,2023-24,1875,937.5,2
AGRA,M.C.AGRA CITY,2024-25,2072,1036.0,2
AGRA,M.C.AGRA CITY,2025-26,1860,930.0,2
AGRA,PINAHAT,2022-23,55,55.0,1
AGRA,PINAHAT,2023-24,65,65.0,1
AGRA,PINAHAT,2024-25,65,65.0,1
AGRA,PINAHAT,2025-26,55,55.0,1
AGRA,SAIYAN,2022-23,56,56.0,1
AGRA,SAIYAN,2023-24,39,39.0,1
AGRA,SAIYAN,2024-25,53,53.0,1
AGRA,SAIYAN,2025-26,58,58.0,1
AGRA,SHAMSHABAD,2022-23,191,95.5,2
AGRA,SHAMSHABAD,2023-24,173,86.5,2
AGRA,SHAMSHABAD,2024-25,194,97.0,2
AGRA,SHAMSHABAD,2025-26,208,104.0,2
ALIGARH,AKRABAD,2022-23,191,191.0,1
ALIGARH,AKRABAD,2023-24,165,165.0,1
ALIGARH,AKRABAD,2024-25,134,134.0,1
ALIGARH,AKRABAD,2025-26,140,140.0,1
ALIGARH,ATRAULI,2022-23,1224,408.0,3
ALIGARH,ATRAULI,2023-24,1124,374.7,3
ALIGARH,ATRAULI,2024-25,1038,346.0,3
ALIGARH,ATRAULI,2025-26,880,293.3,3
ALIGARH,BIJAULI,2022-23,236,118.0,2
ALIGARH,BIJAULI,2023-24,209,104.5,2
ALIGARH,BIJAULI,2024-25,221,110.5,2
ALIGARH,BIJAULI,2025-26,197,98.5,2
ALIGARH,CHANDAUS,2022-23,682,170.5,4
ALIGARH,CHANDAUS,2023-24,662,165.5,4
ALIGARH,CHANDAUS,2024-25,680,170.0,4
ALIGARH,CHANDAUS,2025-26,713,178.2,4
ALIGARH,DHANIPUR,2022-23,293,146.5,2
ALIGARH,DHANIPUR,2023-24,264,132.0,2
ALIGARH,DHANIPUR,2024-25,278,139.0,2
ALIGARH,DHANIPUR,2025-26,278,139.0,2
ALIGARH,GANGIRI,2022-23,114,38.0,3
ALIGARH,GANGIRI,2023-24,114,38.0,3
ALIGARH,GANGIRI,2024-25,150,50.0,3
ALIGARH,GANGIRI,2025-26,168,56.0,3
ALIGARH,GONDA,2022-23,1173,391.0,3
ALIGARH,GONDA,2023-24,1241,413.7,3
ALIGARH,GONDA,2024-25,928,309.3,3
ALIGARH,GONDA,2025-26,878,292.7,3
ALIGARH,IGLAS,2022-23,373,124.3,3
ALIGARH,IGLAS,2023-24,347,115.7,3
ALIGARH,IGLAS,2024-25,375,125.0,3
ALIGARH,IGLAS,2025-26,441,147.0,3
ALIGARH,JAWAN,2022-23,589,117.8,5
ALIGARH,JAWAN,2023-24,553,110.6,5
ALIGARH,JAWAN,2024-25,525,105.0,5
ALIGARH,JAWAN,2025-26,513,102.6,5
ALIGARH,KHAIR,2022-23,657,219.0,3
ALIGARH,KHAIR,2023-24,660,220.0,3
ALIGARH,KHAIR,2024-25,637,212.3,3
ALIGARH,KHAIR,2025-26,617,205.7,3
ALIGARH,LODHA,2022-23,250,250.0,1
ALIGARH,LODHA,2023-24,298,149.0,2
ALIGARH,LODHA,2024-25,306,153.0,2
ALIGARH,LODHA,2025-26,325,162.5,2
ALIGARH,NAGAR ALIGARH,2022-23,2353,1176.5,2
ALIGARH,NAGAR ALIGARH,2023-24,2428,809.3,3
ALIGARH,NAGAR ALIGARH,2024-25,2461,820.3,3
ALIGARH,NAGAR ALIGARH,2025-26,2311,770.3,3
ALIGARH,NAGAR ATRAULI,2022-23,918,918.0,1
ALIGARH,NAGAR ATRAULI,2023-24,848,848.0,1
ALIGARH,NAGAR ATRAULI,2024-25,715,715.0,1
ALIGARH,NAGAR ATRAULI,2025-26,678,678.0,1
ALIGARH,TAPPAL,2022-23,175,87.5,2
ALIGARH,TAPPAL,2023-24,159,79.5,2
ALIGARH,TAPPAL,2024-25,153,76.5,2
ALIGARH,TAPPAL,2025-26,208,104.0,2
AMBEDKAR NAGAR,AKBARPUR,2022-23,1441,205.9,7
AMBEDKAR NAGAR,AKBARPUR,2023-24,1375,196.4,7
AMBEDKAR NAGAR,AKBARPUR,2024-25,1536,219.4,7
AMBEDKAR NAGAR,AKBARPUR,2025-26,1552,221.7,7
AMBEDKAR NAGAR,BASKHARI,2022-23,139,69.5,2
AMBEDKAR NAGAR,BASKHARI,2023-24,101,50.5,2
AMBEDKAR NAGAR,BASKHARI,2024-25,75,37.5,2
AMBEDKAR NAGAR,BASKHARI,2025-26,114,57.0,2
