District,Block,Year,Avg_Girls_Ratio
AGRA,ACCHNERA,2022-23,0.591
AGRA,ACCHNERA,2023-24,0.567
AGRA,ACCHNERA,2024-25,0.607
AGRA,ACCHNERA,2025-26,0.623
AGRA,AKOLA,2022-23,0.597
AGRA,AKOLA,2023-24,0.588
AGRA,AKOLA,2024-25,0.558
AGRA,AKOLA,2025-26,0.534
AGRA,BAH,2022-23,0.51
AGRA,BAH,2023-24,0.453
AGRA,BAH,2024-25,0.436
AGRA,BAH,2025-26,0.437
AGRA,BAROLI AHEER,2022-23,0.701
AGRA,BAROLI AHEER,2023-24,0.742
AGRA,BAROLI AHEER,2024-25,0.735
AGRA,BAROLI AHEER,2025-26,0.753
AGRA,BICHPURI,2022-23,0.506
AGRA,BICHPURI,2023-24,0.517
AGRA,BICHPURI,2024-25,0.526
AGRA,BICHPURI,2025-26,0.556
AGRA,ETMADPUR,2022-23,0.518
AGRA,ETMADPUR,2023-24,0.509
AGRA,ETMADPUR,2024-25,0.541
AGRA,ETMADPUR,2025-26,0.599
AGRA,FATEHABAD,2022-23,0.492
AGRA,FATEHABAD,2023-24,0.611
AGRA,FATEHABAD,2024-25,0.608
AGRA,FATEHABAD,2025-26,0.545
AGRA,FATEHPUR  SIKRI,2022-23,0.579
AGRA,FATEHPUR  SIKRI,2023-24,0.621
AGRA,FATEHPUR  SIKRI,2024-25,0.564
AGRA,FATEHPUR  SIKRI,2025-26,0.647
AGRA,JAGNER,2022-23,0.592
AGRA,JAGNER,2023-24,0.518
AGRA,JAGNER,2024-25,0.512
AGRA,JAGNER,2025-26,0.5
AGRA,JAITPUR  KALAN,2022-23,0.448
AGRA,JAITPUR  KALAN,2023-24,0.506
AGRA,JAITPUR  KALAN,2024-25,0.556
AGRA,JAITPUR  KALAN,2025-26,0.537
AGRA,KHANDOLI,2022-23,0.611
AGRA,KHANDOLI,2023-24,0.58
AGRA,KHANDOLI,2024-25,0.595
AGRA,KHANDOLI,2025-26,0.644
AGRA,KHERAGARH,2022-23,1.0
AGRA,KHERAGARH,2023-24,1.0
AGRA,KHERAGARH,2024-25,1.0
AGRA,KHERAGARH,2025-26,1.0
AGRA,M.C.AGRA CITY,2022-23,0.5
AGRA,M.C.AGRA CITY,2023-24,0.5
AGRA,M.C.AGRA CITY,2024-25,0.5
AGRA,M.C.AGRA CITY,2025-26,0.5
AGRA,PINAHAT,2022-23,0.436
AGRA,PINAHAT,2023-24,0.354
AGRA,PINAHAT,2024-25,0.4
AGRA,PINAHAT,2025-26,0.509
AGRA,SAIYAN,2022-23,0.482
AGRA,SAIYAN,2023-24,0.487
AGRA,SAIYAN,2024-25,0.623
AGRA,SAIYAN,2025-26,0.638
AGRA,SHAMSHABAD,2022-23,0.638
AGRA,SHAMSHABAD,2023-24,0.585
AGRA,SHAMSHABAD,2024-25,0.564
AGRA,SHAMSHABAD,2025-26,0.573
ALIGARH,AKRABAD,2022-23,0.476
ALIGARH,AKRABAD,2023-24,0.448
ALIGARH,AKRABAD,2024-25,0.463
ALIGARH,AKRABAD,2025-26,0.536
ALIGARH,ATRAULI,2022-23,0.805
ALIGARH,ATRAULI,2023-24,0.86
ALIGARH,ATRAULI,2024-25,0.853
ALIGARH,ATRAULI,2025-26,0.859
ALIGARH,BIJAULI,2022-23,0.683
ALIGARH,BIJAULI,2023-24,0.742
ALIGARH,BIJAULI,2024-25,0.762
ALIGARH,BIJAULI,2025-26,0.774
ALIGARH,CHANDAUS,2022-23,0.598
ALIGARH,CHANDAUS,2023-24,0.603
ALIGARH,CHANDAUS,2024-25,0.632
ALIGARH,CHANDAUS,2025-26,0.62
ALIGARH,DHANIPUR,2022-23,0.71
ALIGARH,DHANIPUR,2023-24,0.692
ALIGARH,DHANIPUR,2024-25,0.741
ALIGARH,DHANIPUR,2025-26,0.766
ALIGARH,GANGIRI,2022-23,0.79
ALIGARH,GANGIRI,2023-24,0.79
ALIGARH,GANGIRI,2024-25,0.823
ALIGARH,GANGIRI,2025-26,0.876
ALIGARH,GONDA,2022-23,0.513
ALIGARH,GONDA,2023-24,0.498
ALIGARH,GONDA,2024-25,0.533
ALIGARH,GONDA,2025-26,0.53
ALIGARH,IGLAS,2022-23,0.695
ALIGARH,IGLAS,2023-24,0.722
ALIGARH,IGLAS,2024-25,0.72
ALIGARH,IGLAS,2025-26,0.713
ALIGARH,JAWAN,2022-23,0.556
ALIGARH,JAWAN,2023-24,0.591
ALIGARH,JAWAN,2024-25,0.59
ALIGARH,JAWAN,2025-26,0.633
ALIGARH,KHAIR,2022-23,0.501
ALIGARH,KHAIR,2023-24,0.49
ALIGARH,KHAIR,2024-25,0.494
ALIGARH,KHAIR,2025-26,0.482
ALIGARH,LODHA,2022-23,0.564
ALIGARH,LODHA,2023-24,0.616
ALIGARH,LODHA,2024-25,0.568
ALIGARH,LODHA,2025-26,0.545
ALIGARH,NAGAR ALIGARH,2022-23,0.5
ALIGARH,NAGAR ALIGARH,2023-24,0.333
ALIGARH,NAGAR ALIGARH,2024-25,0.58
ALIGARH,NAGAR ALIGARH,2025-26,0.5
ALIGARH,NAGAR ATRAULI,2022-23,1.0
ALIGARH,NAGAR ATRAULI,2023-24,1.0
ALIGARH,NAGAR ATRAULI,2024-25,1.0
ALIGARH,NAGAR ATRAULI,2025-26,1.0
ALIGARH,TAPPAL,2022-23,0.746
ALIGARH,TAPPAL,2023-24,0.69
ALIGARH,TAPPAL,2024-25,0.759
ALIGARH,TAPPAL,2025-26,0.75
AMBEDKAR NAGAR,AKBARPUR,2022-23,0.731
AMBEDKAR NAGAR,AKBARPUR,2023-24,0.756
AMBEDKAR NAGAR,AKBARPUR,2024-25,0.739
AMBEDKAR NAGAR,AKBARPUR,2025-26,0.723
AMBEDKAR NAGAR,BASKHARI,2022-23,0.603
AMBEDKAR NAGAR,BASKHARI,2023-24,0.66
AMBEDKAR NAGAR,BASKHARI,2024-25,0.718
AMBEDKAR NAGAR,BASKHARI,2025-26,0.635
