District,Block,High_Risk_Count,Medium_Risk_Count,Low_Risk_Count,Total_Schools,Risk_Density_pct,Block_Zone
AGRA,ACCHNERA,0,1,4,5,0.0,YELLOW
AGRA,AKOLA,0,1,1,2,0.0,YELLOW
AGRA,BAH,1,0,1,2,50.0,RED
AGRA,BAROLI AHEER,2,0,3,5,40.0,ORANGE
AGRA,BICHPURI,0,0,2,2,0.0,YELLOW
AGRA,ETMADPUR,0,1,2,3,0.0,YELLOW
AGRA,FATEHABAD,1,2,0,3,33.3,RED
AGRA,FATEHPUR  SIKRI,0,2,0,2,0.0,YELLOW
AGRA,JAGNER,0,2,0,2,0.0,YELLOW
AGRA,JAITPUR  KALAN,1,1,0,2,50.0,RED
AGRA,KHANDOLI,0,2,3,5,0.0,YELLOW
AGRA,KHERAGARH,0,0,1,1,0.0,ORANGE
AGRA,M.C.AGRA CITY,0,0,2,2,0.0,YELLOW
AGRA,PINAHAT,0,1,0,1,0.0,YELLOW
AGRA,SAIYAN,0,1,0,1,0.0,YELLOW
AGRA,SHAMSHABAD,0,1,1,2,0.0,YELLOW
ALIGARH,AKRABAD,0,1,0,1,0.0,RED
ALIGARH,ATRAULI,1,1,1,3,33.3,RED
ALIGARH,BIJAULI,1,0,1,2,50.0,RED
ALIGARH,CHANDAUS,0,1,3,4,0.0,YELLOW
ALIGARH,DHANIPUR,1,1,0,2,50.0,ORANGE
ALIGARH,GANGIRI,0,3,0,3,0.0,YELLOW
ALIGARH,GONDA,1,2,0,3,33.3,RED
ALIGARH,IGLAS,0,1,2,3,0.0,YELLOW
ALIGARH,JAWAN,2,2,1,5,40.0,YELLOW
ALIGARH,KHAIR,1,1,1,3,33.3,ORANGE
ALIGARH,LODHA,0,1,1,2,0.0,YELLOW
ALIGARH,NAGAR ALIGARH,0,1,2,3,0.0,YELLOW
ALIGARH,NAGAR ATRAULI,1,0,0,1,99.9,RED
ALIGARH,TAPPAL,0,1,1,2,0.0,YELLOW
AMBEDKAR NAGAR,AKBARPUR,1,3,3,7,14.3,YELLOW
AMBEDKAR NAGAR,BASKHARI,1,1,0,2,50.0,ORANGE
AMBEDKAR NAGAR,BHEETI,0,0,1,1,0.0,GREEN
AMBEDKAR NAGAR,BHIYAON,0,1,2,3,0.0,YELLOW
AMBEDKAR NAGAR,JAHANGIRGANJ,0,2,2,4,0.0,YELLOW
AMBEDKAR NAGAR,JALALPUR,0,2,1,3,0.0,YELLOW
AMBEDKAR NAGAR,KATEHARI,0,0,3,3,0.0,YELLOW
AMBEDKAR NAGAR,RAMNAGAR,1,1,2,4,25.0,YELLOW
AMBEDKAR NAGAR,TANDA,0,2,2,4,0.0,ORANGE
AMBEDKAR NAGAR,TANDA TOWN AREA,0,0,1,1,0.0,GREEN
AMETHI - CSM NAGAR,AMETHI,1,1,0,2,50.0,RED
AMETHI - CSM NAGAR,BAHADURPUR,1,3,2,6,16.7,YELLOW
AMETHI - CSM NAGAR,BHADAR,0,1,3,4,0.0,YELLOW
AMETHI - CSM NAGAR,BHETUA,0,0,1,1,0.0,GREEN
AMETHI - CSM NAGAR,GAURIGANJ,0,2,0,2,0.0,ORANGE
AMETHI - CSM NAGAR,JAGDISHPUR,2,0,2,4,50.0,RED
