District,Block,Year,Avg_Trans_8_9
AGRA,ACCHNERA,2022-23,3120228.3
AGRA,ACCHNERA,2023-24,2720063.6
AGRA,ACCHNERA,2024-25,3400100.7
AGRA,ACCHNERA,2025-26,3300071.7
AGRA,AKOLA,2022-23,3600172.2
AGRA,AKOLA,2023-24,2050107.1
AGRA,AKOLA,2024-25,2650160.0
AGRA,AKOLA,2025-26,2750185.7
AGRA,BAH,2022-23,2200075.0
AGRA,BAH,2023-24,2350040.0
AGRA,BAH,2024-25,2600062.5
AGRA,BAH,2025-26,1700050.0
AGRA,BAROLI AHEER,2022-23,3020083.0
AGRA,BAROLI AHEER,2023-24,2920082.0
AGRA,BAROLI AHEER,2024-25,2840087.8
AGRA,BAROLI AHEER,2025-26,2920099.1
AGRA,BICHPURI,2022-23,3800086.0
AGRA,BICHPURI,2023-24,3400066.7
AGRA,BICHPURI,2024-25,4200064.8
AGRA,BICHPURI,2025-26,4850142.3
AGRA,ETMADPUR,2022-23,4833333.3
AGRA,ETMADPUR,2023-24,5600000.0
AGRA,ETMADPUR,2024-25,5466666.7
AGRA,ETMADPUR,2025-26,5566666.7
AGRA,FATEHABAD,2022-23,2800000.0
AGRA,FATEHABAD,2023-24,3400000.0
AGRA,FATEHABAD,2024-25,3000000.0
AGRA,FATEHABAD,2025-26,2700000.0
AGRA,FATEHPUR  SIKRI,2022-23,2900000.0
AGRA,FATEHPUR  SIKRI,2023-24,3200000.0
AGRA,FATEHPUR  SIKRI,2024-25,2650000.0
AGRA,FATEHPUR  SIKRI,2025-26,2950000.0
AGRA,JAGNER,2022-23,2700000.0
AGRA,JAGNER,2023-24,2850000.0
AGRA,JAGNER,2024-25,4150000.0
AGRA,JAGNER,2025-26,3400000.0
AGRA,JAITPUR  KALAN,2022-23,2150021.9
AGRA,JAITPUR  KALAN,2023-24,2450133.3
AGRA,JAITPUR  KALAN,2024-25,2350064.3
AGRA,JAITPUR  KALAN,2025-26,2500041.2
AGRA,KHANDOLI,2022-23,3200070.0
AGRA,KHANDOLI,2023-24,2980074.7
AGRA,KHANDOLI,2024-25,3460056.3
AGRA,KHANDOLI,2025-26,3540072.1
AGRA,KHERAGARH,2022-23,227.8
AGRA,KHERAGARH,2023-24,180.0
AGRA,KHERAGARH,2024-25,214.3
AGRA,KHERAGARH,2025-26,300.0
AGRA,M.C.AGRA CITY,2022-23,338.6
AGRA,M.C.AGRA CITY,2023-24,175.7
AGRA,M.C.AGRA CITY,2024-25,244.4
AGRA,M.C.AGRA CITY,2025-26,170.9
AGRA,PINAHAT,2022-23,3000000.0
AGRA,PINAHAT,2023-24,4100000.0
AGRA,PINAHAT,2024-25,3200000.0
AGRA,PINAHAT,2025-26,3100000.0
AGRA,SAIYAN,2022-23,1900000.0
AGRA,SAIYAN,2023-24,2200000.0
