school_id,school_name,district,block,School_Type,Class_Range_Label,Enroll_2223,Enroll_2324,Enroll_2425,Enroll_2526,Growth_2223_2324,Growth_2324_2425,Growth_2425_2526,Overall_Growth,Trend_Tag
9150207401,GOVT. GIRLS INTER COLLEGE GARHICHANDMAN ACHHNERA AGRA,AGRA,ACCHNERA,Middle_to_Higher,6-12,127.0,135.0,150,176,6.3,11.11,17.33,38.58,Consistent Growth
9150200304,GOVT. HIGH SCHOOL ABHAIDOPURA,AGRA,ACCHNERA,Senior_Secondary,9-12,52.0,63.0,81,81,21.15,28.57,0.0,55.77,Volatile
9150204604,"GOVT. HIGH SCHOOL, BASTAI",AGRA,ACCHNERA,Senior_Secondary,9-12,103.0,97.0,90,103,-5.83,-7.22,14.44,0.0,Recovery
9150200408,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C SANDHAN,AGRA,ACCHNERA,Middle_to_Higher,6-12,234.0,295.0,291,266,26.07,-1.36,-8.59,13.68,Peaked
9150203110,RAJKIYA HIGH SCHOOL RAIBHA,AGRA,ACCHNERA,Senior_Secondary,9-12,150.0,127.0,123,151,-15.33,-3.15,22.76,0.67,Recovery
9150101804,GOVT.HIGH SCHOOL BALHERA AKOLA,AGRA,AKOLA,Senior_Secondary,9-12,142.0,106.0,106,105,-25.35,0.0,-0.94,-26.06,Volatile
9150101103,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C MANKAIDA,AGRA,AKOLA,Middle_to_Higher,6-12,91.0,105.0,147,159,15.38,40.0,8.16,74.73,Consistent Growth
9150302904,GOVT HSS BATESHWAR BAH,AGRA,BAH,Senior_Secondary,9-12,157.0,100.0,98,89,-36.31,-2.0,-9.18,-43.31,Consistent Decline
9150301240,GOVT. ABHINAV VIDHYALAYA BIJOLI BAH,AGRA,BAH,Middle_to_Higher,6-12,132.0,152.0,142,157,15.15,-6.58,10.56,18.94,Volatile
9150403204,GOVT. GIRLS INTER COLLEGE NAINANA JAT AGRA,AGRA,BAROLI AHEER,Middle_to_Higher,6-12,468.0,511.0,513,511,9.19,0.39,-0.39,9.19,Peaked
9150401704,"GOVT. HIGH SCHOOL, GANGRAUA",AGRA,BAROLI AHEER,Senior_Secondary,9-12,172.0,153.0,137,135,-11.05,-10.46,-1.46,-21.51,Consistent Decline
9150405004,PT.DEENDAYAL UPADHYAY GOVT. I.C BIJHAMAI,AGRA,BAROLI AHEER,Middle_to_Higher,6-12,132.0,164.0,182,173,24.24,10.98,-4.95,31.06,Peaked
9150400904,RAJKIYA HIGH SCHOOL DIGNER,AGRA,BAROLI AHEER,Senior_Secondary,9-12,129.0,135.0,137,145,4.65,1.48,5.84,12.4,Consistent Growth
9150405203,VIRANGANA AVANTIBAI GOVT. GIRLS INTER COLLEGE KALAL KHERIA AGRA,AGRA,BAROLI AHEER,Middle_to_Higher,6-12,625.0,588.0,548,497,-5.92,-6.8,-9.31,-20.48,Consistent Decline
9150501805,GOVT HSS JAUPURA BICHPURI,AGRA,BICHPURI,Senior_Secondary,9-12,175.0,126.0,146,162,-28.0,15.87,10.96,-7.43,Recovery
9150503512,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C MIDAKUR,AGRA,BICHPURI,Middle_to_Higher,6-12,336.0,365.0,358,351,8.63,-1.92,-1.96,4.46,Peaked
9150607005,GOVT. HIGH SCHOOL KHUSHAPUR,AGRA,ETMADPUR,Senior_Secondary,9-12,97.0,78.0,93,106,-19.59,19.23,13.98,9.28,Recovery
