school_id,school_name,district,block,School_Type,Class_Range_Label,Stability_Mean,Stability_Std,CV_Pct,Stability_Label
9150207401,GOVT. GIRLS INTER COLLEGE GARHICHANDMAN ACHHNERA AGRA,AGRA,ACCHNERA,Middle_to_Higher,6-12,147.0,21.56,14.67,Moderate
9150200304,GOVT. HIGH SCHOOL ABHAIDOPURA,AGRA,ACCHNERA,Senior_Secondary,9-12,69.25,14.29,20.64,Volatile
9150204604,"GOVT. HIGH SCHOOL, BASTAI",AGRA,ACCHNERA,Senior_Secondary,9-12,98.25,6.18,6.29,Moderate
9150200408,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C SANDHAN,AGRA,ACCHNERA,Middle_to_Higher,6-12,271.5,28.1,10.35,Moderate
9150203110,RAJKIYA HIGH SCHOOL RAIBHA,AGRA,ACCHNERA,Senior_Secondary,9-12,137.75,14.82,10.76,Moderate
9150101804,GOVT.HIGH SCHOOL BALHERA AKOLA,AGRA,AKOLA,Senior_Secondary,9-12,114.75,18.17,15.83,Volatile
9150101103,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C MANKAIDA,AGRA,AKOLA,Middle_to_Higher,6-12,125.5,32.63,26.0,Volatile
9150302904,GOVT HSS BATESHWAR BAH,AGRA,BAH,Senior_Secondary,9-12,111.0,31.04,27.96,Volatile
9150301240,GOVT. ABHINAV VIDHYALAYA BIJOLI BAH,AGRA,BAH,Middle_to_Higher,6-12,145.75,11.09,7.61,Moderate
9150403204,GOVT. GIRLS INTER COLLEGE NAINANA JAT AGRA,AGRA,BAROLI AHEER,Middle_to_Higher,6-12,500.75,21.85,4.36,Stable
9150401704,"GOVT. HIGH SCHOOL, GANGRAUA",AGRA,BAROLI AHEER,Senior_Secondary,9-12,149.25,17.17,11.5,Moderate
9150405004,PT.DEENDAYAL UPADHYAY GOVT. I.C BIJHAMAI,AGRA,BAROLI AHEER,Middle_to_Higher,6-12,162.75,21.78,13.38,Moderate
9150400904,RAJKIYA HIGH SCHOOL DIGNER,AGRA,BAROLI AHEER,Senior_Secondary,9-12,136.5,6.61,4.84,Stable
9150405203,VIRANGANA AVANTIBAI GOVT. GIRLS INTER COLLEGE KALAL KHERIA AGRA,AGRA,BAROLI AHEER,Middle_to_Higher,6-12,564.5,54.9,9.73,Moderate
9150501805,GOVT HSS JAUPURA BICHPURI,AGRA,BICHPURI,Senior_Secondary,9-12,152.25,21.14,13.89,Moderate
9150503512,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C MIDAKUR,AGRA,BICHPURI,Middle_to_Higher,6-12,352.5,12.4,3.52,Stable
9150607005,GOVT. HIGH SCHOOL KHUSHAPUR,AGRA,ETMADPUR,Senior_Secondary,9-12,93.5,11.68,12.49,Moderate
9150602003,RAJKIYA HIGH SCHOOL BAHRAMPUR,AGRA,ETMADPUR,Senior_Secondary,9-12,91.75,11.59,12.63,Moderate
9150600506,RAJKIYA HIGH SCHOOL MITAWALI,AGRA,ETMADPUR,Senior_Secondary,9-12,128.75,4.5,3.5,Stable
9151104603,GHS NANDAPURA,AGRA,FATEHABAD,Senior_Secondary,9-12,36.75,1.71,4.65,Stable
9151110303,"GOVT. HIGHER SECONDARY SCHOOL, BARANA",AGRA,FATEHABAD,Senior_Secondary,9-12,49.25,12.34,25.06,Volatile
