school_id,school_name,district,block,School_Type,Class_Range_Label,Boys_2223,Boys_2324,Boys_2425,Boys_2526,Girls_2223,Girls_2324,Girls_2425,Girls_2526,Girls_Growth_Pct,Boys_Growth_Pct,Gender_Gap_Pct,Girls_Ratio_Current,Girls_Imbalance_Flag,Girls_Declining_Flag
9150207401,GOVT. GIRLS INTER COLLEGE GARHICHANDMAN ACHHNERA AGRA,AGRA,ACCHNERA,Middle_to_Higher,6-12,0.0,0.0,0,0,127.0,135.0,150,176,38.58,,,1.0,No,No
9150200304,GOVT. HIGH SCHOOL ABHAIDOPURA,AGRA,ACCHNERA,Senior_Secondary,9-12,25.0,37.0,43,35,27.0,26.0,38,46,70.37,40.0,30.37,0.568,Yes,No
9150204604,"GOVT. HIGH SCHOOL, BASTAI",AGRA,ACCHNERA,Senior_Secondary,9-12,50.0,45.0,35,45,53.0,52.0,55,58,9.43,-10.0,19.43,0.563,Yes,No
9150200408,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C SANDHAN,AGRA,ACCHNERA,Middle_to_Higher,6-12,117.0,161.0,162,141,117.0,134.0,129,125,6.84,20.51,-13.67,0.47,Yes,No
9150203110,RAJKIYA HIGH SCHOOL RAIBHA,AGRA,ACCHNERA,Senior_Secondary,9-12,87.0,72.0,60,73,63.0,55.0,63,78,23.81,-16.09,39.9,0.517,Yes,No
9150101804,GOVT.HIGH SCHOOL BALHERA AKOLA,AGRA,AKOLA,Senior_Secondary,9-12,63.0,52.0,54,57,79.0,54.0,52,48,-39.24,-9.52,-29.72,0.457,Yes,Yes
9150101103,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C MANKAIDA,AGRA,AKOLA,Middle_to_Higher,6-12,33.0,35.0,55,62,58.0,70.0,92,97,67.24,87.88,-20.64,0.61,Yes,No
9150302904,GOVT HSS BATESHWAR BAH,AGRA,BAH,Senior_Secondary,9-12,80.0,60.0,54,47,77.0,40.0,44,42,-45.45,-41.25,-4.2,0.472,Yes,Yes
9150301240,GOVT. ABHINAV VIDHYALAYA BIJOLI BAH,AGRA,BAH,Middle_to_Higher,6-12,62.0,75.0,82,94,70.0,77.0,60,63,-10.0,51.61,-61.61,0.401,Yes,Yes
9150403204,GOVT. GIRLS INTER COLLEGE NAINANA JAT AGRA,AGRA,BAROLI AHEER,Middle_to_Higher,6-12,0.0,0.0,0,0,468.0,511.0,513,511,9.19,,,1.0,No,No
9150401704,"GOVT. HIGH SCHOOL, GANGRAUA",AGRA,BAROLI AHEER,Senior_Secondary,9-12,82.0,82.0,71,53,90.0,71.0,66,82,-8.89,-35.37,26.48,0.607,Yes,Yes
9150405004,PT.DEENDAYAL UPADHYAY GOVT. I.C BIJHAMAI,AGRA,BAROLI AHEER,Middle_to_Higher,6-12,69.0,65.0,75,71,63.0,99.0,107,102,61.9,2.9,59.0,0.59,Yes,No
