school_id,school_name,district,block,Dropout_Proxy_Current,Dropout_Proxy_Base,Dropout_Change,Dropout_Flag
9150207401,GOVT. GIRLS INTER COLLEGE GARHICHANDMAN ACHHNERA AGRA,AGRA,ACCHNERA,-142.11,-300.0,157.89,Low
9150200304,GOVT. HIGH SCHOOL ABHAIDOPURA,AGRA,ACCHNERA,,,,Low
9150204604,"GOVT. HIGH SCHOOL, BASTAI",AGRA,ACCHNERA,,,,Low
9150200408,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C SANDHAN,AGRA,ACCHNERA,26.0,-100.0,126.0,Moderate
9150203110,RAJKIYA HIGH SCHOOL RAIBHA,AGRA,ACCHNERA,,,,Low
9150101804,GOVT.HIGH SCHOOL BALHERA AKOLA,AGRA,AKOLA,,,,Low
9150101103,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C MANKAIDA,AGRA,AKOLA,-100.0,-55.56,-44.44,Low
9150302904,GOVT HSS BATESHWAR BAH,AGRA,BAH,,,,Low
9150301240,GOVT. ABHINAV VIDHYALAYA BIJOLI BAH,AGRA,BAH,-22.22,4.17,-26.39,Low
9150403204,GOVT. GIRLS INTER COLLEGE NAINANA JAT AGRA,AGRA,BAROLI AHEER,-41.43,14.44,-55.87,Low
9150401704,"GOVT. HIGH SCHOOL, GANGRAUA",AGRA,BAROLI AHEER,,,,Low
9150405004,PT.DEENDAYAL UPADHYAY GOVT. I.C BIJHAMAI,AGRA,BAROLI AHEER,18.75,58.62,-39.87,Moderate
9150400904,RAJKIYA HIGH SCHOOL DIGNER,AGRA,BAROLI AHEER,,,,Low
9150405203,VIRANGANA AVANTIBAI GOVT. GIRLS INTER COLLEGE KALAL KHERIA AGRA,AGRA,BAROLI AHEER,-101.61,-67.06,-34.55,Low
9150501805,GOVT HSS JAUPURA BICHPURI,AGRA,BICHPURI,,,,Low
9150503512,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C MIDAKUR,AGRA,BICHPURI,-66.67,-4.65,-62.02,Low
9150607005,GOVT. HIGH SCHOOL KHUSHAPUR,AGRA,ETMADPUR,,,,Low
9150602003,RAJKIYA HIGH SCHOOL BAHRAMPUR,AGRA,ETMADPUR,,,,Low
9150600506,RAJKIYA HIGH SCHOOL MITAWALI,AGRA,ETMADPUR,,,,Low
9151104603,GHS NANDAPURA,AGRA,FATEHABAD,,,,Low
9151110303,"GOVT. HIGHER SECONDARY SCHOOL, BARANA",AGRA,FATEHABAD,,,,Low
9150701003,GOVT HSS CHAUMA SHAPUR F.SIKARI,AGRA,FATEHPUR  SIKRI,,,,Low
9150703903,RAJKIYA HIGH SCHOOL OLENDA,AGRA,FATEHPUR  SIKRI,,,,Low
9150804903,RAJKIYA HIGH SCHOOL CHANDSAURA,AGRA,JAGNER,,,,Low
9150802603,RAJKIYA HIGH SCHOOL RICHOHA,AGRA,JAGNER,,,,Low
9150909801,GOVERNMENT  INTER COLLEGE KACHHPURA AGRA,AGRA,JAITPUR  KALAN,41.18,25.0,16.18,High Risk
9150909606,GOVT. HIGH SCHOOL CHITRAHAT,AGRA,JAITPUR  KALAN,,,,Low
9151003604,GOVT. GIRLS INTER COLLEGE AWALKHEDA AGRA,AGRA,KHANDOLI,-227.03,-91.67,-135.36,Low
9151000133,GOVT. HIGH SCHOOL NAGLA JAUHARI AGRA,AGRA,KHANDOLI,,,,Low
9151004507,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C SEMRA,AGRA,KHANDOLI,-65.62,-38.24,-27.38,Low
9151000904,RAJKIYA HIGH SCHOOL KHEDA HAZIPUR,AGRA,KHANDOLI,,,,Low
9151004506,RAJKIYA HIGH SCHOOL SAIMRA,AGRA,KHANDOLI,,,,Low
9151206612,GOVT. GIRLS INTER COLLEGE  KHERAGARH AGRA,AGRA,KHERAGARH,-150.0,-83.33,-66.67,Low
9151714173,GOVT. GIRLS INTER COLLEGE SHAHGANJ AGRA,AGRA,M.C.AGRA CITY,-110.0,-107.14,-2.86,Low
9151711940,GOVT. INTER COLLEGE SHAHGANJ AGRA,AGRA,M.C.AGRA CITY,-201.48,-457.81,256.33,Low
9151300704,RAJKIYA HIGH SCHOOL SAVORA,AGRA,PINAHAT,,,,Low
9151405312,GOVT. HIGH SCHOOL TEHRA SAIYAN,AGRA,SAIYAN,,,,Low
9151507604,"GOVT. HIGH SCHOOL, JAI NAGAR",AGRA,SHAMSHABAD,,,,Low
9151508107,RAJKIYA HIGH SCHOOL KOLARA KALAN,AGRA,SHAMSHABAD,,,,Low
9120205303,RAJKIY HIGH SCHOOL KATHERA,ALIGARH,AKRABAD,,,,Low
9120306904,RAJKEYA INTER COLLEGE SAHNOL  ATRAULI,ALIGARH,ATRAULI,,,,Low
9120305202,RAJKEYA KANYA  INTER COLLEGE  NARONA,ALIGARH,ATRAULI,-261.9,-68.42,-193.48,Low
9120305706,RAJKEYA KANYA INTER COLLEGE CHANDAULA,ALIGARH,ATRAULI,,,,Low
9120502307,Pt Deendayal Upadhyay Govt Model Inter College Badesara,ALIGARH,BIJAULI,-26.32,71.43,-97.75,Low
9120504604,RAJKEYA KANYA INTER COLLEGE DUTTA CHOLI,ALIGARH,BIJAULI,,,,Low
9120708307,KIRAN DEVI RAJKEYA INTER COLLEGE BAMOTI,ALIGARH,CHANDAUS,,,,Low
9120703804,Pt Deendayal Upadhyay Govt Model Inter College,ALIGARH,CHANDAUS,-24.53,27.27,-51.8,Low
9120708603,RAJKEYA HIGH SCHOOL PORAI CHANDAUS,ALIGARH,CHANDAUS,,,,Low
9120701402,RAJKEYA KANYA INTER COLLEGE DEORAU MOD,ALIGARH,CHANDAUS,,,,Low
9120101303,RAJKEYA HIGH SCHOOL RAHSUPUR DHANIPUR,ALIGARH,DHANIPUR,,,,Low
9120103509,RAJKEYA KANYA INTER COLLEGE KALAI,ALIGARH,DHANIPUR,-87.5,-2.63,-84.87,Low
9120409603,RAJKEY HIGH SCHOOL NAVIPUR,ALIGARH,GANGIRI,,,,Low
9120402514,RAJKEYA HIGH SCHOOL GANGIRI ALIGARH,ALIGARH,GANGIRI,,,,Low
9120401935,RAJKEYA KANYA INTER COLLEGE CHHARA,ALIGARH,GANGIRI,-80.0,-200.0,120.0,Low
9121108003,GAYATRI DEEVI RAJKEY INTER COLLEGE  GORAI,ALIGARH,GONDA,-97.22,-97.78,0.56,Low
9121109505,Pt Deendayal Upadhyay Govt Model Inter College Tamotia,ALIGARH,GONDA,8.0,55.0,-47.0,Low
9121108012,SMT SAROJ SINGH RASTREYA I.C.GORAI,ALIGARH,GONDA,-98.08,-111.32,13.24,Low
9121207805,GOVT. HIGH SCHOOL JAWAR,ALIGARH,IGLAS,,,,Low
9121206027,RAJKEY KANYA INTER COLLEGE,ALIGARH,IGLAS,-32.26,-72.22,39.96,Low
9121200701,RAJKEYA HIGH SCHOOL RAITPUR IGLAS,ALIGARH,IGLAS,,,,Low
9120610205,ABHINAY VIDHYALAY CHHLESAR,ALIGARH,JAWAN,100.0,100.0,0.0,High Risk
9120611803,GHS PIPLAUTH,ALIGARH,JAWAN,,,,Low
9120601315,GOVERNTMENT INTER COLLEGE BARAULI,ALIGARH,JAWAN,,,,Low
9120609204,RAJKEY KANYA INTER OLLEGE GODHA JAWAN,ALIGARH,JAWAN,,,,Low
9120601603,RAJKEYA HIGH SCHOOL KHURD KHERA JAWAN,ALIGARH,JAWAN,,,,Low
9120805708,Pt Deendayal Upadhyay Govt Model Inter College kherasattu,ALIGARH,KHAIR,-32.14,30.0,-62.14,Low
9120805602,RAJKEYA  INTER COLLEGE  AHROLA KHAIR,ALIGARH,KHAIR,-12.0,-42.86,30.86,Low
9120802203,VIKRAM VIDHYA MANDIR RAJKEYA INTER COLLEGE BANKNER KHAIR,ALIGARH,KHAIR,,,,Low
9121000503,RAJKEYA HIGH SCHOOL SINGHARPUR,ALIGARH,LODHA,,,,Low
9121307839,NAURANGI LAL RAJKIYA INTER COLLEGE,ALIGARH,NAGAR ALIGARH,-80.0,-143.56,63.56,Low
9121307973,RAJKEYA KANYA INTER COLLEGE,ALIGARH,NAGAR ALIGARH,-78.68,-88.8,10.12,Low
9121403616,RAJKEYA KANYA INTER COLLEGE ATRAULI,ALIGARH,NAGAR ATRAULI,-193.33,-78.95,-114.38,Low
9120906504,RAJKEYA HIGH SCHOOL SIMROTHI TAPPAL,ALIGARH,TAPPAL,,,,Low
9120911213,SMT REVATI GOYAL RAJKEYA KANYA I.C. JATTA,ALIGARH,TAPPAL,9.52,-255.56,265.08,Low
9480110905,G G I C AKBARPUR,AMBEDKAR NAGAR,AKBARPUR,,-388.89,,Low
9480103707,GOVT GIRLS INTER COLLEGE BEWANA,AMBEDKAR NAGAR,AKBARPUR,,,,Low
9480114803,GOVT HIGHER SEC SCH KAHARA SULEMPUR,AMBEDKAR NAGAR,AKBARPUR,,,,Low
9480106311,GOVT HIGHER SEC SCH RAMPUR SAKARWARI,AMBEDKAR NAGAR,AKBARPUR,,,,Low
9480107905,GOVT INTER COLLEGE AKBARPUR,AMBEDKAR NAGAR,AKBARPUR,,,,Low
9480101909,Pt Deendayal Upadhyay Govt Model Inter College Jafarganj,AMBEDKAR NAGAR,AKBARPUR,-385.71,-1700.0,1314.29,Low
9480100906,SAVITRI BAI FULE GOVT. GIRLS INTER COLLEGE,AMBEDKAR NAGAR,AKBARPUR,,,,Low
9480200403,GOVT HIGHER SEC SCH LAKHANPUR,AMBEDKAR NAGAR,BASKHARI,,,,Low
9480210203,RAJKIYA HIGHER SEC SCH00L TARAULI MUBARAKPUR,AMBEDKAR NAGAR,BASKHARI,,,,Low
9480308014,GOVT GIRLS INTER COLLEGE BHEETI,AMBEDKAR NAGAR,BHEETI,,,,Low
9480406306,GOVT HIGHER SEC SCH RAMGARH,AMBEDKAR NAGAR,BHIYAON,,,,Low
9480404812,KASTURABA GANDHI G HIGHER SEC SCH RATNA,AMBEDKAR NAGAR,BHIYAON,,,,Low
9480403803,PT. D.D.U GOVT. MODAL INTER COLLEGE INDHANA,AMBEDKAR NAGAR,BHIYAON,-175.51,,,Low
9480700805,GOVT GIRLS INTER COLLEGE TENDUAI KALA,AMBEDKAR NAGAR,JAHANGIRGANJ,,,,Low
9480709005,GOVT HIGHER SEC SCH AHIRAULI RANIMAU,AMBEDKAR NAGAR,JAHANGIRGANJ,,,,Low
9480702111,GOVT HIGHER SEC SCH JAHANGIRGANJ,AMBEDKAR NAGAR,JAHANGIRGANJ,,,,Low
9480704404,GOVT HIGHER SEC SCHOOL KAMHARIA,AMBEDKAR NAGAR,JAHANGIRGANJ,,,,Low
9480602120,GOVT G INTER COLLEGE JALALPUR,AMBEDKAR NAGAR,JALALPUR,-44.74,-75.0,30.26,Low
9480607607,GOVT HIGHER SEC SCH BAREPUR,AMBEDKAR NAGAR,JALALPUR,,,,Low
9480605504,GOVT HIGHER SEC SCH BASIYA,AMBEDKAR NAGAR,JALALPUR,,,,Low
9480502308,GOVT HIGHER SEC SCH PAHITIPUR,AMBEDKAR NAGAR,KATEHARI,,,,Low
9480501904,PT DEENDAYAL UPADHYAY GOVT MODAL IC PAHITIPUR KHAJOORDEEH AMBEDKAR NAGAR,AMBEDKAR NAGAR,KATEHARI,,-387.5,,Low
9480508707,RAJKEY HIGHSCHOOL ASHRAFPUR BARAWAN,AMBEDKAR NAGAR,KATEHARI,,,,Low
9480811703,GOVT HIGHER SEC SCH CHANDANPUR,AMBEDKAR NAGAR,RAMNAGAR,,,,Low
9480802223,PT. D.D.U. GOVT. MODAL INTER COLLEGE RAMNAGAR,AMBEDKAR NAGAR,RAMNAGAR,-267.86,,,Low
9480814301,RAJKEEYA HIGHER SEC SCH AMADERVESPUR,AMBEDKAR NAGAR,RAMNAGAR,,,,Low
9480814201,SMT SUMITRA DEVI SHUKLA GOVT GIRLS INTER COLLEGE ALAPUR,AMBEDKAR NAGAR,RAMNAGAR,,,,Low
9480917501,GOVT GIRLS INTER COLLEGE TANDA,AMBEDKAR NAGAR,TANDA,,,,Low
9480908706,GOVT HIGHER SEC SCH DIHWA MOHIUDDINPUR,AMBEDKAR NAGAR,TANDA,,,,Low
9480900604,GOVT HIGHER SEC SCH FARIDPUR KUTUB,AMBEDKAR NAGAR,TANDA,,,,Low
9480911206,GOVT VIDYUT PAR IC VIDYUTNAGAR,AMBEDKAR NAGAR,TANDA,-150.0,-132.79,-17.21,Low
9481002001,GOVT. GIRLS INTER COLLEGE NAGARPALIKA PARISHAD TANDA,AMBEDKAR NAGAR,TANDA TOWN AREA,-39.13,,,Low
9730208001,GGIC AMETHI,AMETHI - CSM NAGAR,AMETHI,-395.0,-1100.0,705.0,Low
9730200109,RAJKIYE HIGH SCHOOL,AMETHI - CSM NAGAR,AMETHI,,,,Low
9732500101,GGIC JAIS,AMETHI - CSM NAGAR,BAHADURPUR,,-41.38,,Low
9732502201,GIC FURSATGANJ,AMETHI - CSM NAGAR,BAHADURPUR,-611.11,-573.21,-37.9,Low
9732500102,GIC JAIS,AMETHI - CSM NAGAR,BAHADURPUR,-425.0,-176.92,-248.08,Low
9732500904,Pt Deendayal Upadhayay Govt Model Inter College Udawa,AMETHI - CSM NAGAR,BAHADURPUR,,,,Low
9732500206,RAJKEEYA HIGH SCHOOL,AMETHI - CSM NAGAR,BAHADURPUR,,,,Low
9732500609,RAJKIYA HIGH SCHOOL PEEDHI,AMETHI - CSM NAGAR,BAHADURPUR,,,,Low
9732704801,GGIC SONARI KALA,AMETHI - CSM NAGAR,BHADAR,-438.1,-326.92,-111.18,Low
9732701209,GIC TIKARMAFI,AMETHI - CSM NAGAR,BHADAR,-677.78,-715.0,37.22,Low
9732702403,RAJKIYA HIGH SCHOOL,AMETHI - CSM NAGAR,BHADAR,,,,Low
9732706101,RAMABAI AMBEDKAR GGIC,AMETHI - CSM NAGAR,BHADAR,-450.0,-310.0,-140.0,Low
9732303305,RAJKIY INTER COLLEGE,AMETHI - CSM NAGAR,BHETUA,2.86,,,Low
9731904502,GGIC GAURIGANJ,AMETHI - CSM NAGAR,GAURIGANJ,-310.0,-315.38,5.38,Low
9731906204,PANDIT DEENDAYAL UPADHYAY RAJKEEYA  MODAL INTER COLLEGE ,AMETHI - CSM NAGAR,GAURIGANJ,,,,Low
9730100401,GGIC JAGDISHPUR,AMETHI - CSM NAGAR,JAGDISHPUR,-73.08,-72.0,-1.08,Low
9730106203,GOVT H S MANGRAULI JAGDISHPUR,AMETHI - CSM NAGAR,JAGDISHPUR,,,,Low
9730104402,RAJKIY HIGH SCHOOL RANIGANJ,AMETHI - CSM NAGAR,JAGDISHPUR,,,,Low
9732100101,GGIC JAMO,AMETHI - CSM NAGAR,JAMO,-141.67,-311.76,170.09,Low
9732100205,RAJKIYE HIGH SCHOOL SARMEN,AMETHI - CSM NAGAR,JAMO,,,,Low
9732100115,UMA RAMAN INTER COLLEGE,AMETHI - CSM NAGAR,JAMO,,,,Low
9730301001,GGIC MUSAFIRKHANA,AMETHI - CSM NAGAR,MUSAFIRKHANA,-352.0,-126.37,-225.63,Low
9730306605,PANDIT DEENDAYAL U RAJKIYE MODAL INTER COLLEGE,AMETHI - CSM NAGAR,MUSAFIRKHANA,79.66,57.14,22.52,High Risk
9730303904,RAJKIY HIGH SCHOOL KANJAS,AMETHI - CSM NAGAR,MUSAFIRKHANA,,,,Low
9730400406,GGIC SANGRAMPUR,AMETHI - CSM NAGAR,SANGRAMPUR,,,,Low
9732000201,GGIC SHAHGARH,AMETHI - CSM NAGAR,SHAHGARH,-196.55,-225.81,29.26,Low
9732003204,GOVT HIGH SCHOOL AFUIYA,AMETHI - CSM NAGAR,SHAHGARH,,,,Low
9732002803,RAJKIY HAIGH SCHOOL,AMETHI - CSM NAGAR,SHAHGARH,,,,Low
9731800101,GGIC SHUKUL BAZAR,AMETHI - CSM NAGAR,SHUKULBAZAR,-8.0,-17.65,9.65,Low
9731700510,RAJKIY HIGH SCHOOL SATAN KA PURWA,AMETHI - CSM NAGAR,SINGHPUR,,,,Low
9731700509,RAJKIY HIGH SCHOOL SINGHPUR,AMETHI - CSM NAGAR,SINGHPUR,,,,Low
9731700807,RAJKIY INTER COLLGE INHAUNA,AMETHI - CSM NAGAR,SINGHPUR,-145.45,-163.64,18.19,Low
9731703504,RAJKIYA INTER COLLEGE RAJA FATEHPUR,AMETHI - CSM NAGAR,SINGHPUR,-46.51,-182.93,136.42,Low
9732202304,RAJKIY HIGH SCHOOL CHITRA BUZURG,AMETHI - CSM NAGAR,TILOI,,,,Low
9732201003,RAJKIY HIGH SCHOOL SAVITAPUR,AMETHI - CSM NAGAR,TILOI,,,,Low
9732209101,RAJKIY HIGH SCHOOL SEMRAUTA,AMETHI - CSM NAGAR,TILOI,,,,Low
9320903205,GOVT. U.M.V. BHAISOL ACHHALDA,AURAIYA,ACHHALDA,,,,Low
9320900115,GOVT. U.M.V. PATA,AURAIYA,ACHHALDA,,,,Low
9320400109,GOVT GIRLS INTER COLLEGE AIRWAKATRA,AURAIYA,AIRWAKATRA,,,,Low
9320402003,GOVT. U.M.V. KARMUPUR,AURAIYA,AIRWAKATRA,,,,Low
