District,Block,School_ID,School_Name,C8,C9,C10,C11,C12,Total,Min_Class,Max_Class,Avg_Class_Size,Imbalance_Ratio,Under_Enrolled_Classes,Overcrowded_Classes,Dominant_Class,Class_Strength_Tag
AGRA,ACCHNERA,9150207401,GOVT. GIRLS INTER COLLEGE GARHICHANDMAN ACHHNERA AGRA,19,43,40,28,46,176,19,46,35.2,2.42,0,0,Class 12,Imbalanced
AGRA,ACCHNERA,9150200304,GOVT. HIGH SCHOOL ABHAIDOPURA,0,35,46,0,0,81,0,46,16.2,46000.0,3,0,Class 10,Ghost Classes
AGRA,ACCHNERA,9150204604,"GOVT. HIGH SCHOOL, BASTAI",0,50,53,0,0,103,0,53,20.6,53000.0,3,0,Class 10,Ghost Classes
AGRA,ACCHNERA,9150200408,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C SANDHAN,50,66,84,29,37,266,29,84,53.2,2.9,0,2,Class 10,Overcrowded
AGRA,ACCHNERA,9150203110,RAJKIYA HIGH SCHOOL RAIBHA,0,80,71,0,0,151,0,80,30.2,80000.0,3,2,Class 9,Ghost Classes
AGRA,AKOLA,9150101804,GOVT.HIGH SCHOOL BALHERA AKOLA,0,55,50,0,0,105,0,55,21.0,55000.0,3,0,Class 9,Ghost Classes
AGRA,AKOLA,9150101103,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C MANKAIDA,14,52,40,25,28,159,14,52,31.8,3.71,0,0,Class 9,Imbalanced
AGRA,BAH,9150302904,GOVT HSS BATESHWAR BAH,0,34,55,0,0,89,0,55,17.8,55000.0,3,0,Class 10,Ghost Classes
AGRA,BAH,9150301240,GOVT. ABHINAV VIDHYALAYA BIJOLI BAH,27,27,26,44,33,157,26,44,31.4,1.69,0,0,Class 11,Balanced
AGRA,BAROLI AHEER,9150403204,GOVT. GIRLS INTER COLLEGE NAINANA JAT AGRA,70,137,85,120,99,511,70,137,102.2,1.96,0,5,Class 9,Overcrowded
AGRA,BAROLI AHEER,9150401704,"GOVT. HIGH SCHOOL, GANGRAUA",0,71,64,0,0,135,0,71,27.0,71000.0,3,2,Class 9,Ghost Classes
AGRA,BAROLI AHEER,9150405004,PT.DEENDAYAL UPADHYAY GOVT. I.C BIJHAMAI,32,48,47,20,26,173,20,48,34.6,2.4,0,0,Class 9,Imbalanced
AGRA,BAROLI AHEER,9150400904,RAJKIYA HIGH SCHOOL DIGNER,0,75,70,0,0,145,0,75,29.0,75000.0,3,2,Class 9,Ghost Classes
AGRA,BAROLI AHEER,9150405203,VIRANGANA AVANTIBAI GOVT. GIRLS INTER COLLEGE KALAL KHERIA AGRA,62,93,110,107,125,497,62,125,99.4,2.02,0,5,Class 12,Overcrowded
AGRA,BICHPURI,9150501805,GOVT HSS JAUPURA BICHPURI,0,97,65,0,0,162,0,97,32.4,97000.0,3,2,Class 9,Ghost Classes
AGRA,BICHPURI,9150503512,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C MIDAKUR,39,111,71,65,65,351,39,111,70.2,2.85,0,4,Class 9,Overcrowded
AGRA,ETMADPUR,9150607005,GOVT. HIGH SCHOOL KHUSHAPUR,0,55,51,0,0,106,0,55,21.2,55000.0,3,0,Class 9,Ghost Classes
AGRA,ETMADPUR,9150602003,RAJKIYA HIGH SCHOOL BAHRAMPUR,0,40,39,0,0,79,0,40,15.8,40000.0,3,0,Class 9,Ghost Classes
AGRA,ETMADPUR,9150600506,RAJKIYA HIGH SCHOOL MITAWALI,0,72,63,0,0,135,0,72,27.0,72000.0,3,2,Class 9,Ghost Classes
AGRA,FATEHABAD,9151104603,GHS NANDAPURA,0,25,11,0,0,36,0,25,7.2,25000.0,3,0,Class 9,Ghost Classes
AGRA,FATEHABAD,9151108704,GOVERNMENT INTER COLLEGE AIE AGRA,0,29,47,14,0,90,0,47,18.0,47000.0,2,0,Class 10,Ghost Classes
AGRA,FATEHABAD,9151110303,"GOVT. HIGHER SECONDARY SCHOOL, BARANA",0,27,14,0,0,41,0,27,8.2,27000.0,3,0,Class 9,Ghost Classes
