District,Block,School_ID,School_Name,School_Growth_Tag,Block_Cluster_Type,Is_Outlier,Outlier_Type
AGRA,ACCHNERA,9150207401,GOVT. GIRLS INTER COLLEGE GARHICHANDMAN ACHHNERA AGRA,Consistent Growth,Mixed Block,No,Normal
AGRA,ACCHNERA,9150200304,GOVT. HIGH SCHOOL ABHAIDOPURA,Volatile,Mixed Block,No,Normal
AGRA,ACCHNERA,9150204604,"GOVT. HIGH SCHOOL, BASTAI",Recovery,Mixed Block,No,Normal
AGRA,ACCHNERA,9150200408,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C SANDHAN,Peaked,Mixed Block,No,Normal
AGRA,ACCHNERA,9150203110,RAJKIYA HIGH SCHOOL RAIBHA,Recovery,Mixed Block,No,Normal
AGRA,AKOLA,9150101804,GOVT.HIGH SCHOOL BALHERA AKOLA,Volatile,Mixed Block,No,Normal
AGRA,AKOLA,9150101103,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C MANKAIDA,Consistent Growth,Mixed Block,No,Normal
AGRA,BAH,9150302904,GOVT HSS BATESHWAR BAH,Consistent Decline,Mixed Block,No,Normal
AGRA,BAH,9150301240,GOVT. ABHINAV VIDHYALAYA BIJOLI BAH,Volatile,Mixed Block,No,Normal
AGRA,BAROLI AHEER,9150403204,GOVT. GIRLS INTER COLLEGE NAINANA JAT AGRA,Peaked,Isolated Growth,No,Normal
AGRA,BAROLI AHEER,9150401704,"GOVT. HIGH SCHOOL, GANGRAUA",Consistent Decline,Isolated Growth,No,Normal
AGRA,BAROLI AHEER,9150405004,PT.DEENDAYAL UPADHYAY GOVT. I.C BIJHAMAI,Peaked,Isolated Growth,No,Normal
AGRA,BAROLI AHEER,9150400904,RAJKIYA HIGH SCHOOL DIGNER,Consistent Growth,Isolated Growth,No,Normal
AGRA,BAROLI AHEER,9150405203,VIRANGANA AVANTIBAI GOVT. GIRLS INTER COLLEGE KALAL KHERIA AGRA,Consistent Decline,Isolated Growth,No,Normal
AGRA,BICHPURI,9150501805,GOVT HSS JAUPURA BICHPURI,Recovery,Mixed Block,No,Normal
AGRA,BICHPURI,9150503512,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C MIDAKUR,Peaked,Mixed Block,No,Normal
AGRA,ETMADPUR,9150607005,GOVT. HIGH SCHOOL KHUSHAPUR,Recovery,Mixed Block,No,Normal
AGRA,ETMADPUR,9150602003,RAJKIYA HIGH SCHOOL BAHRAMPUR,Peaked,Mixed Block,No,Normal
AGRA,ETMADPUR,9150600506,RAJKIYA HIGH SCHOOL MITAWALI,Stable,Mixed Block,No,Normal
AGRA,FATEHABAD,9151104603,GHS NANDAPURA,Peaked,Mixed Block,No,Normal
AGRA,FATEHABAD,9151110303,"GOVT. HIGHER SECONDARY SCHOOL, BARANA",Recovery,Mixed Block,No,Normal
AGRA,FATEHABAD,9151108704,GOVERNMENT INTER COLLEGE AIE AGRA,Peaked,Mixed Block,No,Normal
AGRA,FATEHPUR  SIKRI,9150701003,GOVT HSS CHAUMA SHAPUR F.SIKARI,Peaked,Mixed Block,No,Normal
AGRA,FATEHPUR  SIKRI,9150703903,RAJKIYA HIGH SCHOOL OLENDA,Peaked,Mixed Block,No,Normal
AGRA,JAGNER,9150804903,RAJKIYA HIGH SCHOOL CHANDSAURA,Volatile,Mixed Block,No,Normal
AGRA,JAGNER,9150802603,RAJKIYA HIGH SCHOOL RICHOHA,Recovery,Mixed Block,No,Normal
AGRA,JAITPUR  KALAN,9150909801,GOVERNMENT  INTER COLLEGE KACHHPURA AGRA,Recovery,Mixed Block,No,Normal
AGRA,JAITPUR  KALAN,9150909606,GOVT. HIGH SCHOOL CHITRAHAT,Volatile,Mixed Block,No,Normal
AGRA,KHANDOLI,9151003604,GOVT. GIRLS INTER COLLEGE AWALKHEDA AGRA,Peaked,Mixed Block,No,Normal
AGRA,KHANDOLI,9151000133,GOVT. HIGH SCHOOL NAGLA JAUHARI AGRA,Peaked,Mixed Block,No,Normal
AGRA,KHANDOLI,9151004507,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C SEMRA,Peaked,Mixed Block,No,Normal
AGRA,KHANDOLI,9151000904,RAJKIYA HIGH SCHOOL KHEDA HAZIPUR,Recovery,Mixed Block,No,Normal
AGRA,KHANDOLI,9151004506,RAJKIYA HIGH SCHOOL SAIMRA,Consistent Growth,Mixed Block,No,Normal
AGRA,KHERAGARH,9151206612,GOVT. GIRLS INTER COLLEGE  KHERAGARH AGRA,Volatile,Mixed Block,No,Normal
AGRA,M.C.AGRA CITY,9151714173,GOVT. GIRLS INTER COLLEGE SHAHGANJ AGRA,Peaked,Mixed Block,No,Normal
AGRA,M.C.AGRA CITY,9151711940,GOVT. INTER COLLEGE SHAHGANJ AGRA,Peaked,Mixed Block,No,Normal
AGRA,PINAHAT,9151300704,RAJKIYA HIGH SCHOOL SAVORA,Peaked,Mixed Block,No,Normal
AGRA,SAIYAN,9151405312,GOVT. HIGH SCHOOL TEHRA SAIYAN,Recovery,Mixed Block,No,Normal
AGRA,SHAMSHABAD,9151507604,"GOVT. HIGH SCHOOL, JAI NAGAR",Recovery,Mixed Block,No,Normal
AGRA,SHAMSHABAD,9151508107,RAJKIYA HIGH SCHOOL KOLARA KALAN,Recovery,Mixed Block,No,Normal
ALIGARH,AKRABAD,9120205303,RAJKIY HIGH SCHOOL KATHERA,Recovery,Mixed Block,No,Normal
ALIGARH,ATRAULI,9120306904,RAJKEYA INTER COLLEGE SAHNOL  ATRAULI,Consistent Decline,Mixed Block,No,Normal
