District,Block,School_ID,School_Name,Overall_Growth_pct,Boys_Growth_pct,Girls_Growth_pct,C8_Change_pct,C9_Change_pct,C10_Change_pct,C11_Change_pct,C12_Change_pct,Gender_Driver,Class_Driver,Growth_Pattern_Tag,Model_School_Flag
AGRA,ACCHNERA,9150207401,GOVT. GIRLS INTER COLLEGE GARHICHANDMAN ACHHNERA AGRA,38.58,,38.58,216.67,-12.24,48.15,33.33,91.67,Undetermined,Upper_Class_Growth,Undetermined Upper Class Growth,False
AGRA,ACCHNERA,9150200304,GOVT. HIGH SCHOOL ABHAIDOPURA,55.77,40.0,70.37,,20.69,100.0,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,False
AGRA,AKOLA,9150101103,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C MANKAIDA,74.73,87.88,67.24,55.56,67.74,21.21,525.0,100.0,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
AGRA,BAH,9150301240,GOVT. ABHINAV VIDHYALAYA BIJOLI BAH,18.94,51.61,-10.0,12.5,-25.0,-16.13,144.44,43.48,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,False
AGRA,BAROLI AHEER,9150405004,PT.DEENDAYAL UPADHYAY GOVT. I.C BIJHAMAI,31.06,2.9,61.9,10.34,11.63,67.86,0.0,116.67,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
AGRA,FATEHPUR  SIKRI,9150703903,RAJKIYA HIGH SCHOOL OLENDA,16.28,11.76,19.23,,20.0,11.11,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,False
AGRA,JAGNER,9150802603,RAJKIYA HIGH SCHOOL RICHOHA,45.83,95.0,10.71,,111.11,6.67,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,False
AGRA,KHANDOLI,9151004506,RAJKIYA HIGH SCHOOL SAIMRA,42.64,66.0,27.85,,36.62,50.0,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
ALIGARH,BIJAULI,9120502307,Pt Deendayal Upadhyay Govt Model Inter College Badesara,23.33,-11.84,84.09,-32.14,57.14,-2.0,76.92,200.0,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,False
ALIGARH,CHANDAUS,9120703804,Pt Deendayal Upadhyay Govt Model Inter College,30.15,28.89,31.19,60.61,-15.79,-17.86,200.0,175.0,Balanced,Upper_Class_Growth,Balanced Upper Class Growth,True
ALIGARH,DHANIPUR,9120101303,RAJKEYA HIGH SCHOOL RAHSUPUR DHANIPUR,51.61,22.22,92.31,,44.83,57.58,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,False
ALIGARH,GANGIRI,9120409603,RAJKEY HIGH SCHOOL NAVIPUR,46.15,-100.0,137.5,,120.0,0.0,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,False
