District,Block,School_ID,School_Name,Overall_Growth_pct,Girls_Growth_pct,Boys_Growth_pct,All_Reasons_Detected,Primary_Reason,Confidence_Level,Classes_Affected,Genders_Affected
AGRA,AKOLA,9150101804,GOVT.HIGH SCHOOL BALHERA AKOLA,-26.06,-39.24,-9.52,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
AGRA,BAH,9150302904,GOVT HSS BATESHWAR BAH,-43.31,-45.45,-41.25,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
AGRA,BAROLI AHEER,9150401704,"GOVT. HIGH SCHOOL, GANGRAUA",-21.51,-8.89,-35.37,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
AGRA,BAROLI AHEER,9150405203,VIRANGANA AVANTIBAI GOVT. GIRLS INTER COLLEGE KALAL KHERIA AGRA,-20.48,-20.48,,Undetermined,Undetermined,LOW,"C8, C9, C10, C11, C12",Girls
AGRA,BICHPURI,9150501805,GOVT HSS JAUPURA BICHPURI,-7.43,-4.4,-10.71,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
AGRA,ETMADPUR,9150602003,RAJKIYA HIGH SCHOOL BAHRAMPUR,-7.06,20.51,-30.43,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C10,Boys
AGRA,FATEHABAD,9151110303,"GOVT. HIGHER SECONDARY SCHOOL, BARANA",-37.88,-54.84,-22.86,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
AGRA,FATEHPUR  SIKRI,9150701003,GOVT HSS CHAUMA SHAPUR F.SIKARI,-7.14,12.9,-32.0,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C9,Boys
AGRA,JAITPUR  KALAN,9150909801,GOVERNMENT  INTER COLLEGE KACHHPURA AGRA,-12.12,16.67,-36.11,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour, Upper Class Only Decline",Higher Education Transition Issue,HIGH,"C10, C11, C12",Boys
AGRA,JAITPUR  KALAN,9150909606,GOVT. HIGH SCHOOL CHITRAHAT,-8.6,-2.44,-13.46,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
