District,Block,School_ID,School_Name,Total_2223,Total_2526,Overall_Growth_pct,YoY_Latest,Block_Zone,Girls_Ratio_Improving,Upper_Class_Growing,Bright_Spot_Flag,Potential_Score,Potential_Tag,Investment_Worthy
AGRA,ACCHNERA,9150207401,GOVT. GIRLS INTER COLLEGE GARHICHANDMAN ACHHNERA AGRA,127,176,38.58,17.33,YELLOW,False,True,False,3,Medium Potential,True
AGRA,ACCHNERA,9150200304,GOVT. HIGH SCHOOL ABHAIDOPURA,52,81,55.77,0.0,YELLOW,True,False,False,2,Medium Potential,False
AGRA,ACCHNERA,9150204604,"GOVT. HIGH SCHOOL, BASTAI",103,103,0.0,14.44,YELLOW,True,False,False,2,Medium Potential,False
AGRA,ACCHNERA,9150200408,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C SANDHAN,234,266,13.68,-8.59,YELLOW,False,True,False,2,Medium Potential,False
AGRA,ACCHNERA,9150203110,RAJKIYA HIGH SCHOOL RAIBHA,150,151,0.67,22.76,YELLOW,True,False,False,3,Medium Potential,True
AGRA,AKOLA,9150101804,GOVT.HIGH SCHOOL BALHERA AKOLA,142,105,-26.06,-0.94,YELLOW,False,False,False,0,Low Potential,False
AGRA,AKOLA,9150101103,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C MANKAIDA,91,159,74.73,8.16,YELLOW,False,True,False,3,Medium Potential,True
AGRA,BAH,9150302904,GOVT HSS BATESHWAR BAH,157,89,-43.31,-9.18,RED,False,False,False,0,Low Potential,False
AGRA,BAH,9150301240,GOVT. ABHINAV VIDHYALAYA BIJOLI BAH,132,157,18.94,10.56,RED,False,True,False,3,Medium Potential,True
AGRA,BAROLI AHEER,9150403204,GOVT. GIRLS INTER COLLEGE NAINANA JAT AGRA,468,511,9.19,-0.39,ORANGE,False,True,False,1,Low Potential,False
AGRA,BAROLI AHEER,9150401704,"GOVT. HIGH SCHOOL, GANGRAUA",172,135,-21.51,-1.46,ORANGE,True,False,False,1,Low Potential,False
AGRA,BAROLI AHEER,9150405004,PT.DEENDAYAL UPADHYAY GOVT. I.C BIJHAMAI,132,173,31.06,-4.95,ORANGE,True,True,False,3,Medium Potential,True
AGRA,BAROLI AHEER,9150400904,RAJKIYA HIGH SCHOOL DIGNER,129,145,12.4,5.84,ORANGE,True,False,False,3,Medium Potential,True
AGRA,BAROLI AHEER,9150405203,VIRANGANA AVANTIBAI GOVT. GIRLS INTER COLLEGE KALAL KHERIA AGRA,625,497,-20.48,-9.31,ORANGE,False,False,False,0,Low Potential,False
AGRA,BICHPURI,9150501805,GOVT HSS JAUPURA BICHPURI,175,162,-7.43,10.96,YELLOW,True,False,False,2,Medium Potential,False
AGRA,BICHPURI,9150503512,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C MIDAKUR,336,351,4.46,-1.96,YELLOW,True,True,False,2,Medium Potential,False
AGRA,ETMADPUR,9150607005,GOVT. HIGH SCHOOL KHUSHAPUR,97,106,9.28,13.98,YELLOW,True,False,False,3,Medium Potential,True
AGRA,ETMADPUR,9150602003,RAJKIYA HIGH SCHOOL BAHRAMPUR,85,79,-7.06,-21.0,YELLOW,True,False,False,1,Low Potential,False
AGRA,ETMADPUR,9150600506,RAJKIYA HIGH SCHOOL MITAWALI,126,135,7.14,4.65,YELLOW,True,False,False,2,Medium Potential,False
AGRA,FATEHABAD,9151104603,GHS NANDAPURA,35,36,2.86,-7.69,RED,True,False,False,2,Medium Potential,False
AGRA,FATEHABAD,9151110303,"GOVT. HIGHER SECONDARY SCHOOL, BARANA",66,41,-37.88,5.13,RED,False,False,False,1,Low Potential,False
AGRA,FATEHPUR  SIKRI,9150701003,GOVT HSS CHAUMA SHAPUR F.SIKARI,56,52,-7.14,-18.75,YELLOW,True,False,False,1,Low Potential,False
AGRA,FATEHPUR  SIKRI,9150703903,RAJKIYA HIGH SCHOOL OLENDA,43,50,16.28,-3.85,YELLOW,True,False,False,2,Medium Potential,False
AGRA,JAGNER,9150804903,RAJKIYA HIGH SCHOOL CHANDSAURA,65,70,7.69,-12.5,YELLOW,False,False,False,1,Low Potential,False
AGRA,JAGNER,9150802603,RAJKIYA HIGH SCHOOL RICHOHA,48,70,45.83,29.63,YELLOW,False,False,False,2,Medium Potential,False
AGRA,JAITPUR  KALAN,9150909801,GOVERNMENT  INTER COLLEGE KACHHPURA AGRA,66,58,-12.12,41.46,RED,True,False,False,2,Medium Potential,False
AGRA,JAITPUR  KALAN,9150909606,GOVT. HIGH SCHOOL CHITRAHAT,93,85,-8.6,-10.53,RED,True,False,False,1,Low Potential,False
AGRA,KHANDOLI,9151003604,GOVT. GIRLS INTER COLLEGE AWALKHEDA AGRA,490,515,5.1,-8.04,YELLOW,False,True,False,1,Low Potential,False
AGRA,KHANDOLI,9151000133,GOVT. HIGH SCHOOL NAGLA JAUHARI AGRA,75,77,2.67,-7.23,YELLOW,True,False,False,2,Medium Potential,False
AGRA,KHANDOLI,9151004507,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C SEMRA,179,181,1.12,-16.2,YELLOW,True,False,False,2,Medium Potential,False
AGRA,KHANDOLI,9151000904,RAJKIYA HIGH SCHOOL KHEDA HAZIPUR,93,93,0.0,6.9,YELLOW,True,False,False,2,Medium Potential,False
AGRA,KHANDOLI,9151004506,RAJKIYA HIGH SCHOOL SAIMRA,129,184,42.64,23.49,YELLOW,False,False,False,2,Medium Potential,False
AGRA,KHERAGARH,9151206612,GOVT. GIRLS INTER COLLEGE  KHERAGARH AGRA,173,161,-6.94,-3.59,ORANGE,False,True,False,1,Low Potential,False
AGRA,M.C.AGRA CITY,9151714173,GOVT. GIRLS INTER COLLEGE SHAHGANJ AGRA,566,527,-6.89,-7.05,YELLOW,False,False,False,0,Low Potential,False
AGRA,M.C.AGRA CITY,9151711940,GOVT. INTER COLLEGE SHAHGANJ AGRA,1264,1333,5.46,-11.43,YELLOW,False,True,False,1,Low Potential,False
AGRA,PINAHAT,9151300704,RAJKIYA HIGH SCHOOL SAVORA,55,55,0.0,-15.38,YELLOW,True,False,False,1,Low Potential,False
AGRA,SAIYAN,9151405312,GOVT. HIGH SCHOOL TEHRA SAIYAN,56,58,3.57,9.43,YELLOW,True,False,False,3,Medium Potential,True
AGRA,SHAMSHABAD,9151507604,"GOVT. HIGH SCHOOL, JAI NAGAR",124,134,8.06,9.84,YELLOW,False,False,False,2,Medium Potential,False
AGRA,SHAMSHABAD,9151508107,RAJKIYA HIGH SCHOOL KOLARA KALAN,67,74,10.45,2.78,YELLOW,False,False,False,1,Low Potential,False
ALIGARH,AKRABAD,9120205303,RAJKIY HIGH SCHOOL KATHERA,191,140,-26.7,4.48,RED,True,False,False,1,Low Potential,False
ALIGARH,ATRAULI,9120306904,RAJKEYA INTER COLLEGE SAHNOL  ATRAULI,425,199,-53.18,-28.16,RED,True,False,False,1,Low Potential,False
ALIGARH,ATRAULI,9120305202,RAJKEYA KANYA  INTER COLLEGE  NARONA,396,326,-17.68,-12.6,RED,False,False,False,0,Low Potential,False
ALIGARH,ATRAULI,9120305706,RAJKEYA KANYA INTER COLLEGE CHANDAULA,403,355,-11.91,-8.51,RED,True,True,False,2,Medium Potential,False
ALIGARH,BIJAULI,9120502307,Pt Deendayal Upadhyay Govt Model Inter College Badesara,120,148,23.33,2.07,RED,True,True,False,3,Medium Potential,True
ALIGARH,BIJAULI,9120504604,RAJKEYA KANYA INTER COLLEGE DUTTA CHOLI,116,49,-57.76,-35.53,RED,False,False,False,0,Low Potential,False
ALIGARH,CHANDAUS,9120708307,KIRAN DEVI RAJKEYA INTER COLLEGE BAMOTI,169,177,4.73,-8.29,YELLOW,True,True,False,3,Medium Potential,True
ALIGARH,CHANDAUS,9120703804,Pt Deendayal Upadhyay Govt Model Inter College,199,259,30.15,10.68,YELLOW,True,True,False,4,High Potential,True
ALIGARH,CHANDAUS,9120708603,RAJKEYA HIGH SCHOOL PORAI CHANDAUS,49,51,4.08,13.33,YELLOW,True,False,False,3,Medium Potential,True
ALIGARH,CHANDAUS,9120701402,RAJKEYA KANYA INTER COLLEGE DEORAU MOD,265,226,-14.72,8.65,YELLOW,False,True,False,2,Medium Potential,False
ALIGARH,DHANIPUR,9120101303,RAJKEYA HIGH SCHOOL RAHSUPUR DHANIPUR,62,94,51.61,16.05,ORANGE,True,False,False,3,Medium Potential,True
ALIGARH,DHANIPUR,9120103509,RAJKEYA KANYA INTER COLLEGE KALAI,231,184,-20.35,-6.6,ORANGE,False,False,False,0,Low Potential,False
ALIGARH,GANGIRI,9120409603,RAJKEY HIGH SCHOOL NAVIPUR,13,19,46.15,18.75,YELLOW,True,False,False,3,Medium Potential,True
ALIGARH,GANGIRI,9120402514,RAJKEYA HIGH SCHOOL GANGIRI ALIGARH,45,75,66.67,20.97,YELLOW,False,False,False,2,Medium Potential,False
ALIGARH,GANGIRI,9120401935,RAJKEYA KANYA INTER COLLEGE CHHARA,56,74,32.14,2.78,YELLOW,False,False,False,1,Low Potential,False
ALIGARH,GONDA,9121108003,GAYATRI DEEVI RAJKEY INTER COLLEGE  GORAI,413,246,-40.44,-4.65,RED,False,False,False,0,Low Potential,False
ALIGARH,GONDA,9121109505,Pt Deendayal Upadhyay Govt Model Inter College Tamotia,181,143,-20.99,-16.86,RED,True,True,False,2,Medium Potential,False
ALIGARH,GONDA,9121108012,SMT SAROJ SINGH RASTREYA I.C.GORAI,579,489,-15.54,-1.81,RED,True,False,False,1,Low Potential,False
ALIGARH,IGLAS,9121207805,GOVT. HIGH SCHOOL JAWAR,115,145,26.09,35.51,YELLOW,True,False,False,3,Medium Potential,True
ALIGARH,IGLAS,9121206027,RAJKEY KANYA INTER COLLEGE,203,246,21.18,8.37,YELLOW,False,False,False,2,Medium Potential,False
ALIGARH,IGLAS,9121200701,RAJKEYA HIGH SCHOOL RAITPUR IGLAS,55,50,-9.09,21.95,YELLOW,True,False,False,2,Medium Potential,False
ALIGARH,JAWAN,9120610205,ABHINAY VIDHYALAY CHHLESAR,35,20,-42.86,5.26,YELLOW,True,False,False,2,Medium Potential,False
ALIGARH,JAWAN,9120611803,GHS PIPLAUTH,94,103,9.57,8.42,YELLOW,True,False,False,3,Medium Potential,True
ALIGARH,JAWAN,9120601315,GOVERNTMENT INTER COLLEGE BARAULI,55,85,54.55,25.0,YELLOW,False,True,False,3,Medium Potential,True
ALIGARH,JAWAN,9120609204,RAJKEY KANYA INTER OLLEGE GODHA JAWAN,364,254,-30.22,-12.71,YELLOW,False,False,False,0,Low Potential,False
ALIGARH,JAWAN,9120601603,RAJKEYA HIGH SCHOOL KHURD KHERA JAWAN,41,51,24.39,-1.92,YELLOW,True,False,False,2,Medium Potential,False
ALIGARH,KHAIR,9120805708,Pt Deendayal Upadhyay Govt Model Inter College kherasattu,167,232,38.92,-2.11,ORANGE,False,True,False,2,Medium Potential,False
ALIGARH,KHAIR,9120805602,RAJKEYA  INTER COLLEGE  AHROLA KHAIR,169,134,-20.71,-6.94,ORANGE,False,False,False,0,Low Potential,False
ALIGARH,KHAIR,9120802203,VIKRAM VIDHYA MANDIR RAJKEYA INTER COLLEGE BANKNER KHAIR,321,251,-21.81,-1.95,ORANGE,True,True,False,2,Medium Potential,False
ALIGARH,LODHA,9121000503,RAJKEYA HIGH SCHOOL SINGHARPUR,250,259,3.6,4.02,YELLOW,False,False,False,1,Low Potential,False
ALIGARH,NAGAR ALIGARH,9121307839,NAURANGI LAL RAJKIYA INTER COLLEGE,1205,1163,-3.49,-6.59,YELLOW,False,False,False,0,Low Potential,False
ALIGARH,NAGAR ALIGARH,9121307973,RAJKEYA KANYA INTER COLLEGE,1148,1142,-0.52,-3.95,YELLOW,False,True,False,1,Low Potential,False
ALIGARH,NAGAR ATRAULI,9121403616,RAJKEYA KANYA INTER COLLEGE ATRAULI,918,678,-26.14,-5.17,RED,False,False,False,0,Low Potential,False
ALIGARH,TAPPAL,9120906504,RAJKEYA HIGH SCHOOL SIMROTHI TAPPAL,57,84,47.37,55.56,YELLOW,True,False,False,3,Medium Potential,True
ALIGARH,TAPPAL,9120911213,SMT REVATI GOYAL RAJKEYA KANYA I.C. JATTA,118,124,5.08,25.25,YELLOW,False,False,False,2,Medium Potential,False
AMBEDKAR NAGAR,AKBARPUR,9480110905,G G I C AKBARPUR,123,68,-44.72,-10.53,YELLOW,False,False,False,0,Low Potential,False
AMBEDKAR NAGAR,AKBARPUR,9480103707,GOVT GIRLS INTER COLLEGE BEWANA,282,384,36.17,9.4,YELLOW,False,True,False,2,Medium Potential,False
AMBEDKAR NAGAR,AKBARPUR,9480114803,GOVT HIGHER SEC SCH KAHARA SULEMPUR,38,70,84.21,55.56,YELLOW,False,False,False,2,Medium Potential,False
AMBEDKAR NAGAR,AKBARPUR,9480106311,GOVT HIGHER SEC SCH RAMPUR SAKARWARI,34,35,2.94,75.0,YELLOW,True,False,False,3,Medium Potential,True
AMBEDKAR NAGAR,AKBARPUR,9480107905,GOVT INTER COLLEGE AKBARPUR,492,396,-19.51,-22.66,YELLOW,False,False,False,0,Low Potential,False
AMBEDKAR NAGAR,AKBARPUR,9480101909,Pt Deendayal Upadhyay Govt Model Inter College Jafarganj,64,199,210.94,61.79,YELLOW,False,True,False,3,Medium Potential,True
AMBEDKAR NAGAR,AKBARPUR,9480100906,SAVITRI BAI FULE GOVT. GIRLS INTER COLLEGE,408,400,-1.96,-2.2,YELLOW,False,False,False,0,Low Potential,False
AMBEDKAR NAGAR,BASKHARI,9480200403,GOVT HIGHER SEC SCH LAKHANPUR,96,64,-33.33,20.75,ORANGE,False,False,False,1,Low Potential,False
AMBEDKAR NAGAR,BASKHARI,9480210203,RAJKIYA HIGHER SEC SCH00L TARAULI MUBARAKPUR,43,50,16.28,127.27,ORANGE,True,False,False,3,Medium Potential,True
AMBEDKAR NAGAR,BHEETI,9480308014,GOVT GIRLS INTER COLLEGE BHEETI,83,162,95.18,9.46,GREEN,False,False,False,2,Medium Potential,False
AMBEDKAR NAGAR,BHIYAON,9480406306,GOVT HIGHER SEC SCH RAMGARH,69,94,36.23,62.07,YELLOW,False,False,False,2,Medium Potential,False
AMBEDKAR NAGAR,BHIYAON,9480404812,KASTURABA GANDHI G HIGHER SEC SCH RATNA,76,129,69.74,81.69,YELLOW,True,False,False,3,Medium Potential,True
AMBEDKAR NAGAR,BHIYAON,9480403803,PT. D.D.U GOVT. MODAL INTER COLLEGE INDHANA,193,513,165.8,8.69,YELLOW,True,True,False,3,Medium Potential,True
AMBEDKAR NAGAR,JAHANGIRGANJ,9480700805,GOVT GIRLS INTER COLLEGE TENDUAI KALA,162,315,94.44,0.32,YELLOW,False,True,False,1,Low Potential,False
AMBEDKAR NAGAR,JAHANGIRGANJ,9480709005,GOVT HIGHER SEC SCH AHIRAULI RANIMAU,149,138,-7.38,33.98,YELLOW,True,False,False,2,Medium Potential,False
AMBEDKAR NAGAR,JAHANGIRGANJ,9480702111,GOVT HIGHER SEC SCH JAHANGIRGANJ,147,154,4.76,42.59,YELLOW,False,False,False,2,Medium Potential,False
AMBEDKAR NAGAR,JAHANGIRGANJ,9480704404,GOVT HIGHER SEC SCHOOL KAMHARIA,61,80,31.15,26.98,YELLOW,True,False,False,3,Medium Potential,True
AMBEDKAR NAGAR,JALALPUR,9480602120,GOVT G INTER COLLEGE JALALPUR,250,367,46.8,6.69,YELLOW,False,True,False,2,Medium Potential,False
AMBEDKAR NAGAR,JALALPUR,9480607607,GOVT HIGHER SEC SCH BAREPUR,61,81,32.79,8.0,YELLOW,True,False,False,3,Medium Potential,True
AMBEDKAR NAGAR,JALALPUR,9480605504,GOVT HIGHER SEC SCH BASIYA,90,97,7.78,5.43,YELLOW,True,False,False,3,Medium Potential,True
