District,Block,School_ID,School_Name,Alert_ID,Alert_Type,Severity,Current_Value,Threshold,Year_Triggered
AGRA,BAH,9150302904,GOVT HSS BATESHWAR BAH,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
AGRA,BAH,9150302904,GOVT HSS BATESHWAR BAH,W10,MULTI-RISK ENROLLMENT,CRITICAL,10,8,2025-26
AGRA,BAROLI AHEER,9150401704,"GOVT. HIGH SCHOOL, GANGRAUA",W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
AGRA,BAROLI AHEER,9150405203,VIRANGANA AVANTIBAI GOVT. GIRLS INTER COLLEGE KALAL KHERIA AGRA,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
AGRA,ETMADPUR,9150602003,RAJKIYA HIGH SCHOOL BAHRAMPUR,W1,ENROLLMENT CRASH,CRITICAL,-21.0,-20,2025-26
AGRA,ETMADPUR,9150602003,RAJKIYA HIGH SCHOOL BAHRAMPUR,W4,GIRLS ENROLLMENT DROP,HIGH,-19.0,-10,2025-26
AGRA,FATEHABAD,9151104603,GHS NANDAPURA,W4,GIRLS ENROLLMENT DROP,HIGH,-11.5,-10,2025-26
AGRA,FATEHABAD,9151110303,"GOVT. HIGHER SECONDARY SCHOOL, BARANA",W4,GIRLS ENROLLMENT DROP,HIGH,-17.6,-10,2025-26
AGRA,FATEHPUR  SIKRI,9150701003,GOVT HSS CHAUMA SHAPUR F.SIKARI,W2,ENROLLMENT DECLINE,HIGH,-18.8,-10,2025-26
AGRA,FATEHPUR  SIKRI,9150701003,GOVT HSS CHAUMA SHAPUR F.SIKARI,W4,GIRLS ENROLLMENT DROP,HIGH,-10.3,-10,2025-26
AGRA,JAGNER,9150804903,RAJKIYA HIGH SCHOOL CHANDSAURA,W2,ENROLLMENT DECLINE,HIGH,-12.5,-10,2025-26
AGRA,JAITPUR  KALAN,9150909606,GOVT. HIGH SCHOOL CHITRAHAT,W2,ENROLLMENT DECLINE,HIGH,-10.5,-10,2025-26
AGRA,JAITPUR  KALAN,9150909606,GOVT. HIGH SCHOOL CHITRAHAT,W4,GIRLS ENROLLMENT DROP,HIGH,-20.0,-10,2025-26
AGRA,KHANDOLI,9151004507,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C SEMRA,W2,ENROLLMENT DECLINE,HIGH,-16.2,-10,2025-26
AGRA,KHANDOLI,9151004507,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C SEMRA,W4,GIRLS ENROLLMENT DROP,HIGH,-17.6,-10,2025-26
AGRA,M.C.AGRA CITY,9151711940,GOVT. INTER COLLEGE SHAHGANJ AGRA,W2,ENROLLMENT DECLINE,HIGH,-11.4,-10,2025-26
AGRA,M.C.AGRA CITY,9151711940,GOVT. INTER COLLEGE SHAHGANJ AGRA,W7,GENDER DESERT,HIGH,0.0,0.2,2025-26
AGRA,PINAHAT,9151300704,RAJKIYA HIGH SCHOOL SAVORA,W2,ENROLLMENT DECLINE,HIGH,-15.4,-10,2025-26
ALIGARH,ATRAULI,9120306904,RAJKEYA INTER COLLEGE SAHNOL  ATRAULI,W1,ENROLLMENT CRASH,CRITICAL,-28.2,-20,2025-26
ALIGARH,ATRAULI,9120306904,RAJKEYA INTER COLLEGE SAHNOL  ATRAULI,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-25.2,-20,2025-26
ALIGARH,ATRAULI,9120306904,RAJKEYA INTER COLLEGE SAHNOL  ATRAULI,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
ALIGARH,ATRAULI,9120306904,RAJKEYA INTER COLLEGE SAHNOL  ATRAULI,W10,MULTI-RISK ENROLLMENT,CRITICAL,8,8,2025-26
ALIGARH,ATRAULI,9120305202,RAJKEYA KANYA  INTER COLLEGE  NARONA,W2,ENROLLMENT DECLINE,HIGH,-12.6,-10,2025-26
ALIGARH,ATRAULI,9120305202,RAJKEYA KANYA  INTER COLLEGE  NARONA,W4,GIRLS ENROLLMENT DROP,HIGH,-12.6,-10,2025-26
ALIGARH,BIJAULI,9120504604,RAJKEYA KANYA INTER COLLEGE DUTTA CHOLI,W1,ENROLLMENT CRASH,CRITICAL,-35.5,-20,2025-26
ALIGARH,BIJAULI,9120504604,RAJKEYA KANYA INTER COLLEGE DUTTA CHOLI,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-35.5,-20,2025-26
ALIGARH,BIJAULI,9120504604,RAJKEYA KANYA INTER COLLEGE DUTTA CHOLI,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
ALIGARH,BIJAULI,9120504604,RAJKEYA KANYA INTER COLLEGE DUTTA CHOLI,W10,MULTI-RISK ENROLLMENT,CRITICAL,10,8,2025-26
