District,Block,School_ID,School_Name,SegA_2223,SegB_2223,SegA_2526,SegB_2526,SegA_Growth_pct,SegB_Growth_pct,Ratio_2223,Ratio_2324,Ratio_2425,Ratio_2526,Ratio_Trend,Segment_Tag
AGRA,ACCHNERA,9150207401,GOVT. GIRLS INTER COLLEGE GARHICHANDMAN ACHHNERA AGRA,82,45,102,74,24.39,64.44,54.9,66.7,89.9,72.5,Improving,Both Growing
AGRA,ACCHNERA,9150200304,GOVT. HIGH SCHOOL ABHAIDOPURA,52,0,81,0,55.77,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AGRA,ACCHNERA,9150204604,"GOVT. HIGH SCHOOL, BASTAI",103,0,103,0,0.0,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AGRA,ACCHNERA,9150200408,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C SANDHAN,178,56,200,66,12.36,17.86,31.5,83.2,91.4,33.0,Improving,Both Growing
AGRA,ACCHNERA,9150203110,RAJKIYA HIGH SCHOOL RAIBHA,150,0,151,0,0.67,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AGRA,AKOLA,9150101804,GOVT.HIGH SCHOOL BALHERA AKOLA,142,0,105,0,-26.06,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AGRA,AKOLA,9150101103,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C MANKAIDA,73,18,106,53,45.21,194.44,24.7,43.8,56.4,50.0,Improving,Both Growing
AGRA,BAH,9150302904,GOVT HSS BATESHWAR BAH,157,0,89,0,-43.31,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AGRA,BAH,9150301240,GOVT. ABHINAV VIDHYALAYA BIJOLI BAH,91,41,80,77,-12.09,87.8,45.1,28.8,52.7,96.2,Improving,Sr Secondary Only
AGRA,BAROLI AHEER,9150403204,GOVT. GIRLS INTER COLLEGE NAINANA JAT AGRA,287,181,292,219,1.74,20.99,63.1,81.2,86.5,75.0,Improving,Both Growing
AGRA,BAROLI AHEER,9150401704,"GOVT. HIGH SCHOOL, GANGRAUA",172,0,135,0,-21.51,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AGRA,BAROLI AHEER,9150405004,PT.DEENDAYAL UPADHYAY GOVT. I.C BIJHAMAI,100,32,127,46,27.0,43.75,32.0,41.4,54.2,36.2,Improving,Both Growing
AGRA,BAROLI AHEER,9150400904,RAJKIYA HIGH SCHOOL DIGNER,129,0,145,0,12.4,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AGRA,BAROLI AHEER,9150405203,VIRANGANA AVANTIBAI GOVT. GIRLS INTER COLLEGE KALAL KHERIA AGRA,356,269,265,232,-25.56,-13.75,75.6,80.4,87.0,87.5,Improving,Both Declining
AGRA,BICHPURI,9150501805,GOVT HSS JAUPURA BICHPURI,175,0,162,0,-7.43,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AGRA,BICHPURI,9150503512,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C MIDAKUR,233,103,221,130,-5.15,26.21,44.2,78.9,76.4,58.8,Improving,Sr Secondary Only
AGRA,ETMADPUR,9150607005,GOVT. HIGH SCHOOL KHUSHAPUR,97,0,106,0,9.28,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AGRA,ETMADPUR,9150602003,RAJKIYA HIGH SCHOOL BAHRAMPUR,85,0,79,0,-7.06,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AGRA,ETMADPUR,9150600506,RAJKIYA HIGH SCHOOL MITAWALI,126,0,135,0,7.14,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AGRA,FATEHABAD,9151104603,GHS NANDAPURA,35,0,36,0,2.86,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AGRA,FATEHABAD,9151110303,"GOVT. HIGHER SECONDARY SCHOOL, BARANA",66,0,41,0,-37.88,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AGRA,FATEHPUR  SIKRI,9150701003,GOVT HSS CHAUMA SHAPUR F.SIKARI,56,0,52,0,-7.14,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AGRA,FATEHPUR  SIKRI,9150703903,RAJKIYA HIGH SCHOOL OLENDA,43,0,50,0,16.28,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AGRA,JAGNER,9150804903,RAJKIYA HIGH SCHOOL CHANDSAURA,65,0,70,0,7.69,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AGRA,JAGNER,9150802603,RAJKIYA HIGH SCHOOL RICHOHA,48,0,70,0,45.83,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AGRA,JAITPUR  KALAN,9150909801,GOVERNMENT  INTER COLLEGE KACHHPURA AGRA,36,30,36,22,0.0,-26.67,83.3,157.9,70.8,61.1,Declining,Both Declining
AGRA,JAITPUR  KALAN,9150909606,GOVT. HIGH SCHOOL CHITRAHAT,93,0,85,0,-8.6,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AGRA,KHANDOLI,9151003604,GOVT. GIRLS INTER COLLEGE AWALKHEDA AGRA,301,189,247,268,-17.94,41.8,62.8,68.7,73.9,108.5,Improving,Sr Secondary Only
AGRA,KHANDOLI,9151000133,GOVT. HIGH SCHOOL NAGLA JAUHARI AGRA,75,0,77,0,2.67,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AGRA,KHANDOLI,9151004507,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C SEMRA,97,82,100,81,3.09,-1.22,84.5,106.5,113.9,81.0,Declining,Secondary Only
AGRA,KHANDOLI,9151000904,RAJKIYA HIGH SCHOOL KHEDA HAZIPUR,93,0,93,0,0.0,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AGRA,KHANDOLI,9151004506,RAJKIYA HIGH SCHOOL SAIMRA,129,0,184,0,42.64,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AGRA,KHERAGARH,9151206612,GOVT. GIRLS INTER COLLEGE  KHERAGARH AGRA,115,58,97,64,-15.65,10.34,50.4,63.2,70.4,66.0,Improving,Sr Secondary Only
AGRA,M.C.AGRA CITY,9151714173,GOVT. GIRLS INTER COLLEGE SHAHGANJ AGRA,312,254,279,248,-10.58,-2.36,81.4,94.8,94.2,88.9,Improving,Both Declining
