District,Block,School_ID,School_Name,Total_2223,Total_2526,Boys_2223,Girls_2223,Boys_2526,Girls_2526,Girls_pct_2223,Girls_pct_2324,Girls_pct_2425,Girls_pct_2526,Gender_Dominance_Tag,Direction_Change,Concern_Flag
AGRA,ACCHNERA,9150207401,GOVT. GIRLS INTER COLLEGE GARHICHANDMAN ACHHNERA AGRA,127,176,0,127,0,176,100.0,100.0,100.0,100.0,Girls Only School,Stable,False
AGRA,ACCHNERA,9150200304,GOVT. HIGH SCHOOL ABHAIDOPURA,52,81,25,27,35,46,51.9,41.3,46.9,56.8,Slightly Girls Heavy,Stable,False
AGRA,ACCHNERA,9150204604,"GOVT. HIGH SCHOOL, BASTAI",103,103,50,53,45,58,51.5,53.6,61.1,56.3,Slightly Girls Heavy,Stable,False
AGRA,ACCHNERA,9150200408,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C SANDHAN,234,266,117,117,141,125,50.0,45.4,44.3,47.0,Balanced,Stable,False
AGRA,ACCHNERA,9150203110,RAJKIYA HIGH SCHOOL RAIBHA,150,151,87,63,73,78,42.0,43.3,51.2,51.7,Balanced,Stable,False
AGRA,AKOLA,9150101804,GOVT.HIGH SCHOOL BALHERA AKOLA,142,105,63,79,57,48,55.6,50.9,49.1,45.7,Balanced,Stable,False
AGRA,AKOLA,9150101103,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C MANKAIDA,91,159,33,58,62,97,63.7,66.7,62.6,61.0,Slightly Girls Heavy,Stable,False
AGRA,BAH,9150302904,GOVT HSS BATESHWAR BAH,157,89,80,77,47,42,49.0,40.0,44.9,47.2,Balanced,Stable,False
AGRA,BAH,9150301240,GOVT. ABHINAV VIDHYALAYA BIJOLI BAH,132,157,62,70,94,63,53.0,50.7,42.3,40.1,Slightly Boys Heavy,Moving to Boys Dominant,True
AGRA,BAROLI AHEER,9150403204,GOVT. GIRLS INTER COLLEGE NAINANA JAT AGRA,468,511,0,468,0,511,100.0,100.0,100.0,100.0,Girls Only School,Stable,False
AGRA,BAROLI AHEER,9150401704,"GOVT. HIGH SCHOOL, GANGRAUA",172,135,82,90,53,82,52.3,46.4,48.2,60.7,Slightly Girls Heavy,Stable,False
AGRA,BAROLI AHEER,9150405004,PT.DEENDAYAL UPADHYAY GOVT. I.C BIJHAMAI,132,173,69,63,71,102,47.7,60.4,58.8,59.0,Slightly Girls Heavy,Moving to Girls Dominant,False
AGRA,BAROLI AHEER,9150400904,RAJKIYA HIGH SCHOOL DIGNER,129,145,64,65,63,82,50.4,64.4,60.6,56.6,Slightly Girls Heavy,Stable,False
AGRA,BAROLI AHEER,9150405203,VIRANGANA AVANTIBAI GOVT. GIRLS INTER COLLEGE KALAL KHERIA AGRA,625,497,0,625,0,497,100.0,100.0,100.0,100.0,Girls Only School,Stable,False
AGRA,BICHPURI,9150501805,GOVT HSS JAUPURA BICHPURI,175,162,84,91,75,87,52.0,53.2,51.4,53.7,Balanced,Stable,False
AGRA,BICHPURI,9150503512,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C MIDAKUR,336,351,171,165,149,202,49.1,50.1,53.9,57.5,Slightly Girls Heavy,Stable,False
