District,Block,School_ID,School_Name,Enroll_2223,Enroll_2324,Enroll_2425,Enroll_2526,Peak_Year,Peak_Value,Trough_Year,Trough_Value,Post_Peak_Loss_pct,Peak_Tag
AGRA,ACCHNERA,9150207401,GOVT. GIRLS INTER COLLEGE GARHICHANDMAN ACHHNERA AGRA,127,135,150,176,2025-26,176,2022-23,127,0.0,Peak Now
AGRA,ACCHNERA,9150200304,GOVT. HIGH SCHOOL ABHAIDOPURA,52,63,81,81,2024-25,81,2022-23,52,100.0,Recently Peaked
AGRA,ACCHNERA,9150204604,"GOVT. HIGH SCHOOL, BASTAI",103,97,90,103,2022-23,103,2024-25,90,100.0,V Shape
AGRA,ACCHNERA,9150200408,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C SANDHAN,234,295,291,266,2023-24,295,2022-23,234,109.83,Post Peak Severe
AGRA,ACCHNERA,9150203110,RAJKIYA HIGH SCHOOL RAIBHA,150,127,123,151,2025-26,151,2024-25,123,0.0,Peak Now
AGRA,AKOLA,9150101804,GOVT.HIGH SCHOOL BALHERA AKOLA,142,106,106,105,2022-23,142,2025-26,105,126.06,Post Peak Severe
AGRA,AKOLA,9150101103,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C MANKAIDA,91,105,147,159,2025-26,159,2022-23,91,0.0,Peak Now
AGRA,BAH,9150302904,GOVT HSS BATESHWAR BAH,157,100,98,89,2022-23,157,2025-26,89,143.31,Post Peak Severe
AGRA,BAH,9150301240,GOVT. ABHINAV VIDHYALAYA BIJOLI BAH,132,152,142,157,2025-26,157,2022-23,132,0.0,Peak Now
AGRA,BAROLI AHEER,9150403204,GOVT. GIRLS INTER COLLEGE NAINANA JAT AGRA,468,511,513,511,2024-25,513,2022-23,468,100.39,Recently Peaked
AGRA,BAROLI AHEER,9150401704,"GOVT. HIGH SCHOOL, GANGRAUA",172,153,137,135,2022-23,172,2025-26,135,121.51,Post Peak Severe
AGRA,BAROLI AHEER,9150405004,PT.DEENDAYAL UPADHYAY GOVT. I.C BIJHAMAI,132,164,182,173,2024-25,182,2022-23,132,104.95,Recently Peaked
