District,Block,School_ID,School_Name,Enroll_2223,Enroll_2324,Enroll_2425,Enroll_2526,Had_Decline,Trough_Year,Trough_Value,Recovery_Amount,Recovery_pct,Recovery_Pattern,Recovery_Strength
AGRA,ACCHNERA,9150207401,GOVT. GIRLS INTER COLLEGE GARHICHANDMAN ACHHNERA AGRA,127,135,150,176,False,2022-23,127,49,38.58,No Recovery Needed,Strong
AGRA,ACCHNERA,9150200304,GOVT. HIGH SCHOOL ABHAIDOPURA,52,63,81,81,False,2022-23,52,29,55.77,No Recovery Needed,Strong
AGRA,ACCHNERA,9150204604,"GOVT. HIGH SCHOOL, BASTAI",103,97,90,103,True,2024-25,90,13,14.44,Late Recovery,Moderate
AGRA,ACCHNERA,9150200408,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C SANDHAN,234,295,291,266,True,2022-23,234,32,13.68,Full Recovery,Moderate
AGRA,ACCHNERA,9150203110,RAJKIYA HIGH SCHOOL RAIBHA,150,127,123,151,True,2024-25,123,28,22.76,Late Recovery,Strong
AGRA,AKOLA,9150101804,GOVT.HIGH SCHOOL BALHERA AKOLA,142,106,106,105,True,2025-26,105,0,0.0,Still Declining,No Recovery
AGRA,AKOLA,9150101103,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C MANKAIDA,91,105,147,159,False,2022-23,91,68,74.73,No Recovery Needed,Strong
AGRA,BAH,9150302904,GOVT HSS BATESHWAR BAH,157,100,98,89,True,2025-26,89,0,0.0,Still Declining,No Recovery
AGRA,BAH,9150301240,GOVT. ABHINAV VIDHYALAYA BIJOLI BAH,132,152,142,157,True,2022-23,132,25,18.94,Full Recovery,Moderate
AGRA,BAROLI AHEER,9150403204,GOVT. GIRLS INTER COLLEGE NAINANA JAT AGRA,468,511,513,511,True,2022-23,468,43,9.19,Full Recovery,Weak
AGRA,BAROLI AHEER,9150401704,"GOVT. HIGH SCHOOL, GANGRAUA",172,153,137,135,True,2025-26,135,0,0.0,Still Declining,No Recovery
AGRA,BAROLI AHEER,9150405004,PT.DEENDAYAL UPADHYAY GOVT. I.C BIJHAMAI,132,164,182,173,True,2022-23,132,41,31.06,Full Recovery,Strong
AGRA,BAROLI AHEER,9150400904,RAJKIYA HIGH SCHOOL DIGNER,129,135,137,145,False,2022-23,129,16,12.4,No Recovery Needed,Moderate
AGRA,BAROLI AHEER,9150405203,VIRANGANA AVANTIBAI GOVT. GIRLS INTER COLLEGE KALAL KHERIA AGRA,625,588,548,497,True,2025-26,497,0,0.0,Still Declining,No Recovery
AGRA,BICHPURI,9150501805,GOVT HSS JAUPURA BICHPURI,175,126,146,162,True,2023-24,126,36,28.57,Strong Recovery,Strong
AGRA,BICHPURI,9150503512,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C MIDAKUR,336,365,358,351,True,2022-23,336,15,4.46,Full Recovery,Weak
AGRA,ETMADPUR,9150607005,GOVT. HIGH SCHOOL KHUSHAPUR,97,78,93,106,True,2023-24,78,28,35.9,Strong Recovery,Strong
AGRA,ETMADPUR,9150602003,RAJKIYA HIGH SCHOOL BAHRAMPUR,85,103,100,79,True,2025-26,79,0,0.0,Still Declining,No Recovery
AGRA,ETMADPUR,9150600506,RAJKIYA HIGH SCHOOL MITAWALI,126,125,129,135,True,2023-24,125,10,8.0,Strong Recovery,Weak
AGRA,FATEHABAD,9151104603,GHS NANDAPURA,35,37,39,36,True,2022-23,35,1,2.86,Full Recovery,Weak
AGRA,FATEHABAD,9151110303,"GOVT. HIGHER SECONDARY SCHOOL, BARANA",66,51,39,41,True,2024-25,39,2,5.13,Late Recovery,Weak
AGRA,FATEHPUR  SIKRI,9150701003,GOVT HSS CHAUMA SHAPUR F.SIKARI,56,68,64,52,True,2025-26,52,0,0.0,Still Declining,No Recovery
