District,Block,School_ID,School_Name,Total_2223,Total_2324,Total_2425,Total_2526,Size_Tag,Size_Trend,Closure_Risk_Score,Closure_Risk_Tag
AGRA,ACCHNERA,9150207401,GOVT. GIRLS INTER COLLEGE GARHICHANDMAN ACHHNERA AGRA,127,135,150,176,Small School,Growing,0,Safe
AGRA,ACCHNERA,9150200304,GOVT. HIGH SCHOOL ABHAIDOPURA,52,63,81,81,Small School,Growing,1,Monitor
AGRA,ACCHNERA,9150204604,"GOVT. HIGH SCHOOL, BASTAI",103,97,90,103,Small School,Fluctuating,1,Monitor
AGRA,ACCHNERA,9150200408,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C SANDHAN,234,295,291,266,Medium School,Fluctuating,0,Safe
AGRA,ACCHNERA,9150203110,RAJKIYA HIGH SCHOOL RAIBHA,150,127,123,151,Small School,Fluctuating,1,Monitor
AGRA,AKOLA,9150101804,GOVT.HIGH SCHOOL BALHERA AKOLA,142,106,106,105,Small School,Getting Smaller,1,Monitor
AGRA,AKOLA,9150101103,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C MANKAIDA,91,105,147,159,Small School,Growing,0,Safe
AGRA,BAH,9150302904,GOVT HSS BATESHWAR BAH,157,100,98,89,Small School,Getting Smaller,3,High Risk
AGRA,BAH,9150301240,GOVT. ABHINAV VIDHYALAYA BIJOLI BAH,132,152,142,157,Small School,Fluctuating,0,Safe
AGRA,BAROLI AHEER,9150403204,GOVT. GIRLS INTER COLLEGE NAINANA JAT AGRA,468,511,513,511,Large School,Fluctuating,0,Safe
AGRA,BAROLI AHEER,9150401704,"GOVT. HIGH SCHOOL, GANGRAUA",172,153,137,135,Small School,Getting Smaller,3,High Risk
AGRA,BAROLI AHEER,9150405004,PT.DEENDAYAL UPADHYAY GOVT. I.C BIJHAMAI,132,164,182,173,Small School,Fluctuating,0,Safe
AGRA,BAROLI AHEER,9150400904,RAJKIYA HIGH SCHOOL DIGNER,129,135,137,145,Small School,Growing,1,Monitor
