District,Block,School_ID,School_Name,C8,C9,C10,C11,C12,Total,Share_C8,Share_C9,Share_C10,Share_C11,Share_C12,HHI_2223,HHI_2526,HHI_Trend,Dominant_Class,Top2_Classes_pct,Concentration_Tag
AGRA,ACCHNERA,9150207401,GOVT. GIRLS INTER COLLEGE GARHICHANDMAN ACHHNERA AGRA,19,43,40,28,46,176,0.108,0.2443,0.2273,0.1591,0.2614,0.2593,0.2166,Stable,Class 12,50.6,Perfectly Balanced
AGRA,ACCHNERA,9150200304,GOVT. HIGH SCHOOL ABHAIDOPURA,0,35,46,0,0,81,0.0,0.4321,0.5679,0.0,0.0,0.5067,0.5092,Stable,Class 10,100.0,Highly Concentrated
AGRA,ACCHNERA,9150204604,"GOVT. HIGH SCHOOL, BASTAI",0,50,53,0,0,103,0.0,0.4854,0.5146,0.0,0.0,0.5023,0.5004,Stable,Class 10,100.0,Highly Concentrated
AGRA,ACCHNERA,9150200408,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C SANDHAN,50,66,84,29,37,266,0.188,0.2481,0.3158,0.109,0.1391,0.3043,0.2279,Becoming More Balanced,Class 10,56.4,Balanced
AGRA,ACCHNERA,9150203110,RAJKIYA HIGH SCHOOL RAIBHA,0,80,71,0,0,151,0.0,0.5298,0.4702,0.0,0.0,0.5014,0.5018,Stable,Class 9,100.0,Highly Concentrated
AGRA,AKOLA,9150101804,GOVT.HIGH SCHOOL BALHERA AKOLA,0,55,50,0,0,105,0.0,0.5238,0.4762,0.0,0.0,0.5001,0.5011,Stable,Class 9,100.0,Highly Concentrated
AGRA,AKOLA,9150101103,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C MANKAIDA,14,52,40,25,28,159,0.088,0.327,0.2516,0.1572,0.1761,0.2829,0.2337,Stable,Class 9,57.9,Balanced
AGRA,BAH,9150302904,GOVT HSS BATESHWAR BAH,0,34,55,0,0,89,0.0,0.382,0.618,0.0,0.0,0.5966,0.5278,Becoming More Balanced,Class 10,100.0,Highly Concentrated
AGRA,BAH,9150301240,GOVT. ABHINAV VIDHYALAYA BIJOLI BAH,27,27,26,44,33,157,0.172,0.172,0.1656,0.2803,0.2102,0.2115,0.2093,Stable,Class 11,49.0,Perfectly Balanced
AGRA,BAROLI AHEER,9150403204,GOVT. GIRLS INTER COLLEGE NAINANA JAT AGRA,70,137,85,120,99,511,0.137,0.2681,0.1663,0.2348,0.1937,0.2022,0.211,Stable,Class 9,50.3,Perfectly Balanced
AGRA,BAROLI AHEER,9150401704,"GOVT. HIGH SCHOOL, GANGRAUA",0,71,64,0,0,135,0.0,0.5259,0.4741,0.0,0.0,0.5006,0.5013,Stable,Class 9,100.0,Highly Concentrated
AGRA,BAROLI AHEER,9150405004,PT.DEENDAYAL UPADHYAY GOVT. I.C BIJHAMAI,32,48,47,20,26,173,0.185,0.2775,0.2717,0.1156,0.1503,0.2306,0.221,Stable,Class 9,54.9,Balanced
AGRA,BAROLI AHEER,9150400904,RAJKIYA HIGH SCHOOL DIGNER,0,75,70,0,0,145,0.0,0.5172,0.4828,0.0,0.0,0.5008,0.5006,Stable,Class 9,100.0,Highly Concentrated
