District,Block,School_ID,School_Name,Girls_C8,Girls_C9,Girls_C10,Girls_C11,Girls_C12,Cont_C8_C9_pct,Cont_C9_C10_pct,Cont_C10_C11_pct,Cont_C11_C12_pct,Girls_Progression_pct,Weakest_Step,C10_C11_Trend,Ladder_Tag
AGRA,ACCHNERA,9150207401,GOVT. GIRLS INTER COLLEGE GARHICHANDMAN ACHHNERA AGRA,19,43,40,28,46,226.3,93.0,70.0,164.3,242.1,C10-C11,Fewer Girls Enrolling in C11,Moderate Enrollment
AGRA,ACCHNERA,9150200304,GOVT. HIGH SCHOOL ABHAIDOPURA,0,20,26,0,0,2000000.0,130.0,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AGRA,ACCHNERA,9150204604,"GOVT. HIGH SCHOOL, BASTAI",0,26,32,0,0,2600000.0,123.1,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AGRA,ACCHNERA,9150200408,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C SANDHAN,25,34,37,12,17,136.0,108.8,32.4,141.7,68.0,C10-C11,Stable,Class 10-11 Enrollment Gap
AGRA,ACCHNERA,9150203110,RAJKIYA HIGH SCHOOL RAIBHA,0,43,35,0,0,4300000.0,81.4,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AGRA,AKOLA,9150101804,GOVT.HIGH SCHOOL BALHERA AKOLA,0,18,30,0,0,1800000.0,166.7,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AGRA,AKOLA,9150101103,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C MANKAIDA,9,35,22,18,13,388.8,62.9,81.8,72.2,144.4,C9-C10,More Girls Enrolling in C11,Early Class Enrollment Gap
AGRA,BAH,9150302904,GOVT HSS BATESHWAR BAH,0,17,25,0,0,1700000.0,147.1,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AGRA,BAH,9150301240,GOVT. ABHINAV VIDHYALAYA BIJOLI BAH,10,11,10,16,16,110.0,90.9,160.0,100.0,160.0,C9-C10,More Girls Enrolling in C11,Strong Enrollment
AGRA,BAROLI AHEER,9150403204,GOVT. GIRLS INTER COLLEGE NAINANA JAT AGRA,70,137,85,120,99,195.7,62.0,141.2,82.5,141.4,C9-C10,More Girls Enrolling in C11,Early Class Enrollment Gap
AGRA,BAROLI AHEER,9150401704,"GOVT. HIGH SCHOOL, GANGRAUA",0,44,38,0,0,4400000.0,86.4,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AGRA,BAROLI AHEER,9150405004,PT.DEENDAYAL UPADHYAY GOVT. I.C BIJHAMAI,13,27,32,14,16,207.7,118.5,43.7,114.3,123.1,C10-C11,Fewer Girls Enrolling in C11,Class 10-11 Enrollment Gap
AGRA,BAROLI AHEER,9150400904,RAJKIYA HIGH SCHOOL DIGNER,0,42,40,0,0,4200000.0,95.2,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AGRA,BAROLI AHEER,9150405203,VIRANGANA AVANTIBAI GOVT. GIRLS INTER COLLEGE KALAL KHERIA AGRA,62,93,110,107,125,150.0,118.3,97.3,116.8,201.6,C10-C11,Stable,Strong Enrollment
AGRA,BICHPURI,9150501805,GOVT HSS JAUPURA BICHPURI,0,53,34,0,0,5300000.0,64.1,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AGRA,BICHPURI,9150503512,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C MIDAKUR,22,78,35,39,28,354.5,44.9,111.4,71.8,127.3,C9-C10,More Girls Enrolling in C11,Early Class Enrollment Gap
AGRA,ETMADPUR,9150607005,GOVT. HIGH SCHOOL KHUSHAPUR,0,36,34,0,0,3600000.0,94.4,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AGRA,ETMADPUR,9150602003,RAJKIYA HIGH SCHOOL BAHRAMPUR,0,21,26,0,0,2100000.0,123.8,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AGRA,ETMADPUR,9150600506,RAJKIYA HIGH SCHOOL MITAWALI,0,37,36,0,0,3700000.0,97.3,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AGRA,FATEHABAD,9151104603,GHS NANDAPURA,0,18,5,0,0,1800000.0,27.8,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AGRA,FATEHABAD,9151110303,"GOVT. HIGHER SECONDARY SCHOOL, BARANA",0,7,7,0,0,700000.0,100.0,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
