District,Block,School_ID,School_Name,Total_2223,Total_2324,Total_2425,Total_2526,Size_Tag,Size_Trend,Closure_Risk_Score,Closure_Risk_Tag
AGRA,BAH,9150302904,GOVT HSS BATESHWAR BAH,157,100,98,89,Small School,Getting Smaller,3,High Risk
AGRA,BAROLI AHEER,9150401704,"GOVT. HIGH SCHOOL, GANGRAUA",172,153,137,135,Small School,Getting Smaller,3,High Risk
AGRA,FATEHABAD,9151110303,"GOVT. HIGHER SECONDARY SCHOOL, BARANA",66,51,39,41,Very Small,Fluctuating,3,High Risk
ALIGARH,BIJAULI,9120504604,RAJKEYA KANYA INTER COLLEGE DUTTA CHOLI,116,87,76,49,Very Small,Getting Smaller,4,Critical
ALIGARH,JAWAN,9120610205,ABHINAY VIDHYALAY CHHLESAR,35,27,19,20,Micro School,Fluctuating,3,High Risk
AMETHI - CSM NAGAR,JAGDISHPUR,9730106203,GOVT H S MANGRAULI JAGDISHPUR,70,64,63,53,Small School,Getting Smaller,3,High Risk
AMETHI - CSM NAGAR,JAGDISHPUR,9730104402,RAJKIY HIGH SCHOOL RANIGANJ,62,33,22,23,Micro School,Fluctuating,3,High Risk
AMETHI - CSM NAGAR,MUSAFIRKHANA,9730303904,RAJKIY HIGH SCHOOL KANJAS,71,60,43,38,Very Small,Getting Smaller,4,Critical
AMETHI - CSM NAGAR,TILOI,9732202304,RAJKIY HIGH SCHOOL CHITRA BUZURG,43,24,38,43,Very Small,Fluctuating,3,High Risk
AMETHI - CSM NAGAR,TILOI,9732209101,RAJKIY HIGH SCHOOL SEMRAUTA,138,109,94,66,Small School,Getting Smaller,3,High Risk
AURAIYA,BHAGYANAGAR,9320608206,GOVT. U.M.V. JUA,53,37,34,34,Very Small,Getting Smaller,3,High Risk
AURAIYA,SAHAR,9320811706,GOVT GIRLS INTER COLLEGE SAHAR AURAIYA,29,17,17,14,Micro School,Getting Smaller,3,High Risk
AZAMGARH,HARRAIYA,9611410802,G.B.U.M.V. PIHAR,78,34,39,40,Very Small,Fluctuating,3,High Risk
AZAMGARH,HARRAIYA,9611400703,R.U.M.V. ETAILY,181,53,30,28,Very Small,Getting Smaller,4,Critical
AZAMGARH,JAHANAGANJ,9612014707,RAJKIYA U.M.V. KANAILA,148,143,122,109,Small School,Getting Smaller,3,High Risk
