District,Block,School_ID,School_Name,Alert_ID,Alert_Type,Severity,Current_Value,Threshold,Year_Triggered
AGRA,BAH,9150302904,GOVT HSS BATESHWAR BAH,W10,MULTI-RISK ENROLLMENT,CRITICAL,10,8,2025-26
AGRA,ETMADPUR,9150602003,RAJKIYA HIGH SCHOOL BAHRAMPUR,W1,ENROLLMENT CRASH,CRITICAL,-21.0,-20,2025-26
ALIGARH,ATRAULI,9120306904,RAJKEYA INTER COLLEGE SAHNOL  ATRAULI,W1,ENROLLMENT CRASH,CRITICAL,-28.2,-20,2025-26
ALIGARH,ATRAULI,9120306904,RAJKEYA INTER COLLEGE SAHNOL  ATRAULI,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-25.2,-20,2025-26
ALIGARH,ATRAULI,9120306904,RAJKEYA INTER COLLEGE SAHNOL  ATRAULI,W10,MULTI-RISK ENROLLMENT,CRITICAL,8,8,2025-26
ALIGARH,BIJAULI,9120504604,RAJKEYA KANYA INTER COLLEGE DUTTA CHOLI,W1,ENROLLMENT CRASH,CRITICAL,-35.5,-20,2025-26
ALIGARH,BIJAULI,9120504604,RAJKEYA KANYA INTER COLLEGE DUTTA CHOLI,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-35.5,-20,2025-26
ALIGARH,BIJAULI,9120504604,RAJKEYA KANYA INTER COLLEGE DUTTA CHOLI,W10,MULTI-RISK ENROLLMENT,CRITICAL,10,8,2025-26
ALIGARH,JAWAN,9120610205,ABHINAY VIDHYALAY CHHLESAR,W5,CONTINUITY COLLAPSE,CRITICAL,35.7,60,2025-26
ALIGARH,KHAIR,9120805602,RAJKEYA  INTER COLLEGE  AHROLA KHAIR,W5,CONTINUITY COLLAPSE,CRITICAL,32.0,60,2025-26
AMBEDKAR NAGAR,AKBARPUR,9480107905,GOVT INTER COLLEGE AKBARPUR,W1,ENROLLMENT CRASH,CRITICAL,-22.7,-20,2025-26
AMETHI - CSM NAGAR,BAHADURPUR,9732500101,GGIC JAIS,W1,ENROLLMENT CRASH,CRITICAL,-26.4,-20,2025-26
AMETHI - CSM NAGAR,BAHADURPUR,9732500101,GGIC JAIS,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-26.4,-20,2025-26
AMETHI - CSM NAGAR,JAGDISHPUR,9730106203,GOVT H S MANGRAULI JAGDISHPUR,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-28.1,-20,2025-26
AMETHI - CSM NAGAR,JAGDISHPUR,9730106203,GOVT H S MANGRAULI JAGDISHPUR,W10,MULTI-RISK ENROLLMENT,CRITICAL,9,8,2025-26
AMETHI - CSM NAGAR,MUSAFIRKHANA,9730303904,RAJKIY HIGH SCHOOL KANJAS,W10,MULTI-RISK ENROLLMENT,CRITICAL,11,8,2025-26
AMETHI - CSM NAGAR,SINGHPUR,9731700510,RAJKIY HIGH SCHOOL SATAN KA PURWA,W1,ENROLLMENT CRASH,CRITICAL,-23.8,-20,2025-26
AMETHI - CSM NAGAR,SINGHPUR,9731700510,RAJKIY HIGH SCHOOL SATAN KA PURWA,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-43.2,-20,2025-26
AMETHI - CSM NAGAR,TILOI,9732209101,RAJKIY HIGH SCHOOL SEMRAUTA,W1,ENROLLMENT CRASH,CRITICAL,-29.8,-20,2025-26
AMETHI - CSM NAGAR,TILOI,9732209101,RAJKIY HIGH SCHOOL SEMRAUTA,W10,MULTI-RISK ENROLLMENT,CRITICAL,10,8,2025-26
AURAIYA,AIRWAKATRA,9320402003,GOVT. U.M.V. KARMUPUR,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-36.0,-20,2025-26
AURAIYA,SAHAR,9320811706,GOVT GIRLS INTER COLLEGE SAHAR AURAIYA,W5,CONTINUITY COLLAPSE,CRITICAL,50.0,60,2025-26
AZAMGARH,HARRAIYA,9611400505,MAHANT RAMASHRYA DAS GOVT. I.C.,W10,MULTI-RISK ENROLLMENT,CRITICAL,8,8,2025-26
AZAMGARH,HARRAIYA,9611400703,R.U.M.V. ETAILY,W10,MULTI-RISK ENROLLMENT,CRITICAL,11,8,2025-26
AZAMGARH,JAHANAGANJ,9612014707,RAJKIYA U.M.V. KANAILA,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-25.8,-20,2025-26
AZAMGARH,THEKMA,9612106802,GOVT GIRLS I.C.  ASHWANIYA,W10,MULTI-RISK ENROLLMENT,CRITICAL,11,8,2025-26
BAGHPAT,PILANA,9080705205,G.H.S BASAUD,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-27.1,-20,2025-26
BAHRAICH,CHITTAURA,9500801802,R H SCHOOL KISHUNPURMAFI CHITTAURA,W1,ENROLLMENT CRASH,CRITICAL,-31.5,-20,2025-26
BAHRAICH,MAHSI,9500403005,R H SCHOOL NAKAHI,W1,ENROLLMENT CRASH,CRITICAL,-21.6,-20,2025-26
BAHRAICH,MIHIN PURVA,9501104004,R.H. SCHOOL URRA BAZAR,W1,ENROLLMENT CRASH,CRITICAL,-39.3,-20,2025-26
