District,Total_Schools,Total_Blocks,Enroll_2223,Enroll_2324,Enroll_2425,Enroll_2526,Overall_Growth_pct,YoY_2223_2324,YoY_2324_2425,YoY_2425_2526,Girls_Growth_pct,Boys_Growth_pct,Avg_Continuity_8_9,Avg_Continuity_10_11,Avg_Continuity_11_12,Red_Blocks,Girls_Declining_Schools,District_Health_Tag,District_Rank
SHRAWASTI,28,5,1874,2145,2723,3337,78.07,14.46,26.95,22.55,70.64,66.52,570.34,59.34,103.46,0,3,Strong,1
MAU,17,9,878,964,1584,1557,77.33,9.79,64.32,-1.7,76.35,102.31,570.34,59.34,103.46,0,2,Strong,2
KAUSHAMBI,25,8,1867,2296,2801,3308,77.18,22.98,21.99,18.1,80.35,112.87,570.34,59.34,103.46,0,5,Strong,3
SAMBHAL (BHIM NAGAR),17,9,3612,4274,5349,6309,74.67,18.33,25.15,17.95,33.71,27.11,570.34,59.34,103.46,1,2,Growing,4
KANPUR DEHAT,19,10,1517,1663,2045,2329,53.53,9.62,22.97,13.89,69.59,54.74,570.34,59.34,103.46,2,3,Growing,5
DEORIA,20,11,3847,4042,4691,5123,33.17,5.07,16.06,9.21,31.17,42.25,570.34,59.34,103.46,3,11,Growing,6
BULANDSHAHR,51,17,6762,7569,8512,8946,32.3,11.93,12.46,5.1,56.57,159.67,570.34,59.34,103.46,0,11,Strong,7
AMBEDKAR NAGAR,32,10,4833,4929,5616,6386,32.13,1.99,13.94,13.71,82.12,66.4,570.34,59.34,103.46,0,8,Strong,8
BAHRAICH,55,15,8267,8722,10133,10923,32.13,5.5,16.18,7.8,45.01,28.74,570.34,59.34,103.46,2,13,Growing,8
KANSHIRAM NAGAR,15,7,4031,4476,4826,5232,29.79,11.04,7.82,8.41,86.18,95.92,570.34,59.34,103.46,0,4,Strong,10
SANT KABIR NAGAR,20,9,2762,2969,3260,3562,28.96,7.49,9.8,9.26,35.92,36.59,570.34,59.34,103.46,2,6,Growing,11
AURAIYA,15,6,992,1044,1135,1261,27.12,5.24,8.72,11.1,24.2,59.15,570.34,59.34,103.46,2,5,Growing,12
KUSHINAGAR,22,12,2276,2474,2768,2882,26.63,8.7,11.88,4.12,46.65,38.67,570.34,59.34,103.46,2,7,Growing,13
JAUNPUR,33,21,2491,2455,2582,3120,25.25,-1.45,5.17,20.84,16.6,37.45,570.34,59.34,103.46,3,9,Growing,14
BHADOI,39,6,7196,7611,8456,8994,24.99,5.77,11.1,6.36,45.86,34.93,570.34,59.34,103.46,0,14,Strong,15
HATHRAS,23,8,2085,2107,2354,2553,22.45,1.06,11.72,8.45,42.66,21.94,570.34,59.34,103.46,1,8,Growing,16
FAIZABAD,28,11,4860,5127,5525,5930,22.02,5.49,7.76,7.33,53.21,87.79,570.34,59.34,103.46,3,10,Growing,17
SAHARANPUR,64,13,9228,9597,10407,10975,18.93,4.0,8.44,5.46,19.67,45.87,570.34,59.34,103.46,1,18,Growing,18
HAPUR (PANCHSHEEL NAGAR),14,4,1893,1901,2181,2251,18.91,0.42,14.73,3.21,48.6,58.06,570.34,59.34,103.46,1,7,Growing,19
KANNAUJ,19,8,2308,2165,2636,2721,17.89,-6.2,21.76,3.22,133.42,50.84,570.34,59.34,103.46,1,9,Growing,20
SONBHADRA,48,8,16255,17438,18069,19012,16.96,7.28,3.62,5.22,501.48,127.76,570.34,59.34,103.46,0,12,Strong,21
SIDDHARTHNAGAR,28,12,4214,4345,4454,4920,16.75,3.11,2.51,10.46,28.72,0.2,570.34,59.34,103.46,3,8,Growing,22
MATHURA,36,10,4545,4701,5172,5288,16.35,3.43,10.02,2.24,29.12,44.9,570.34,59.34,103.46,0,9,Strong,23
BAREILLY,65,18,12554,13709,14000,14525,15.7,9.2,2.12,3.75,64.05,83.06,570.34,59.34,103.46,1,16,Growing,24
BAGHPAT,21,7,2340,2513,2664,2704,15.56,7.39,6.01,1.5,14.63,32.77,570.34,59.34,103.46,0,6,Strong,25
KHERI,54,17,11248,11227,11966,12986,15.45,-0.19,6.58,8.52,32.15,1.79,570.34,59.34,103.46,3,20,Growing,26
FATEHPUR,47,15,8580,8421,9078,9899,15.37,-1.85,7.8,9.04,20.34,38.35,570.34,59.34,103.46,2,17,Growing,27
HAMIRPUR (U.P.),31,10,9028,9285,9866,10330,14.42,2.85,6.26,4.7,34.36,44.96,570.34,59.34,103.46,2,10,Growing,28
SITAPUR,62,22,17510,18705,18795,19982,14.12,6.82,0.48,6.32,79.46,110.07,570.34,59.34,103.46,1,18,Growing,29
BUDAUN,39,15,7926,8697,8894,9021,13.82,9.73,2.27,1.43,32.61,19.66,570.34,59.34,103.46,6,11,Growing,30
MAHARAJGANJ,29,11,5073,5249,5497,5738,13.11,3.47,4.72,4.38,65.53,40.04,570.34,59.34,103.46,1,10,Growing,31
SULTANPUR,26,12,7026,6785,7800,7945,13.08,-3.43,14.96,1.86,50.81,19.18,570.34,59.34,103.46,1,8,Growing,32
CHANDAULI,26,7,6654,7024,7313,7522,13.04,5.56,4.11,2.86,38.13,45.28,570.34,59.34,103.46,0,8,Strong,33
HARDOI,56,22,9705,9737,10358,10953,12.86,0.33,6.38,5.74,40.32,60.14,570.34,59.34,103.46,1,18,Growing,34
BALRAMPUR,22,9,3682,3438,3918,4150,12.71,-6.63,13.96,5.92,19.83,9.73,570.34,59.34,103.46,1,10,Growing,35
GAUTAM BUDDHA NAGAR,7,3,5216,4628,5352,5858,12.31,-11.27,15.64,9.45,23.95,6.09,570.34,59.34,103.46,0,0,Strong,36
PRATAPGARH,43,16,6905,6378,6912,7663,10.98,-7.63,8.37,10.87,70.37,45.14,570.34,59.34,103.46,3,15,Growing,37
SHAHJAHANPUR,54,16,14058,13830,14145,15452,9.92,-1.62,2.28,9.24,23.33,13.38,570.34,59.34,103.46,0,15,Growing,38
