District,Block,School_ID,School_Name,Total_2223,Total_2526,Overall_Growth_pct,Risk_Score,Risk_Level,Decline_flag,Severe_Decline_flag,Low_Continuity_flag,Wide_Enroll_Spread_flag,Low_Enrollment_flag,Volatile_flag,Girls_Decline_flag,Gender_Imbalance_flag,Weak_Continuity_flag,Small_School_flag
MIRZAPUR,PAHARI,9690405306,"SAMAJWADI ABHINAV VIDYALAYA, BHOJPUR PAHARI",65.0,23,-64.62,13,HIGH RISK,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
JHANSI,BAMORE,9360207306,ABHINAV VIDAHAYALA KURAITHA ,62.0,12,-80.65,13,HIGH RISK,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
HARDOI,SHAHABAD,9251104105,R.U.M.V. BILHARI,132.0,41,-68.94,11,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
BIJNOR,KIRATPUR,9030703406,RAJKIYA HIGHSCHOOL PADALA,92.0,49,-46.74,11,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
RAMPUR,BILASPUR,9050211003,GOVT HSS AHRO BILASHPUR,88.0,36,-59.09,11,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
MATHURA,BALDEO,9141004008,GOVT HIGH SCHOOL AKOS,68.0,48,-29.41,11,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
LALITPUR,MAHRONI,9370504108,GHS PATHA,87.0,36,-58.62,11,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
AZAMGARH,HARRAIYA,9611400703,R.U.M.V. ETAILY,181.0,28,-84.53,11,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
AZAMGARH,THEKMA,9612106802,GOVT GIRLS I.C.  ASHWANIYA,65.0,34,-47.69,11,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
AMETHI - CSM NAGAR,MUSAFIRKHANA,9730303904,RAJKIY HIGH SCHOOL KANJAS,71.0,38,-46.48,11,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
GORAKHPUR,PIPRAULI,9580104003,GOVT. HIGH SCHOOL KOLHUI PIPRAULI,52.0,31,-40.38,11,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
SHAHJAHANPUR,JALALABAD,9220307603,G.H.S. CHAURASI,60.0,34,-43.33,11,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
HAMIRPUR (U.P.),SUMERPUR,9380201604,GOVT HSS TERHA,69.0,27,-60.87,11,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
BALLIA,NAGARA,9630204904,RAJKIY UPS JUDANPUR,35.0,7,-80.0,11,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
BALLIA,PANDAH,9630604004,RAJKIYA UPS EKAIL,54.0,34,-37.04,11,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
MAHOBA,PANWARI,9390410504,GOVT HIGH SCHOOL SILALPURA,45.0,22,-51.11,11,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
MAINPURI,BARNAHAL,9180905706,G.U.M. VID CHANDIKARA,68.0,20,-70.59,11,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
MATHURA,RAYA,9140803903,GOVT HIGH SCHOOL LOHAGARH,81.0,39,-51.85,11,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
DEORIA,PATTHRDEVA,9600503804,R .UMV RAMPUR MAHUARI,114.0,47,-58.77,11,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
DEORIA,PATTHRDEVA,9600503905,GOVT.H.S.SCHOOL MALGHOT BIRAICHA,37.0,22,-40.54,11,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
HARDOI,BILGRAM,9251706507,GOVT. H.S.S. RAHULA BILGRAM,37.0,17,-54.05,11,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
JALAUN,KADAURA,9350301408,GOVT. HSS CHHAUNK,95.0,41,-56.84,11,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
KHERI,PALIYA,9231104203,G.V.H.S.S. RANINAGAR PALIYA KHERI,97.0,60,-38.14,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
MAINPURI,MAINPURI,9180103505,GOVT. HIGH SCHOOL ANGAUTHA,89.0,60,-32.58,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
BASTI,GAUR,9550518709,GOVT HR SEC PIPRAHIA,88.0,55,-37.5,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
SIDDHARTHNAGAR,ITAVA,9540705206,RAJKEEY UMV KATHELA GRANT,157.0,84,-46.5,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
CHITRAKOOT,MANIKPUR,9410500910,GOVT. HIGH SCHOOL ETAWA DUDAILA,122.0,77,-36.89,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
MIRZAPUR,PAHARI,9690401106,GOVT. HIGH SCHOOL DATI,163.0,94,-42.33,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
BUDAUN,UJHANI,9190201510,"GOVT. HS SCHOOL,DEHMU",127.0,88,-30.71,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
BUDAUN,BISAULI,9191600150,"GOVT. HIGH SCHOOL, KARANPUR",70.0,50,-28.57,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
MUZAFFARNAGAR,BAGHRA,9020204408,GOVT.HIGHE SCHOOL KUTBI,86.0,60,-30.23,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
HAPUR (PANCHSHEEL NAGAR),GARH MUKTESWAR,9750800405,GOVT INTER COLLEGE SHERPUR  HAPUR,118.0,65,-44.92,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
HARDOI,MALLAWA,9250800605,ADARSH SHRISAD BAJIGANJ MALLAWAN,19.0,14,-26.32,10,HIGH RISK,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes
BAREILLY,BHOJIPURA,9201100403,GOVT. HIGH SCHOOL ALINAGAR,184.0,99,-46.2,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
SAHARANPUR,BALIA KHEDI,9010802912,RAJKIYA HIGH SCHOOL SABDALPUR,115.0,62,-46.09,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
MUZAFFARNAGAR,PURKAJI,9020402209,GOVT.HIGH SCHOOL TEJALHERA,84.0,50,-40.48,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
BIJNOR,KOTWALI,9030811006,GOVE.GIRLS HIGH SCHOOL BUDHAWALA,96.0,53,-44.79,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
BANDA,NARAINI,9400400109,GOVT. HIGH SCHOOL PAUHAR,80.0,53,-33.75,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
