District,Block,School_ID,School_Name,Total_2223,Total_2526,Overall_Growth_pct,YoY_Latest,Block_Zone,Girls_Ratio_Improving,Upper_Class_Growing,Bright_Spot_Flag,Potential_Score,Potential_Tag,Investment_Worthy
FATEHPUR,TELIYANI,9420500305,Pt Deendayal Upadhyay Govt Model Inter College Aladatpur,201,287,42.79,22.13,YELLOW,True,True,False,4,High Potential,True
BAREILLY,NAWABGANJ,9200403708,GOVT. INTER COLLEGE BARAUR NAWABGANJ,81,239,195.06,26.46,YELLOW,True,True,False,4,High Potential,True
BAREILLY,NAWABGANJ,9200400413,GOVT. INTER COLLEGE HAFIZGANJ NAWABGANJ,55,199,261.82,20.61,YELLOW,True,True,False,4,High Potential,True
BALLIA,RASARA,9630306503,PT Deendayal Upadhyay Rajkiya Model Inter College Motira Rasra ballia,70,135,92.86,6.3,YELLOW,True,True,False,4,High Potential,True
ETAWAH,CHAKARNAGAR,9310805804,GOVT.  INTER COLLEGE SINDAUS,154,171,11.04,8.23,YELLOW,True,True,False,4,High Potential,True
BAREILLY,RICHHA(DAMKHODA),9200500206,GOVT. INTER COLLEGE MUNDIA JAGIR DAMKHODA,45,178,295.56,42.4,YELLOW,True,True,False,4,High Potential,True
ETAH,AWAGARH,9170305106,PANDIT DEEN DAYAL UPADHYAY GOVT MODEL INTER COLLEGE ISAULI ETAH,174,241,38.51,9.05,YELLOW,True,True,False,4,High Potential,True
ALIGARH,CHANDAUS,9120703804,Pt Deendayal Upadhyay Govt Model Inter College,199,259,30.15,10.68,YELLOW,True,True,False,4,High Potential,True
ETAH,JAITHARA,9170509104,GOVT INTER COLLEGE AMRATPUR RAGHUPUR JAITHRA,35,184,425.71,29.58,YELLOW,True,True,False,4,High Potential,True
HAMIRPUR (U.P.),KURARA,9380108646,PT DEENDYAL UPADHAYA GOVT MODEL INTER COLLEGE KURARA,119,180,51.26,56.52,YELLOW,True,True,False,4,High Potential,True
CHITRAKOOT,PAHADI,9410207501,GOVT. HIGH SCHOOL ASHOH,138,141,2.17,21.55,YELLOW,True,True,False,4,High Potential,True
AMETHI - CSM NAGAR,GAURIGANJ,9731906204,PANDIT DEENDAYAL UPADHYAY RAJKEEYA  MODAL INTER COLLEGE ,67,70,4.48,29.63,ORANGE,True,True,False,4,High Potential,True
SITAPUR,RAMPURMATHURA,9241600502,Pt Deen Dayal Upadhyay Rajkiya Model Inter College Sahranankari,220,287,30.45,22.13,YELLOW,True,True,False,4,High Potential,True
JAUNPUR,SIRKONI,9640120505,G.G.I.C.,83,112,34.94,12.0,YELLOW,True,True,False,4,High Potential,True
BUDAUN,QADARCHOWK,9190107202,PT.  DEENDAYAL UPADHYAY GOVT MODEL INTER COLLEGE CHAUDERA,144,278,93.06,6.51,YELLOW,True,True,False,4,High Potential,True
AMETHI - CSM NAGAR,MUSAFIRKHANA,9730306605,PANDIT DEENDAYAL U RAJKIYE MODAL INTER COLLEGE,33,194,487.88,45.86,ORANGE,True,True,False,4,High Potential,True
BHADOI,GYANPUR,9710222719,SHRI KASHIRAJ RAJAKIYA SANSKRIT MAHAVIDHYALAY GYANPUR BHADOHI ,15,61,306.67,90.62,YELLOW,True,True,False,4,High Potential,True
HARDOI,KOTHAWAN,9251503305,PT DEEN DAYAL UPADHAYAY RAJKIYA MODEL INTER COLLEGE JARAUA,90,202,124.44,10.38,YELLOW,True,True,False,4,High Potential,True
AURAIYA,AURAIYA,9320100103,GOVT INTER COLLEGE AYANA  AURAIYA,149,179,20.13,13.29,YELLOW,True,True,False,4,High Potential,True
JYOTIBA PHULE NAGAR (AMROHA),JOYA,9062123704,Govt Inter College Dhanora urf Murad Nagar,119,214,79.83,16.94,YELLOW,True,True,False,4,High Potential,True
HATHRAS,SADABAD,9130610805,PT DEEN DAYAL RAJKIYE MODEL INTER COLLEGE SINSTA,121,252,108.26,22.33,YELLOW,True,True,False,4,High Potential,True
FAIZABAD,MAWAI,9470607608,GOVT INTER COLLEGE SUNBA MAWAI AYODHYA,51,272,433.33,41.67,YELLOW,True,True,False,4,High Potential,True
KANNAUJ,KANNAUJ,9300101406, ABHINAV VIDYALAYA,114,129,13.16,6.61,YELLOW,True,True,False,4,High Potential,True
KANPUR DEHAT,RASULABAD,9330908805,GOVT.GIRLS I.C.SIMRAMAU,63,129,104.76,20.56,YELLOW,True,True,False,4,High Potential,True
KANSHIRAM NAGAR,PATIYALI,9721009433,PT DEENDAYAL UPADHYAY GOVT MODEL INTER COLLEGE BHARGAIN ,109,246,125.69,8.37,YELLOW,True,True,False,4,High Potential,True
KAUSHAMBI,KADA,9440801803,PANDIT DEEN DAYAL UPADHAYAY RAJKIY MADAL INTER COLLEGE KESARI,40,143,257.5,28.83,GREEN,True,True,False,4,High Potential,True
KUSHINAGAR,KHADDA,9590305003,PT DEENDAYAL UPADHYAY GOVT MODEL IC MISRAULI,119,222,86.55,57.45,YELLOW,True,True,False,4,High Potential,True
LALITPUR,JAKHORA,9370301404,GHS MAINWARA,113,176,55.75,109.52,YELLOW,True,True,False,4,High Potential,True
LUCKNOW,CHINHAT,9270108701,GOVT INTER COLLEGE SAIRPUR,84,195,132.14,93.07,ORANGE,True,True,False,4,High Potential,True
MAHARAJGANJ,NICHLOUL,9570607909,RAJKIY INTER COLLEGE NAUNIYA,33,218,560.61,51.39,YELLOW,True,True,False,4,High Potential,True
MAHARAJGANJ,PANIYARA,9570400305,PANDIT DEEN DAYAL UPADHYAY GOVT MODEL INTER COLLEAGE KUWANCHAF,54,125,131.48,7.76,YELLOW,True,True,False,4,High Potential,True
MAHOBA,CHARKHARI,9390105912,PANDIT DEEN DYAL IC RIWAI CHARKHARI,141,259,83.69,30.15,YELLOW,True,True,False,4,High Potential,True
MAINPURI,GHIROR,9180210215,Pt Deendayal Upadhyay Govt Model Inter College Shahjahanpur,72,169,134.72,9.03,YELLOW,True,True,False,4,High Potential,True
MEERUT,MACHRA,9071001709,G.I.C JARODA ,16,50,212.5,28.21,YELLOW,True,True,False,4,High Potential,True
MEERUT,SARDHANA,9070603907,RAJKIYA INTER COLLEGE KAPSADH,47,76,61.7,20.63,YELLOW,True,True,False,4,High Potential,True
MORADABAD,BILARI,9040301511,GOVERNMENT INTER COLLEGE THANWLA BILARI MORADABAD,61,88,44.26,51.72,YELLOW,True,True,False,4,High Potential,True
MORADABAD,CHAJLET,9042002405,GOVT INTER COLLEGE MANPUR MUJJAFARPUR MORADABAD,179,243,35.75,11.98,RED,True,True,False,4,High Potential,True
MORADABAD,DILARI,9040601918,GOVERNMENT INTER COLLEGE SIHALI KHADDAR,58,174,200.0,5.45,YELLOW,True,True,False,4,High Potential,True
MUZAFFARNAGAR,BAGHRA,9020202904,GOVT INTER COLLEGE BUDHINA KHURD   MUZAFFARNAGAR,98,119,21.43,29.35,ORANGE,True,True,False,4,High Potential,True
MUZAFFARNAGAR,BUDHANA,9020605701,GOVT INTER COLLEGE BIRAL  MUZAFFARNAGAR,81,126,55.56,103.23,YELLOW,True,True,False,4,High Potential,True
PILIBHIT,BILSANDA,9210407904,PANDIT DEEN DAYAL UPADHYAY GOVERNMENT MODEL INTER COLLEGE MARORIKHASH BILSANDA PILIBIHT,137,143,4.38,20.17,ORANGE,True,True,False,4,High Potential,True
PILIBHIT,N. P. PILIBHIT,9210901104,GOVERNMENT INTER COLLEGE SHER MOHAMMAD PILIBHIT,24,105,337.5,40.0,YELLOW,True,True,False,4,High Potential,True
PRATAPGARH,SHIVGARH,9431708707,Pt Deendayal Upadhyay Govt Model Inter College Kuradeeh Shivgarh,82,155,89.02,34.78,YELLOW,True,True,False,4,High Potential,True
SAHARANPUR,SADHOLI KADIM,9010404507,GOVT INTER COLLEGE DABKAURA,110,182,65.45,7.69,YELLOW,True,True,False,4,High Potential,True
