District,Block,School_ID,School_Name,Overall_Growth_pct,Boys_Growth_pct,Girls_Growth_pct,C8_Change_pct,C9_Change_pct,C10_Change_pct,C11_Change_pct,C12_Change_pct,Gender_Driver,Class_Driver,Growth_Pattern_Tag,Model_School_Flag
SONBHADRA,CHATRA,9700504511,PT DEENDAYAL UPADHYAY GOVT MODEL INTER COLLEGE RAMGARH,5570.0,4483.33,7200.0,2833.33,1828.57,,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
AMBEDKAR NAGAR,RAMNAGAR,9480802223,PT. D.D.U. GOVT. MODAL INTER COLLEGE RAMNAGAR,828.33,720.93,1100.0,,200.0,,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
BULANDSHAHR,KHURJA,9111101003,PT DEENDAYAL UPADHYAY GOVT MODEL INTER COLLEGE AHIRAULI,788.89,1057.14,618.18,-44.44,,,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
RAMPUR,SAID NAGAR,9050613601,GOVT INTER COLLEGE MOHAMMADPUR SHUMALI,678.57,985.71,371.43,,30.0,,775.0,,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
HARDOI,TN.AR. SANDILA,9252400106,RAJKIYE INTER COLLEGE BEGAMGANJ SANDILA,614.12,1416.67,398.51,,203.92,,317.65,,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
KAUSHAMBI,SIRATHU,9440305205,PANDIT DEEN DAYAL UPADHAYAY RAJKIY MADAL INTER COLLEGE DEVKHARPUR,581.18,473.91,707.69,1566.67,152.86,1900.0,12300.0,2166.67,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
MAHARAJGANJ,NICHLOUL,9570607909,RAJKIY INTER COLLEGE NAUNIYA,560.61,433.33,633.33,,169.7,,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
MUZAFFARNAGAR,SADAR,9020104012,GOVT INTER COLLEGE BAHADARPUR,541.94,758.82,278.57,,94.74,,283.33,,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
MAU,BADRAW,9620704305,PT DEENDAYAL UPADHYAY RAJKIY MODEL INTER COLLEGE KATIHARI MAU,511.63,541.18,492.31,,42.11,1680.0,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
HAMIRPUR (U.P.),SARILA,9380701008,GOVT HIGH SCHOOL BHERI DANDA,477.55,472.73,481.48,,934.78,73.08,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
FAIZABAD,MAWAI,9470607608,GOVT INTER COLLEGE SUNBA MAWAI AYODHYA,433.33,274.19,680.0,,62.75,,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
DEORIA,DESAHI DEORIA,9601802206,PT DEEN DAYAL UPADHYAY I C TILA TALI DESAHI DEORIA DEORIA,414.29,481.48,331.82,,760.0,163.16,1366.67,381.82,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
SITAPUR,BISWAN,9240307905,RAJKIYA INTER COLLEGE JANUVA BISWAN,399.2,447.37,358.82,,146.15,,103.33,,Boys-Led,Lower_Class_Growth,Boys-Led Lower Class Growth,True
MEERUT,KHARKHODA,9070302104,GOVT INTER COLLEGE JASORA,396.15,534.78,286.21,,63.89,3700.0,446.67,,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
SHRAWASTI,SIRSIYA,9510603804,"RAJKIYA INTER COLLEGE, GABBAPUR",390.0,324.0,500.0,,472.97,151.56,2333.33,430.77,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
BULANDSHAHR,PAHASU,9111402903,PT DEENDAYAL UPADHYAY GOVT MODEL INTER COLLEGE RASOOLGARH,384.0,536.84,290.32,1233.33,262.5,266.67,720.0,362.5,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
GORAKHPUR,CAMPIARGANJ,9581605212,GOVERNMENT INTER COLLEGE SONAURA BUJURG,356.87,405.15,315.79,56.52,71.52,,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
PILIBHIT,N. P. PILIBHIT,9210901104,GOVERNMENT INTER COLLEGE SHER MOHAMMAD PILIBHIT,337.5,300.0,347.37,,140.0,,155.56,,Girls-Led,Lower_Class_Growth,Girls-Led Lower Class Growth,True
BANDA,KAMASIN,9400704210,GOVERNMENT INTER COLLEGE LOHRA BLOCK KAMASIN ,307.32,429.41,220.83,,42.65,,392.86,,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
MORADABAD,THAKURDWARA,9041209504,GOVERNMENT INTER COLLEGE SAHBAJPUR KALA,297.56,484.62,210.71,,,21.95,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
BAREILLY,RICHHA(DAMKHODA),9200500206,GOVT. INTER COLLEGE MUNDIA JAGIR DAMKHODA,295.56,271.43,316.67,,20.0,,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
AMETHI - CSM NAGAR,BHETUA,9732303305,RAJKIY INTER COLLEGE,292.98,363.33,214.81,,4.88,,137.5,,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
GORAKHPUR,KAUDIRAM,9581500304,SHAHEED SHRI SAHAB SHUKLA GOVERNMENT INTER COLLEGE RUDAIN URF MAJHGAWA,289.58,386.67,245.45,,-43.75,,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
MAHOBA,JAITPUR,9390209206,GOVT. INTER COLLEGE SUGIRA JAITPUR ,283.51,274.47,292.0,,15.48,,500.0,,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
BIJNOR,ALLHEPUR(DHAMPUR),9030206502,GOVT INTER COLLEGE NANGLA NAINSI DHAMPUR,268.49,448.0,175.0,,58.49,,110.0,,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
MAHARAJGANJ,BRIJMAN GANJ,9571102112,PANDIT DEEN DAYAL UPADHYAY GOVT MODEL INTER COLLEAGE SAHAJANWA BABU,266.67,271.93,260.42,,95.0,82.22,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
BAREILLY,NAWABGANJ,9200400413,GOVT. INTER COLLEGE HAFIZGANJ NAWABGANJ,261.82,173.68,458.82,,48.57,,165.0,,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
JYOTIBA PHULE NAGAR (AMROHA),GANGESHWARI,9064100029,GOVT INTER COLLEGE BANSKA KALAN,258.82,270.97,245.61,129.03,144.44,,134.88,,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
KAUSHAMBI,KADA,9440801803,PANDIT DEEN DAYAL UPADHAYAY RAJKIY MADAL INTER COLLEGE KESARI,257.5,205.0,310.0,800.0,213.33,105.0,375.0,,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
GHAZIABAD,BHOJPUR,9090404504,GOVT. INTER COLLEGE MACHRI,256.67,309.09,226.32,,-13.33,,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
SITAPUR,MAHOLI,9241107705,RAJKIYA U.M.V. RAJVAPUR,246.51,276.92,200.0,,327.78,188.0,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
HARDOI,BHARAWAN,9251803913,GOVT. HIGHER SECONDERY SCHOOL BAHUTI KALAN PIN-241203,245.95,217.39,292.86,,342.86,118.75,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
