District,Block,School_ID,School_Name,Enroll_2223,Enroll_2324,Enroll_2425,Enroll_2526,Had_Decline,Trough_Year,Trough_Value,Recovery_Amount,Recovery_pct,Recovery_Pattern,Recovery_Strength
AGRA,ACCHNERA,9150200408,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C SANDHAN,234,295,291,266,True,2022-23,234,32,13.68,Full Recovery,Moderate
AGRA,BAH,9150301240,GOVT. ABHINAV VIDHYALAYA BIJOLI BAH,132,152,142,157,True,2022-23,132,25,18.94,Full Recovery,Moderate
AGRA,BAROLI AHEER,9150403204,GOVT. GIRLS INTER COLLEGE NAINANA JAT AGRA,468,511,513,511,True,2022-23,468,43,9.19,Full Recovery,Weak
AGRA,BAROLI AHEER,9150405004,PT.DEENDAYAL UPADHYAY GOVT. I.C BIJHAMAI,132,164,182,173,True,2022-23,132,41,31.06,Full Recovery,Strong
AGRA,BICHPURI,9150501805,GOVT HSS JAUPURA BICHPURI,175,126,146,162,True,2023-24,126,36,28.57,Strong Recovery,Strong
AGRA,BICHPURI,9150503512,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C MIDAKUR,336,365,358,351,True,2022-23,336,15,4.46,Full Recovery,Weak
AGRA,ETMADPUR,9150607005,GOVT. HIGH SCHOOL KHUSHAPUR,97,78,93,106,True,2023-24,78,28,35.9,Strong Recovery,Strong
AGRA,ETMADPUR,9150600506,RAJKIYA HIGH SCHOOL MITAWALI,126,125,129,135,True,2023-24,125,10,8.0,Strong Recovery,Weak
AGRA,FATEHABAD,9151104603,GHS NANDAPURA,35,37,39,36,True,2022-23,35,1,2.86,Full Recovery,Weak
AGRA,FATEHPUR  SIKRI,9150703903,RAJKIYA HIGH SCHOOL OLENDA,43,47,52,50,True,2022-23,43,7,16.28,Full Recovery,Moderate
AGRA,JAGNER,9150804903,RAJKIYA HIGH SCHOOL CHANDSAURA,65,64,80,70,True,2023-24,64,6,9.38,Full Recovery,Weak
AGRA,JAGNER,9150802603,RAJKIYA HIGH SCHOOL RICHOHA,48,38,54,70,True,2023-24,38,32,84.21,Strong Recovery,Strong
AGRA,KHANDOLI,9151003604,GOVT. GIRLS INTER COLLEGE AWALKHEDA AGRA,490,550,560,515,True,2022-23,490,25,5.1,Full Recovery,Weak
AGRA,KHANDOLI,9151000133,GOVT. HIGH SCHOOL NAGLA JAUHARI AGRA,75,85,83,77,True,2022-23,75,2,2.67,Full Recovery,Weak
