District,Block,Total_Schools,Decline_Schools,Low_Continuity_Schools,Girls_Declining_Schools,Avg_Growth_pct,Block_Zone,Priority_Action_Flag
MORADABAD,CHAJLET,7,2,0,5,-10.12,RED,True
AGRA,JAITPUR  KALAN,2,0,0,1,-10.36,RED,True
BARABANKI,NINDURA,5,1,0,2,-10.44,RED,True
GORAKHPUR,SARDARNAGAR,1,0,0,1,-10.48,RED,True
AURAIYA,BHAGYANAGAR,3,0,0,2,-10.62,RED,True
HAMIRPUR (U.P.),NP HAMIRPUR,2,1,0,1,-10.66,RED,True
BARABANKI,HARAKH,3,0,0,2,-10.85,RED,True
MAHOBA,PANWARI,6,1,0,3,-11.03,RED,True
KANNAUJ,UMARDA,3,0,0,3,-11.03,RED,True
JAUNPUR,MUFTI GANJ,1,0,0,1,-11.48,RED,True
HAPUR (PANCHSHEEL NAGAR),GARH MUKTESWAR,3,1,0,2,-11.6,RED,True
PRAYAGRAJ,MANDA,4,1,0,2,-11.73,RED,True
BARABANKI,SURAT GANJ,2,0,0,1,-11.84,RED,True
PILIBHIT,AMARIA,8,0,0,3,-11.89,RED,True
KUSHINAGAR,DUDAHI,1,0,0,0,-12.0,RED,True
BARABANKI,DARIYA BAD,1,0,0,0,-12.12,RED,True
BANDA,JASPURA,3,0,0,3,-12.16,RED,True
AGRA,BAH,2,1,0,2,-12.18,RED,True
JHANSI,GURSARAI,3,1,0,2,-12.47,RED,True
MAHOBA,CHARKHARI URBAN,2,1,0,1,-12.58,RED,True
MAINPURI,BEWAR,3,1,0,1,-12.7,RED,True
LALITPUR,BIRDHA,8,1,0,5,-12.73,RED,True
PILIBHIT,MARORI,4,0,0,2,-12.81,RED,True
PRAYAGRAJ,CHAKA,3,2,0,2,-12.82,RED,True
BAHRAICH,CHITTAURA,2,0,0,0,-13.15,RED,True
BUDAUN,BISAULI,4,3,0,3,-13.19,RED,True
MUZAFFARNAGAR,CHARTHAWAL,3,1,0,1,-13.55,RED,True
RAMPUR,MILAK,1,1,0,1,-13.6,RED,True
JAUNPUR,MAHARAJ GANJ,1,0,0,1,-13.89,RED,True
