Risk_Level,Trend_Tag,Enroll_Pattern_Tag,School_Type,School_Count,Districts,Blocks,Avg_Enrollment_2526,Avg_Growth_pct,Avg_Risk_Score
MEDIUM RISK,Recovery,Narrow Spread,Senior_Secondary,364,"AGRA, ALIGARH, AMBEDKAR NAGAR, AMETHI - CSM NAGAR, AURAIYA","AAKU(NEHTOR), AASPUR-DEOSARA, ABHOLI, ACHHALDA, AFZALGRAH",80.3,20.08,4.1
LOW RISK,Recovery,Narrow Spread,Senior_Secondary,216,"AGRA, ALIGARH, AMBEDKAR NAGAR, AZAMGARH, BAHRAICH","AASAFPUR, AASPUR-DEOSARA, ACCHNERA, AHIRORI, ALIYA",156.5,19.12,1.6
LOW RISK,Consistent Growth,Narrow Spread,Middle_to_Higher,188,"AGRA, ALIGARH, AMBEDKAR NAGAR, AMETHI - CSM NAGAR, AZAMGARH","ACCHNERA, AKBARPUR, AKOLA, ALLHEPUR(DHAMPUR), AMAPUR",419.1,399.12,1.6
MEDIUM RISK,Volatile,Narrow Spread,Senior_Secondary,157,"AGRA, AMBEDKAR NAGAR, AMETHI - CSM NAGAR, AURAIYA, AZAMGARH","ACCHNERA, AKOLA, AMANIGANJ, AMARAUDHA, AMAULI",74.0,19.82,3.9
LOW RISK,Consistent Growth,Narrow Spread,Senior_Secondary,131,"AGRA, AMBEDKAR NAGAR, AMETHI - CSM NAGAR, AURAIYA, BAHRAICH","ABHOLI, AMAPUR, AMAWAN, ARAJILINES, AURAI",157.8,68.95,1.7
LOW RISK,Peaked,Narrow Spread,Middle_to_Higher,110,"AGRA, ALIGARH, AMETHI - CSM NAGAR, BAGHPAT, BAHRAICH","AFZALGRAH, AIRAYAN, AMROHA, ANOOPSHAHAR, BABERU",462.4,16.45,1.2
MEDIUM RISK,Consistent Growth,Narrow Spread,Senior_Secondary,103,"ALIGARH, AURAIYA, AZAMGARH, BAGHPAT, BAHRAICH","AAKU(NEHTOR), AGAUTA, AHIRORI, AIRWAKATRA, AMARAUDHA",66.6,107.15,4.1
HIGH RISK,Recovery,Narrow Spread,Senior_Secondary,94,"AGRA, AMBEDKAR NAGAR, AMETHI - CSM NAGAR, AZAMGARH, BAGHPAT","ABHOLI, AIRAYAN, AMANIGANJ, AURAI, BABINA",54.6,-22.2,6.9
HIGH RISK,Consistent Decline,Narrow Spread,Senior_Secondary,88,"AGRA, AMETHI - CSM NAGAR, AZAMGARH, BALLIA, BALRAMPUR","AMBIYAPUR, BADOKHAR KHURD, BAGHRA, BAH, BAKSHI KA TALAB",93.3,-36.73,9.0
MEDIUM RISK,Peaked,Narrow Spread,Senior_Secondary,88,"AGRA, ALIGARH, AMETHI - CSM NAGAR, AURAIYA, AZAMGARH","ALAMPUR, AMARIA, ASHOTHAR, AURAIYA, AURAS",67.4,20.78,3.9
